dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
cremad,42,1,0.0,0.0,0.0,27,1195.6,0.5676807760141094,0.5517399070502863,0.5636856368563685,0.3632701344080646,-0.0621462989974803,4.169925001442313,0.2655880008202853,-0.0635408503821484,4.169925001442313,1.7628712809529197,-0.0449842132156126,4.169925001442313,1.6340684899950315,-0.0427617048479049,4.169925001442313,2.6768642206326843,-1.6983148813681952,4.169925001442313,2.538945745137233,-0.367533825893017,4.169925001442313,0.127313769751693,0.0759792856194396
cremad,42,1,0.5,0.175,0.025,35,1286.1,0.5637125220458553,0.5509909237007595,0.5602981029810298,0.242110495015789,-0.0468500524510977,4.169925001442313,0.2557920511545752,-0.0415825402693732,4.169925001442313,1.9615925143460424,-0.0561740769149201,4.169925001442313,1.8311831483054075,-0.0420946197165337,4.169925001442313,2.777963293640157,-1.7533406615218272,4.169925001442313,2.6927881113597145,-0.3000071412323564,4.169925001442313,0.109255079006772,0.0568583189483468
cremad,42,1,1.0,0.35,0.05,27,1195.0,0.5462962962962963,0.5345918406746124,0.5426829268292683,0.2757328746267484,-0.0406284494719564,4.169925001442313,0.2238506599470393,-0.0554355678425606,4.169925001442313,1.9992174978586423,-0.0388503453996671,4.169925001442313,1.7739884431793969,-0.032647511647041,4.169925001442313,2.8013160549362564,-1.7499725922579152,4.169925001442313,2.5918710308591235,-0.3151046144224585,4.169925001442313,0.1155756207674943,0.0635506572832293
cremad,42,1,2.0,0.7,0.1,36,1286.0,0.548831569664903,0.5371575111059443,0.5453929539295393,0.2781170449981278,-0.0478894450450617,4.169925001442313,0.2514379126567867,-0.0467450375423075,4.169925001442313,1.72768188863604,-0.0422374033967187,4.169925001442313,1.6165007922007653,-0.0278303106400414,4.169925001442313,2.7243085090856773,-1.6170264657582305,4.169925001442313,2.5558613063444993,-0.2926751232841491,4.169925001442313,0.1241534988713318,0.0726331164519984
cremad,42,1,4.0,1.4,0.2,32,1285.8,0.503858024691358,0.4959309813749715,0.5033875338753387,0.1770304044549231,-0.0481705376633696,4.169925001442313,0.1252286199696639,-0.0368603465849206,4.169925001442313,0.7449328971510591,-0.0308548834512407,4.169925001442313,0.4397680085513991,-0.0370035526613019,4.169925001442313,2.3389174747740062,-1.334060080388812,4.169925001442313,1.987332078325467,-0.2467242859203189,4.169925001442313,0.1038374717832956,0.0511220289470189
cremad,42,1,8.0,2.8,0.4,37,1286.0,0.4847883597883598,0.4716352973371753,0.483739837398374,0.4330842147621818,-0.0485359787872861,4.169925001442313,0.3608534121949658,-0.0541850112145736,4.169925001442313,1.9375961420728312,-0.0477492007245894,4.169925001442313,1.8204699033087697,-0.0326245968079055,4.169925001442313,2.78200374755443,-1.4985642490578863,4.169925001442313,2.708602145321379,-0.3453554828930825,4.169925001442313,0.1503386004514672,0.100358518125083
cremad,42,1,16.0,5.6,0.8,6,523.4,0.3578042328042328,0.298318230989151,0.3624661246612466,0.2299701950610044,-0.0386692883261616,4.169925001442313,0.1406760801109374,-0.037906476383001,4.169925001442313,0.3974477074807776,-0.0354261741442787,4.169925001442313,0.3075145262900673,-0.0406841484814499,4.169925001442313,1.9350416013907077,-0.4919451767553946,4.169925001442313,1.458056469783203,-0.1442399619175605,4.169925001442313,0.1065462753950338,0.0539901739476829
cremad,42,2,0.0,0.0,0.0,35,1287.6,0.6232773471145564,0.6112514578763565,0.6196610169491525,0.2253682258984706,-0.042624174339771,4.169919344444184,0.1364864304668245,-0.028322448648467,4.169919344444184,1.9743175239784,-0.0487744361913833,4.169919344444184,1.9316712362310025,-0.0495232043607671,4.169919344444184,2.951669630193409,-1.6612459936717334,4.169919344444184,2.7107985340701406,-0.2914350863197512,4.169919344444184,0.1124153498871331,0.060204488115788
cremad,42,2,0.5,0.175,0.025,25,1135.6,0.6039190353143842,0.5891075975093584,0.6020338983050847,0.224377884355897,-0.0487789719828031,4.169919344444184,0.2648142526110493,-0.0301163142038376,4.169919344444184,1.8325326817580303,-0.0530472069105965,4.169919344444184,1.7541442002836898,-0.0499872383214077,4.169919344444184,2.6500797789756323,-1.5920149569597497,4.169919344444184,2.55992488583815,-0.3373436718328007,4.169919344444184,0.127765237020316,0.0764573097862169
cremad,42,2,1.0,0.35,0.05,35,1287.6,0.6232342807924203,0.6160338994685385,0.6210169491525424,0.1794604687034096,-0.0472493465963967,4.169919344444184,0.2158102417402072,-0.0326378868241352,4.169919344444184,2.0461306345467993,-0.0543306296568673,4.169919344444184,1.8869140905888264,-0.0591562833014061,4.169919344444184,2.953128199595204,-1.6071534147743156,4.169919344444184,2.7741776752865235,-0.2951368012877475,4.169919344444184,0.1142212189616252,0.0621165847828973
