dataset,seed,fold,kappa,input_cmn,no_style,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
iemocap,42,1,0.0,True,True,0.0,0.0,9,176.6,0.5014171736271866,0.4543118216395011,0.4416961130742049,0.02858990158959296,-0.002219144295409592,0.9836697149306288,0.03290871670665174,-0.003920949752370562,0.9836697149306288,-3.286710479777355e-06,-3.2867104799993996e-06,0.9836697149306288,-0.005662312655975499,-0.0054778431007368455,0.9836697149306288,0.7760499272760217,-0.05305339151050492,0.9836697149306288,0.6359204443057027,-0.043792851307440595,0.9836697149306288,0.5623529411764705,0.124705882352941
iemocap,42,2,0.0,True,True,0.0,0.0,29,340.6,0.5340197705471788,0.5178169544017933,0.5256183745583038,0.07900477434386843,-0.00573149103518078,0.9910444329385492,0.03987473703655653,-0.010271545452134156,0.9910444329385492,-4.651510981390494e-06,-4.6515109815015165e-06,0.9910444329385492,-0.005381441469433645,-0.005385895770226523,0.9910444329385492,0.36154060475875094,-0.14686012698439133,0.9910444329385492,0.3033538371194744,-0.08383715340881637,0.9910444329385492,0.6341176470588235,0.2682352941176469
iemocap,42,3,0.0,True,True,0.0,0.0,15,232.8,0.4840110580263397,0.4765662547836229,0.49910071942446044,0.13892142968434074,-0.005024388117970124,0.9973008701007469,0.094507187482884,-0.012409385793903382,0.9973008701007469,-2.2257841273409795e-06,-2.2257841276740464e-06,0.9973008701007469,-0.0012108489774714792,-0.0012108489774714792,0.9973008701007469,0.6645155131215702,-0.09803508790754889,0.9973008701007469,0.4343507355448424,-0.03811773632044835,0.9973008701007469,0.6562874251497006,0.31257485029940124
iemocap,42,4,0.0,True,True,0.0,0.0,8,175.4,0.5225875039428458,0.4635762639241332,0.47465437788018433,0.0539787206069815,0.00015380839929546308,0.9994846138022001,0.03427399931744857,-0.0005556924638346894,0.9994846138022001,-8.27763412303284e-06,-8.27763412303284e-06,0.9994846138022001,-0.0014617824626809162,-0.0012596791771791738,0.9994846138022001,0.49748592512493073,-0.06452484538337566,0.9994846138022001,0.23854363836241377,-0.03664604341850797,0.9994846138022001,0.5803680981595092,0.16073619631901837
iemocap,42,5,0.0,True,True,0.0,0.0,8,175.2,0.5033983024559483,0.492593968621302,0.4803738317757009,0.12772160823387801,-0.0007042936036402159,0.9998765061155545,0.10131844176339022,-0.00947621396977405,0.9998765061155545,-8.50702878341103e-06,-8.50702878341103e-06,0.9998765061155545,-5.7995282412681703e-05,-5.7995282412681703e-05,0.9998765061155545,0.8741844745397792,-0.08465333545166642,0.9998765061155545,0.7146236655742315,-0.03939488862438323,0.9998765061155545,0.666043613707165,0.33208722741433006
iemocap,43,1,0.0,True,True,0.0,0.0,28,320.8,0.5370342928609944,0.5019157927951977,0.48498233215547704,0.07668901429648767,-0.008230732419280962,0.9836697149306288,0.11744945816698993,-0.009918887756648065,0.9836697149306288,-3.286710479777355e-06,-3.2867104799993996e-06,0.9836697149306288,-0.005553124044746838,-0.0055736115730118385,0.9836697149306288,0.8784293261558781,-0.1224546253923402,0.9836697149306288,0.7845306434597548,-0.05912086316820342,0.9836697149306288,0.63,0.26
iemocap,43,2,0.0,True,True,0.0,0.0,35,354.4,0.5323013260143787,0.5258615207619003,0.5273851590106007,0.08014355798711292,-0.007233311473625381,0.9910444329385492,0.07763829099294672,-0.011815505848321028,0.9910444329385492,-4.651510981390494e-06,-4.6515109815015165e-06,0.9910444329385492,-0.005319838685970524,-0.005319838685970413,0.9910444329385492,0.41175520249360276,-0.08181953228297367,0.9910444329385492,0.32435131067365264,-0.073885539460956,0.9910444329385492,0.6364705882352941,0.27294117647058824
iemocap,43,3,0.0,True,True,0.0,0.0,26,309.3,0.5331125471182955,0.5026261907830052,0.5170863309352518,0.08835874520713338,-0.008654296390095961,0.9973008701007469,0.05498551947447394,-0.01157150110269467,0.9973008701007469,-2.2257841273409795e-06,-2.2257841276740464e-06,0.9973008701007469,-0.000928156100387656,-0.000928156100387656,0.9973008701007469,0.6628447662336433,-0.10490974598577352,0.9973008701007469,0.3139885327648504,-0.104345168279111,0.9973008701007469,0.6347305389221557,0.2694610778443114
iemocap,43,4,0.0,True,True,0.0,0.0,6,149.3,0.5204331757689558,0.44142578796470044,0.4552995391705069,0.024007583036819824,-0.0017102252576229882,0.9994846138022001,0.022410186491914952,-0.0003128689490328185,0.9994846138022001,-8.27763412303284e-06,-8.27763412303284e-06,0.9994846138022001,-0.0008156329000877927,-0.0011827706627135504,0.9994846138022001,0.5145672169262546,-0.04650402900986139,0.9994846138022001,0.2836967796854545,-0.021652769077015965,0.9994846138022001,0.5570552147239264,0.11411042944785277
iemocap,43,5,0.0,True,True,0.0,0.0,29,344.6,0.5615960012740524,0.5443962020091634,0.5271028037383177,0.1115392905168322,-0.003470484238834781,0.9998765061155545,0.11311338125705639,-0.00256037682008714,0.9998765061155545,-8.50702878341103e-06,-8.50702878341103e-06,0.9998765061155545,-3.696491242488609e-05,-3.696491242466404e-05,0.9998765061155545,0.8418406057101121,-0.12243268399344476,0.9998765061155545,0.7508717780911258,-0.05664648354457891,0.9998765061155545,0.6760124610591901,0.3520249221183802
