dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index,input_cmn
iemocap,42,1,0.0,0.0,0.0,10,291.9,0.5022102661665535,0.4667229299536367,0.4522968197879858,0.1495538172503958,-0.0040681930253292,0.9836697149306288,0.2178049443728059,-0.0059481141494893,0.9836697149306288,0.6023418874264086,-0.0050578836664106,0.9836697149306288,0.4225539932479583,-0.0021426372183613,0.9836697149306288,0.813249199981143,-0.0950532672543713,0.9836697149306288,0.7158540739374575,-0.035650815343174,0.9836697149306288,0.7035294117647058,0.4070588235294117,
iemocap,42,1,0.5,0.175,0.025,25,515.0,0.5163426416057393,0.4913102350110447,0.4902826855123675,0.2793459305335264,-0.0036908951676795,0.9836697149306288,0.2607108841629642,-0.0096064984276955,0.9836697149306288,0.7244716243500408,-0.0041974194328882,0.9836697149306288,0.4808953440434601,-0.0060035012580524,0.9836697149306288,0.865953973236,-0.1287428665147834,0.9836697149306288,0.802889526485498,-0.0973104212382414,0.9836697149306288,0.7552941176470588,0.5105882352941176,
iemocap,42,1,1.0,0.35,0.05,5,225.8,0.4881679034776497,0.4480779322803609,0.4337455830388692,0.3175425736605692,-0.0013087272179131,0.9836697149306288,0.2316688769623233,-0.0074172935864895,0.9836697149306288,0.5107245985985363,-0.002363375116498,0.9836697149306288,0.4656303220800154,-0.0043357334107139,0.9836697149306288,0.7515863010844079,-0.0504098199115539,0.9836697149306288,0.6808139900758226,-0.0404063373046879,0.9836697149306288,0.6758823529411764,0.3517647058823527,
iemocap,42,1,2.0,0.7,0.1,3,201.5,0.4969848752756119,0.4382837013706029,0.4249116607773852,0.1185427891066934,-0.002540617030857,0.9836697149306288,0.0458318081973209,-0.0071379992440757,0.9836697149306288,0.1371384145842026,-0.0015870008209291,0.9836697149306288,0.0885428472988181,-0.0048451936087732,0.9836697149306288,0.7139619528187195,-0.0443471948977702,0.9836697149306288,0.5802212286434716,-0.0568654758693643,0.9836697149306288,0.6158823529411765,0.2317647058823531,
iemocap,42,1,4.0,1.4,0.2,3,201.4,0.4847529388865028,0.4118426441672863,0.4028268551236749,0.0306364800832942,-0.0039120471291768,0.9836697149306288,0.0255841068132202,-0.0078065204884728,0.9836697149306288,0.09977632063438,-0.0046423348931127,0.9836697149306288,0.0754419426715535,-0.0024577272236,0.9836697149306288,0.6587342701928096,-0.0545924461360205,0.9836697149306288,0.5008179861776227,-0.0521700817561032,0.9836697149306288,0.5958823529411765,0.191764705882353,
iemocap,42,1,8.0,2.8,0.4,3,201.2,0.494420045165887,0.4301149962725492,0.4222614840989399,0.0262901857009774,-0.0028216933332474,0.9836697149306288,0.0130839678688365,-0.0009423856783452,0.9836697149306288,0.0947612152312649,-0.006556088200364,0.9836697149306288,0.063846759521841,-0.0059353454541829,0.9836697149306288,0.6615112556408644,-0.0427123659115895,0.9836697149306288,0.5096021562925726,-0.0409853242728395,0.9836697149306288,0.5570588235294117,0.1141176470588234,
iemocap,42,1,16.0,5.6,0.8,4,214.6,0.4605953795276526,0.3663618176964881,0.3736749116607774,0.0209095046878424,-0.0023782715194873,0.9836697149306288,0.0067597395638094,0.0020887484203239,0.9836697149306288,0.1002822823954598,-0.0085954512013298,0.9836697149306288,0.1021873171420508,0.0001657079299687,0.9836697149306288,0.6542969266745868,-0.0521425297105229,0.9836697149306288,0.4299731352951048,-0.0598817059659972,0.9836697149306288,0.5170588235294117,0.0341176470588233,
iemocap,42,2,0.0,0.0,0.0,16,381.7,0.5021482559226199,0.4859160236245931,0.4885159010600706,0.0696949825735113,-0.0108860475716962,0.9910444329385492,0.0627957335125366,-0.0088964294026669,0.9910444329385492,0.0449867925407112,-0.0019303241722359,0.9910444329385492,0.0412840871438129,-0.003976219828758,0.9910444329385492,0.5561328331308173,-0.1624220081833333,0.9910444329385492,0.3773772723443492,-0.0663627503572342,0.9910444329385492,0.6376470588235293,0.2752941176470587,
iemocap,42,2,0.5,0.175,0.025,16,395.9,0.5121190026783412,0.4863739562142483,0.4964664310954063,0.0634630275846637,-0.0085961726124981,0.9910444329385492,0.0623211848803553,-0.0142341380155125,0.9910444329385492,0.0399876252169263,-0.0066020934601137,0.9910444329385492,0.0485635974466771,-0.0099499210921886,0.9910444329385492,0.5374333723938378,-0.155400291628217,0.9910444329385492,0.434750383268889,-0.0862736438491335,0.9910444329385492,0.63,0.26,
iemocap,42,2,1.0,0.35,0.05,27,565.9,0.5192993130105633,0.5047324911540229,0.5035335689045937,0.0455297360406095,-0.0061396125487498,0.9910444329385492,0.0466844655298824,-0.0122769367695901,0.9910444329385492,0.0435872266070793,-0.0103638816719319,0.9910444329385492,0.0327834907814889,-0.01235680197919,0.9910444329385492,0.4805908039436659,-0.1613757493973707,0.9910444329385492,0.4149533572283236,-0.1108405129074238,0.9910444329385492,0.6005882352941176,0.2011764705882353,
