dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency
cremad,affine_operator_v1,42,1,40,621.4,0.6548721340388007,0.6483005840815482,0.6517615176151762,-0.033402899986563206,-0.059652694570530684,4.169925001442313,-0.029949787430989083,-0.055597816065299455,4.169925001442313,-3.1819186126815744,-1.578459284661335,4.169925001442313,1.1608344805173494,-0.41026894410014414,4.169925001442313,2.342581467761028,-1.3473223960929328,4.169925001442313,2.0524589532271658,-0.32775573845168005,4.169925001442313,0.04108352144469526,-0.015323330235028548,0.8177506775067751,0.8780487804878049
cremad,affine_operator_v1,42,2,37,622.0,0.6678171527008736,0.6618625736288049,0.6650847457627118,-0.03276578395621854,-0.03109335505098354,4.1699193444441836,-0.015853551891929385,-0.02568714580439213,4.1699193444441836,-2.877544914103023,-1.6130891600155035,4.1699193444441836,1.128345921089767,-0.23826976161927327,4.1699193444441836,2.067164164748537,-1.399297238605337,4.1699193444441836,1.77644083950638,-0.2888987059253081,4.1699193444441836,0.04424379232505643,-0.011977161067587306,0.8155932203389831,0.8576271186440678
cremad,affine_operator_v1,42,3,31,622.5,0.6525839793281654,0.6497649181504568,0.6501694915254237,-0.04521049411120526,-0.06271602468697157,4.1699193444441836,-0.03503937931905288,-0.05820059476703321,4.1699193444441836,-3.1723273612896774,-1.6187757246481587,4.1699193444441836,0.9644172598386453,-0.2647964132882228,4.1699193444441836,2.344687624925516,-1.4641452479718797,4.1699193444441836,1.9772744338733506,-0.3250009344739624,4.1699193444441836,0.04424379232505643,-0.011977161067587306,0.8271186440677966,0.8637288135593221
cremad,affine_operator_v1,42,4,30,619.7,0.6620016537051936,0.6565481611486024,0.6578266494178525,-0.05656255665341092,-0.05825840672200844,4.247550686408009,-0.020117736450156798,-0.04431419824541294,4.247550686408009,-3.070764026308991,-1.4968062441962537,4.247550686408009,1.1441514593596431,-0.40547892165032806,4.247550686408009,2.1394013753089878,-1.3202487719028273,4.247550686408009,1.7303472839673781,-0.24578026965709476,4.247550686408009,0.037068965517241384,-0.01642720306513409,0.8163001293661061,0.8635187580853816
cremad,affine_operator_v1,42,5,36,621.2,0.6343308934803422,0.6291817652018697,0.6299319727891156,-0.07600676690605912,-0.04134449345198998,4.169716095873848,-0.043620735642206476,-0.04287833625438342,4.169716095873848,-3.3621842012611163,-1.7919959375708192,4.169716095873848,0.8809229803864462,-0.33661410292641936,4.169716095873848,2.2360103206151205,-1.4979894546140669,4.169716095873848,1.9880072504939124,-0.3851470808542903,4.169716095873848,0.04353741496598639,-0.012725090036014406,0.8231292517006803,0.8591836734693877
cremad,affine_operator_v1,43,1,40,626.7,0.6450617283950618,0.638296243101179,0.6415989159891599,-0.03287285374749516,-0.05367920375245028,4.169925001442313,-0.0540629220119726,-0.03631900566303603,4.169925001442313,-2.9026049305822488,-1.341548011128105,4.169925001442313,1.3157521666766971,-0.20163560852931628,4.169925001442313,2.2911930743185414,-1.1907292301464292,4.169925001442313,2.0141382108503016,-0.19804168006865108,4.169925001442313,0.050564334085778775,-0.005284822732704823,0.8238482384823849,0.8678861788617886
cremad,affine_operator_v1,43,2,40,625.3,0.6691183708625569,0.6635072047823843,0.6671186440677966,-0.05607334058227753,-0.03741903291094584,4.1699193444441836,-0.03064069860960128,-0.028308366627766368,4.1699193444441836,-3.0807681909591507,-1.512163874812254,4.1699193444441836,1.1043486245779022,-0.22312471067921713,4.1699193444441836,2.0251107535465516,-1.2424405602743542,4.1699193444441836,1.7128612834421366,-0.2187560198573575,4.1699193444441836,0.03386004514672686,-0.022971716903465677,0.8264406779661017,0.8806779661016949
cremad,affine_operator_v1,43,3,35,621.0,0.6326719576719578,0.6241805917408402,0.6284745762711864,-0.03378112752116724,-0.04193113890556255,4.1699193444441836,-0.041552284035285325,-0.037205589466602795,4.1699193444441836,-2.752031315348529,-1.3830599890314383,4.1699193444441836,1.10065551138318,-0.243985817192927,4.1699193444441836,2.4383523270619634,-1.2000651547060075,4.1699193444441836,2.0076327068292037,-0.2173961134610778,4.1699193444441836,0.04288939051918735,-0.01341123356791927,0.8372881355932204,0.8908474576271187
cremad,affine_operator_v1,43,4,38,619.3,0.62097188701171,0.606608031640381,0.6151358344113842,-0.05504079691566499,-0.051868188129753356,4.247550686408009,-0.03754286649491512,-0.04251553810953368,4.247550686408009,-2.634421647215383,-1.2067835092251142,4.247550686408009,1.330343402073781,-0.2644766601989481,4.247550686408009,2.418343039461819,-1.067135988873864,4.247550686408009,2.0434584024869453,-0.252060651672978,4.247550686408009,0.04094827586206897,-0.012332375478927193,0.8389391979301423,0.8538163001293662
cremad,affine_operator_v1,43,5,31,621.2,0.609651317211773,0.6038993584500206,0.6047619047619047,-0.05756441112075361,-0.054359696140846125,4.169716095873848,-0.04667417216288783,-0.03234921541358737,4.169716095873848,-2.879370154619413,-1.4659046618236085,4.169716095873848,0.7077919278333753,-0.3904689100433618,4.169716095873848,2.5217540481255742,-1.3326844774170272,4.169716095873848,2.203853379651108,-0.27402593039134615,4.169716095873848,0.058049886621315196,0.002641056422569034,0.8204081632653061,0.8782312925170068
cremad,affine_operator_v1,44,1,35,621.4,0.60923721340388,0.5969734938841237,0.6056910569105691,-0.045180520454044526,-0.041264022357438535,4.169925001442313,-0.03967792549743532,-0.03479006967214371,4.169925001442313,-2.8932486186555835,-1.4821279390033775,4.169925001442313,1.3132979490469063,-0.2526927566992816,4.169925001442313,2.396358832912457,-1.2229338329133261,4.169925001442313,1.940496579067537,-0.2525076886350739,4.169925001442313,0.04785553047404063,-0.008152967733368738,0.8299457994579946,0.8678861788617886
