dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
cremad,shift_operator_v0,42,1,37,608.8,0.6716269841269841,0.6670754542285167,0.6686991869918699,-0.04428031899680551,-0.04139777149545765,4.169925001442313,-0.019285087986528282,-0.032899678063154525,4.169925001442313,-3.266452397130733,-1.655730405865854,4.169925001442313,1.3297868586659263,-0.39173187234741036,4.169925001442313,2.171030817730661,-1.578857709166443,4.169925001442313,2.0051674459821003,-0.2832932448138328,4.169925001442313,0.039277652370203156,-0.01723542690213783,0.8245257452574526,0.8807588075880759,0.4488536155202822,-0.047056439465992916,0.5306437389770723,-0.052928283364725104,0.60923721340388,-0.04632954003484624,0.630731922398589,-0.0488155621643136
cremad,shift_operator_v0,42,2,35,608.4,0.6929494278331488,0.6896145644458551,0.6908474576271186,-0.022994557893382783,-0.03474821554537044,4.1699193444441836,-0.0037166693117489658,-0.02129815632115406,4.1699193444441836,-3.037147686839229,-1.5390098215854486,4.1699193444441836,1.4191897898147867,-0.22588387099975726,4.1699193444441836,2.236281703067967,-1.488756016021652,4.1699193444441836,1.937495444111197,-0.18966853338950074,4.1699193444441836,0.0401805869074492,-0.016279378568583195,0.8183050847457627,0.9003389830508475,0.4637627660883475,-0.02620651213147429,0.5527931586071121,-0.042089672033633896,0.6417743324720069,-0.022094095539949343,0.6681370739510274,-0.02889125978141749
cremad,shift_operator_v0,42,3,39,607.9,0.6459917558754769,0.6418099284642448,0.6427118644067796,0.0020481990717327037,-0.058004673131738294,4.1699193444441836,-0.002573689656366618,-0.046772666635665594,4.1699193444441836,-3.2117537915853926,-1.6560025176048274,4.1699193444441836,1.5179401522464868,-0.24372502930911377,4.1699193444441836,2.06438679233491,-1.5904115754479973,4.1699193444441836,1.8536461188688214,-0.2285600774444534,4.1699193444441836,0.04604966139954853,-0.010065064400478023,0.8508474576271187,0.8542372881355932,0.4363479758828596,0.006802749761869897,0.5194967392641812,-0.020150630392146596,0.586609449981543,-0.0026811040108212225,0.6085917312661498,-0.004674871643143952
cremad,shift_operator_v0,42,4,30,606.9,0.674002190042013,0.6701731201369717,0.6694695989650712,-0.013645940738840068,-0.05075018570682577,4.247550686408009,0.033699646468875244,-0.03830009467379014,4.247550686408009,-2.968849910176436,-1.5044617382938643,4.247550686408009,1.4600756485702444,-0.35754418839234603,4.247550686408009,2.2866318860950274,-1.4173956072675713,4.247550686408009,1.99717040085473,-0.243175362958036,4.247550686408009,0.04698275862068966,-0.005962643678160912,0.8182406209573092,0.8745148771021992,0.44655627067131487,-0.03283956740292826,0.535286493251095,-0.028317274062703568,0.6227540895682488,-0.02752815651448781,0.6395872441226423,-0.01590667594814832
cremad,shift_operator_v0,42,5,33,607.6,0.6515982581302696,0.6461144421474838,0.6469387755102041,-0.03462793425422639,-0.05048509947643964,4.169716095873848,-0.051760419615558995,-0.027508323038919258,4.169716095873848,-3.425137247930464,-1.8168837969102496,4.169716095873848,1.0439875504561447,-0.3188045626704952,4.169716095873848,2.165422601039975,-1.7746540503926607,4.169716095873848,1.9152496143841193,-0.3239639432593391,4.169716095873848,0.042176870748299324,-0.014165666266506595,0.8285714285714286,0.8687074829931973,0.417486642576979,-0.048299939456258656,0.5088081781401526,-0.0452453612394379,0.594595262361407,-0.045455484539330016,0.6189412891071374,-0.041390547699273306
cremad,shift_operator_v0,43,1,39,612.9,0.6479276895943563,0.6424225259391267,0.6449864498644986,-0.01733160982382298,-0.05521747802867516,4.169925001442313,-0.013451182748424273,-0.04381151370534653,4.169925001442313,-3.1082883523121554,-1.4964653688298446,4.169925001442313,1.53651605362433,-0.22424735099598347,4.169925001442313,2.3630501093755605,-1.4445245691573723,4.169925001442313,2.1072350615401554,-0.20044265661504923,4.169925001442313,0.04740406320541761,-0.008630991900146058,0.8143631436314364,0.8780487804878049,0.4302248677248677,-0.04282516474663378,0.5217151675485009,-0.03917277558999199,0.58994708994709,-0.018246133535713582,0.623015873015873,-0.020949164220885663
cremad,shift_operator_v0,43,2,40,609.9,0.7001107419712072,0.6970021825587495,0.6983050847457627,-0.038207005679861794,-0.03634283263263782,4.1699193444441836,-0.026556963241031184,-0.04089066682743514,4.1699193444441836,-3.2418634075228185,-1.618900842517614,4.1699193444441836,1.224517581431241,-0.19698076398823616,4.1699193444441836,1.9896238515873086,-1.5727827485253734,4.1699193444441836,1.7968537114340135,-0.2717691614771027,4.1699193444441836,0.042437923250564336,-0.013889257734696583,0.8257627118644068,0.8833898305084745,0.46408268733850133,-0.048062959216446544,0.548938722775932,-0.05403730498001291,0.6204534268487757,-0.047463423743381306,0.6539774824658545,-0.04423997573054006
cremad,shift_operator_v0,43,3,36,612.3,0.633745539559493,0.6288066392607984,0.6305084745762712,-0.02954778415512571,-0.036151620604532475,4.1699193444441836,-0.00965929613047134,-0.025196212392741835,4.1699193444441836,-2.8780916497802913,-1.343820753394434,4.1699193444441836,1.292159361437335,-0.2314755340646366,4.1699193444441836,2.363315629987259,-1.2881721741804482,4.1699193444441836,2.013116429586211,-0.25350268046534996,4.1699193444441836,0.05056433408577878,-0.005284822732704816,0.8406779661016949,0.8738983050847458,0.44857265903777527,-0.03635079758426585,0.5210686600221485,-0.02636651207789331,0.5960963455149502,-0.02721361872721939,0.6034145441122185,-0.029504211909960887
cremad,shift_operator_v0,43,4,37,607.0,0.6524313935818361,0.6461733518990728,0.6474773609314359,-0.009667666399375108,-0.050446030243916695,4.247550686408009,-0.019100762821995687,-0.03667634379438578,4.247550686408009,-2.7498200521186584,-1.3334400677338012,4.247550686408009,1.719236651434212,-0.20419042031051404,4.247550686408009,2.2824501504322416,-1.2331136620535563,4.247550686408009,1.8880808056304894,-0.17741255862235317,4.247550686408009,0.040948275862068964,-0.012332375478927201,0.8395860284605433,0.8913324708926261,0.45308728881737736,-0.02132415162279777,0.5284481988021811,-0.01821461685640191,0.5980211406096362,-0.022935540883924688,0.6105356663984983,-0.010366031442570645
cremad,shift_operator_v0,43,5,23,517.4,0.5774545229932981,0.5627034811801027,0.5700680272108843,-0.020533545801542985,-0.04631855826817599,4.169716095873848,-0.034030030888963836,-0.0316876256914016,4.169716095873848,-2.784268371885627,-1.3713744303186948,4.169716095873848,1.7558364183662638,-0.2686705196367658,4.169716095873848,2.4833520911563483,-1.3058203170543656,4.169716095873848,2.1215033854728067,-0.2678665324336649,4.169716095873848,0.04399092970521542,-0.012244897959183671,0.8020408163265306,0.8687074829931973,0.4023379350813799,-0.033117139794185846,0.465215108558016,-0.026955272217824344,0.5341764724049538,-0.023298065512785016,0.5360573211031842,-0.017825494427127886
