dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency
iemocap,affine_operator_v1,42,1,6,171.7,0.5212553307167384,0.46666690031871205,0.45229681978798586,0.03208835872982685,-0.0031825552937482238,0.9836697149306288,0.022296956194300388,-0.0084417207536851,0.9836697149306288,-0.15253879666620063,-0.0413129490227373,0.9836697149306288,0.7365984958502536,-0.05419997804564369,0.9836697149306288,0.6720527036775257,-0.036944007626753095,0.9836697149306288,0.5382566485702764,-0.051375849278385566,0.9836697149306288,0.5664705882352941,0.13294117647058812,0.7535335689045937,0.9708480565371025
iemocap,affine_operator_v1,42,2,38,332.7,0.521082883423461,0.5052854523996432,0.5008833922261484,0.0071103783920257735,-0.008061010408028202,0.9910444329385492,0.018764026381988264,-0.011781006213381295,0.9910444329385492,-0.28105788759448747,-0.11413529458790117,0.9910444329385492,0.6259124674887067,-0.08262943469848605,0.9910444329385492,0.33293709892341083,-0.10786106106034887,0.9910444329385492,0.2676976511346527,-0.0842897462224369,0.9910444329385492,0.5452941176470588,0.09058823529411764,0.741166077738516,0.9346289752650176
iemocap,affine_operator_v1,42,3,10,213.4,0.4928297830630667,0.45289243478105184,0.46402877697841727,0.0033293439482684484,-0.004727568821871975,0.9973008701007469,0.005261380323956288,-0.00667080232341144,0.9973008701007469,-0.154004397517308,-0.08586370199560056,0.9973008701007469,0.6660040920492485,-0.06850045228593626,0.9973008701007469,0.41036508350182654,-0.08469304198256067,0.9973008701007469,0.22586642821099634,-0.055210823807075204,0.9973008701007469,0.49820359281437127,-0.003592814371257469,0.7365107913669064,0.927158273381295
iemocap,affine_operator_v1,42,4,11,219.6,0.5551443815179253,0.5123672299734283,0.5216589861751152,0.06910678064777531,-0.0064371531558057304,0.9994846138022001,0.04891443366601822,-0.005321490255066785,0.9994846138022001,-0.18756058715434631,-0.07847052079769135,0.9994846138022001,0.8128920712861343,-0.04565652509484874,0.9994846138022001,0.43236846979669563,-0.07424976662544658,0.9994846138022001,0.28011727913514783,-0.06914710613182351,0.9994846138022001,0.5558282208588957,0.11165644171779143,0.7013824884792627,0.9612903225806452
iemocap,affine_operator_v1,42,5,36,336.0,0.5473824295882751,0.5274137786036402,0.5121495327102804,0.03147159230770791,0.0017857173805013726,0.9998765061155545,0.0994218029217313,0.003977217818168843,0.9998765061155545,-0.2750227816479026,-0.12938982996092652,0.9998765061155545,0.7326207924189865,-0.03735544388610956,0.9998765061155545,0.7856446206325924,-0.12341641360015176,0.9998765061155545,0.6291398936443264,-0.05400092397703726,0.9998765061155545,0.550778816199377,0.10155763239875393,0.719626168224299,0.9691588785046729
iemocap,affine_operator_v1,43,1,38,332.8,0.5448972996376245,0.4996612515083237,0.4832155477031802,0.0006230995319349564,-0.010409953506035574,0.9836697149306288,0.025180254773173094,-0.011379767632809235,0.9836697149306288,-0.2571518702474229,-0.14500895394809543,0.9836697149306288,0.6912397062585902,-0.08426085621161139,0.9836697149306288,0.7220215219276032,-0.13626334601209567,0.9836697149306288,0.5620596258713597,-0.037343822370779156,0.9836697149306288,0.5323529411764706,0.06470588235294117,0.7314487632508834,0.9531802120141343
iemocap,affine_operator_v1,43,2,39,332.9,0.5264055405302407,0.5103931713484651,0.5026501766784452,0.03538654861125179,-0.004701488983916757,0.9910444329385492,0.016535712752549503,-0.009729816393005186,0.9910444329385492,-0.2586979383095557,-0.14510123537239294,0.9910444329385492,0.5238878780635294,-0.07535226159830966,0.9910444329385492,0.4188531884178289,-0.13215716123429544,0.9910444329385492,0.2446063870042675,-0.07099339777925373,0.9910444329385492,0.5123529411764706,0.024705882352941133,0.7535335689045937,0.9355123674911661
iemocap,affine_operator_v1,43,3,11,219.8,0.523570376303424,0.5109541243458267,0.5170863309352518,0.0037202878211479717,-0.012884866791877503,0.9973008701007469,0.0009566312568412005,-0.016891438923786417,0.9973008701007469,-0.1712002232178329,-0.07759747189033317,0.9973008701007469,0.4552716419050802,-0.14013834312342333,0.9973008701007469,0.3057016305827627,-0.07400072976937389,0.9973008701007469,0.13373050429707467,-0.11482678446985428,0.9973008701007469,0.5377245508982036,0.07544910179640718,0.7311151079136691,0.954136690647482
iemocap,affine_operator_v1,43,4,29,332.3,0.5633001706921277,0.5234547517307866,0.5207373271889401,0.029654723835857433,-0.0011956747806870505,0.9994846138022001,0.06763548182042067,-0.010701083192652505,0.9994846138022001,-0.2650044784243727,-0.13028327227366499,0.9994846138022001,0.5998651626784715,-0.02722621314732676,0.9994846138022001,0.3564640956673365,-0.11885851028982153,0.9994846138022001,0.2754880205516098,-0.031602304107614,0.9994846138022001,0.560122699386503,0.1202453987730061,0.7170506912442396,0.9585253456221198
iemocap,affine_operator_v1,43,5,38,337.1,0.5660168653257756,0.5492906166613746,0.5373831775700935,0.004088208129912285,-0.004271740238488531,0.9998765061155545,0.030420815008039392,-0.008413330270868102,0.9998765061155545,-0.28266171521416006,-0.15287107634351005,0.9998765061155545,0.7702084835302178,-0.047889700495219345,0.9998765061155545,0.7512386746095526,-0.14076271055391232,0.9998765061155545,0.6454436225189738,-0.040386454918364234,0.9998765061155545,0.5700934579439252,0.14018691588785037,0.7317757009345794,0.9616822429906542
