dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
iemocap,shift_operator_v0,42,1,6,171.9,0.5222787364926892,0.47315546796087227,0.4584805653710247,0.057827900299488255,-0.001483676452082583,0.9836697149306288,0.09991595198470038,-0.01027884242569066,0.9836697149306288,-0.1510909860903049,-0.05147451043838447,0.9836697149306288,0.7385660899741515,-0.04436033387854765,0.9836697149306288,0.6815619090605991,-0.04783126743623756,0.9836697149306288,0.5619274708400086,-0.08125773120646795,0.9836697149306288,0.5576470588235294,0.11529411764705877,0.765017667844523,0.9673144876325088,0.4683339836647169,0.030420187196534054,0.4833652092673848,0.026072510848083597,0.5045027021803301,0.03704161556655783,0.5084046501326598,0.042224757265150625
iemocap,shift_operator_v0,42,2,14,247.4,0.516737964091682,0.48686219295740535,0.4911660777385159,0.006030704567129508,-0.004527451912558655,0.9910444329385492,0.032444247541589366,-0.009987221821797898,0.9910444329385492,-0.21735469412780029,-0.121130469506746,0.9910444329385492,0.6916218201187809,-0.061445806715143436,0.9910444329385492,0.35324341519694713,-0.12129910883773698,0.9910444329385492,0.21244589937121028,-0.06095963291487305,0.9910444329385492,0.5452941176470587,0.09058823529411741,0.7455830388692579,0.9584805653710248,0.43715051578823194,-0.0030837913074786005,0.4901646267192334,0.00043135415610029426,0.5078108456072437,-0.0004383704059531812,0.5142537807236134,0.0058753445665294945
iemocap,shift_operator_v0,42,3,16,268.4,0.5137299262523438,0.4911879324228131,0.4919064748201439,0.00289380061309219,-0.007497801445207619,0.9973008701007469,0.009123611224542194,-0.00612680032909263,0.9973008701007469,-0.19942629155744496,-0.10123405248949968,0.9973008701007469,0.5627493368231818,-0.07057601555092408,0.9973008701007469,0.38338118514012653,-0.10017229113808845,0.9973008701007469,0.2663086136964079,-0.10383371840099942,0.9973008701007469,0.5131736526946108,0.026347305389221587,0.7446043165467626,0.9559352517985612,0.4421099668815443,-0.002487705879025026,0.4810745883527259,-0.004401261626794772,0.493195767165034,0.005626482461325577,0.5013682440214382,0.002991310090250332
iemocap,shift_operator_v0,42,4,19,284.0,0.5627666620642621,0.527332251031237,0.5308755760368664,0.02650506396013874,-0.00533723514988782,0.9994846138022001,0.12264444432407995,-0.005171629440499426,0.9994846138022001,-0.25117986739846276,-0.12631117337675468,0.9994846138022001,0.7711895335818202,-0.048601703232442506,0.9994846138022001,0.42888430600694083,-0.12283928296092672,0.9994846138022001,0.370694979006052,-0.06414294195860781,0.9994846138022001,0.547239263803681,0.09447852760736208,0.7317972350230415,0.9594470046082949,0.461805769926219,0.0019879730371815674,0.5118194503731639,0.011395299919285007,0.5440770436592697,0.018515549670533593,0.5536834600657834,0.01602833576367979
iemocap,shift_operator_v0,42,5,30,351.1,0.5326418482769965,0.5268642915786643,0.5112149532710281,0.03486470601881608,-0.0023153755005264065,0.9998765061155545,0.12291688297277525,-0.005480216810958338,0.9998765061155545,-0.3150379981982675,-0.11575355617280725,0.9998765061155545,0.770542079133656,-0.0926803101575927,0.9998765061155545,0.7486606032255468,-0.1103232950159111,0.9998765061155545,0.6904879664493289,-0.05117949333137395,0.9998765061155545,0.5707165109034267,0.14143302180685335,0.7271028037383177,0.9439252336448598,0.4630000647146827,0.03856825200488556,0.5124267255294697,0.034474831512106174,0.5432079872410395,0.03480562065700732,0.5180037962621189,0.03557368245727355
iemocap,shift_operator_v0,43,1,39,348.4,0.5696913971326336,0.524046163517577,0.5123674911660777,0.002496923456451472,-0.0038752837363456027,0.9836697149306288,0.017207062886425706,-0.007579405713216691,0.9836697149306288,-0.23827939972589274,-0.11896480874323778,0.9836697149306288,0.7083030527496597,-0.05479469357930111,0.9836697149306288,0.7539922453932656,-0.11978381236378577,0.9836697149306288,0.6618524590176758,-0.06353000320706448,0.9836697149306288,0.5341176470588235,0.06823529411764695,0.7340989399293286,0.9593639575971732,0.4944552155185543,0.003211241675089349,0.5280089356757549,-0.00011230011616114588,0.5507596311155303,-0.0006506976062475855,0.5732817974132995,0.0003188184548753581
iemocap,shift_operator_v0,43,2,28,343.9,0.534901749247642,0.516423021953061,0.508833922261484,0.0178739001143553,-0.007898145116001065,0.9910444329385492,0.03802146960827568,-0.00996941303206944,0.9910444329385492,-0.26776528109060915,-0.11886196216546885,0.9910444329385492,0.6276623864002278,-0.07144003364541296,0.9910444329385492,0.3670498351791358,-0.11420101269802274,0.9910444329385492,0.20884745605030464,-0.07422003982017322,0.9910444329385492,0.5517647058823529,0.10352941176470587,0.7491166077738516,0.9602473498233216,0.4582172633828464,0.00019512574939706262,0.4945904011783342,0.006559854413791588,0.5166457186105637,0.013092972546096426,0.5327522007595673,0.009930724422777093
iemocap,shift_operator_v0,43,3,32,348.4,0.5448140186700181,0.5352878785078089,0.533273381294964,0.009402420012804225,-0.009803689468885546,0.9973008701007469,0.012800427381721158,-0.012288770648345215,0.9973008701007469,-0.27413582621732413,-0.09979710193777391,0.9973008701007469,0.5715268755196286,-0.13515293520062155,0.9973008701007469,0.41065244103630605,-0.09715726929814017,0.9973008701007469,0.18811070179599443,-0.09104328968773734,0.9973008701007469,0.5658682634730539,0.1317365269461077,0.7428057553956835,0.9784172661870504,0.4637380823762308,0.008846985663649165,0.4939618368852209,0.005838567801033534,0.5448578322768933,0.007843066128040532,0.5467330817348279,0.00953949399950449
iemocap,shift_operator_v0,43,4,10,217.7,0.5515555694878213,0.49067816603749664,0.5087557603686635,0.18272401196653332,-0.011803058350549844,0.9994846138022001,0.184368861331354,-0.00481020429179313,0.9994846138022001,-0.1615028383339402,-0.07186776161286101,0.9994846138022001,0.7002563308210481,-0.017218477978791946,0.9994846138022001,0.44951055798884265,-0.06985468471176104,0.9994846138022001,0.2938535751134129,-0.04102346446155203,0.9994846138022001,0.5828220858895706,0.16564417177914126,0.7023041474654378,0.9751152073732718,0.438399032819281,0.05706629627068327,0.5009545460354357,0.05440180943004369,0.5481589724562581,0.0885152201266537,0.5499405415342691,0.13072510223237888
iemocap,shift_operator_v0,43,5,30,353.4,0.5562543673798848,0.5405305359434268,0.5242990654205607,0.026714476089367944,-0.004772263604976179,0.9998765061155545,0.08143973882417221,-0.008702870537433793,0.9998765061155545,-0.28537070853139,-0.1605496299839485,0.9998765061155545,0.7785950291838396,-0.07095790010220815,0.9998765061155545,0.7157187005766307,-0.14885272249493464,0.9998765061155545,0.6334196020023726,-0.06986008764518992,0.9998765061155545,0.6193146417445482,0.2386292834890964,0.7401869158878505,0.9719626168224299,0.47351704154499696,0.029779496162583574,0.4940093291536771,0.015623524827704238,0.5360053844088978,0.01950373239997527,0.5451381805771044,0.026136624343786052
