dataset,model,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concepts_probe_acc,concepts_leakage_index,concept_swap_sensitivity,enroll_resample_consistency
ravdess,affine_operator_v1,42,1,34,107.6,0.453125,0.3745864775701071,0.4266666666666667,0.029546051389490735,-0.028009697975421854,2.3219280948873626,-0.005693319377190864,-0.0368040048006244,2.3219280948873626,-2.144901283271838,-0.9424778527414057,2.3219280948873626,0.2796115086439377,-0.2868366352778966,2.3219280948873626,1.2361824411595028,-0.8330052700423956,2.3219280948873626,0.6957534460915402,-0.21499753124261334,2.3219280948873626,0.24,0.049999999999999975,0.8433333333333334,0.7933333333333333
ravdess,affine_operator_v1,42,2,27,105.0,0.428125,0.34987539017993646,0.41,0.07710972925276804,-0.05277014943291203,2.3219280948873626,-0.010849116443272244,-0.02878432802602182,2.3219280948873626,-2.0801277149390573,-0.46248436307837437,2.3219280948873626,0.8870011675248382,-0.2144442042002419,2.3219280948873626,1.8395983056869394,-0.3038670412782922,2.3219280948873626,1.519848642237633,-0.18390070116604917,2.3219280948873626,0.2777777777777778,0.09722222222222222,0.8133333333333334,0.7833333333333333
ravdess,affine_operator_v1,42,3,24,100.5,0.40625,0.3473419984184758,0.39666666666666667,-0.03975630909943817,-0.08733097105493792,2.3219280948873626,-0.04146669798393354,-0.047758826828471435,2.3219280948873626,-1.7588037473384146,-0.9133251565276219,2.3219280948873626,0.22221580872447566,-0.260170517451515,2.3219280948873626,1.6284845283237095,-0.6908270921227588,2.3219280948873626,0.8618236933011205,-0.30292723274527766,2.3219280948873626,0.18666666666666665,-0.016666666666666705,0.7966666666666666,0.8666666666666667
ravdess,affine_operator_v1,42,4,21,94.2,0.425,0.36523846523846526,0.4166666666666667,-0.023784231618383167,-0.06870820173930392,2.3219280948873626,-0.05134319811377619,-0.04066086372432487,2.3219280948873626,-1.604596804972236,-0.6314159872236544,2.3219280948873626,0.18679611834985677,-0.2611554324607832,2.3219280948873626,1.7824989182351973,-0.42960142116405464,2.3219280948873626,1.0821072489001984,-0.1912324280866069,2.3219280948873626,0.20444444444444448,0.005555555555555591,0.87,0.7333333333333333
ravdess,affine_operator_v1,42,5,38,110.5,0.46484375,0.3944422552935071,0.4375,-0.051871378648446154,-0.05276897863333696,2.0,-0.05157091222553012,-0.08132558753459795,2.0,-2.2303419906519757,-0.689448871918692,2.0,0.28392677507772945,-0.156254486708304,2.0,1.4314991374829629,-0.6655628689172377,2.0,0.7521562653911744,-0.17433032571647367,2.0,0.19444444444444448,-0.07407407407407403,0.8541666666666666,0.6625
ravdess,affine_operator_v1,43,1,20,91.5,0.4125,0.3791608056893804,0.4033333333333333,-0.02061783606551204,-0.08239643540335972,2.3219280948873626,-0.08863517856791248,-0.0906885241606874,2.3219280948873626,-2.3975062407689345,-0.88075199437798,2.3219280948873626,0.1483091247224504,-0.24352227571835883,2.3219280948873626,1.2056331343942719,-0.8065114625444192,2.3219280948873626,0.5969622167111872,-0.28633703853546644,2.3219280948873626,0.22444444444444445,0.030555555555555544,0.84,0.82
ravdess,affine_operator_v1,43,2,20,91.6,0.465625,0.4226122042763654,0.45666666666666667,0.011731932413575397,-0.0061911914197807505,2.3219280948873626,-0.04715795522496791,-0.059186933806627096,2.3219280948873626,-2.4663632632702424,-0.8365056323577136,2.3219280948873626,0.6079155476686604,-0.30767731710237234,2.3219280948873626,1.7863348639048005,-0.5546833783559495,2.3219280948873626,1.2663647314424866,-0.2997777779965376,2.3219280948873626,0.19111111111111112,-0.011111111111111113,0.8,0.8366666666666667
ravdess,affine_operator_v1,43,3,23,99.9,0.403125,0.3547421832609875,0.4066666666666667,-0.0734319369820362,-0.06742230405808369,2.3219280948873626,-0.0717433959796061,-0.07890981234475802,2.3219280948873626,-2.253549783238479,-1.0760403666059046,2.3219280948873626,0.20738768804893093,-0.2921532222820624,2.3219280948873626,1.5906124900179854,-0.8774598573904924,2.3219280948873626,1.0497223586290607,-0.3098302685373673,2.3219280948873626,0.15777777777777777,-0.052777777777777805,0.8633333333333333,0.7566666666666667
ravdess,affine_operator_v1,43,4,26,104.3,0.565625,0.4878423179683483,0.5433333333333333,-0.07365013849902535,-0.07532226830944788,2.3219280948873626,-0.06031641446578506,-0.1066570553603099,2.3219280948873626,-2.3035373786949034,-0.7640195429425676,2.3219280948873626,0.40961054168005195,-0.18576688853227896,2.3219280948873626,1.841817261965465,-0.6290467668159265,2.3219280948873626,1.2140714676770714,-0.1577185071284486,2.3219280948873626,0.1688888888888889,-0.038888888888888896,0.8266666666666667,0.8233333333333334
ravdess,affine_operator_v1,43,5,33,110.7,0.484375,0.4011455557670347,0.4583333333333333,-0.0823734433555412,0.017753497640100147,2.0,-0.05260108146859199,-0.012745975924099984,2.0,-2.573243332120027,-0.6712161935301042,2.0,-0.16372066651930473,-0.32860322706730427,2.0,1.3912734956199504,-0.6245942951160126,2.0,0.7425012722195932,-0.23950791498361657,2.0,0.21944444444444441,-0.04074074074074078,0.8333333333333334,0.7791666666666667
ravdess,affine_operator_v1,44,1,31,108.2,0.45000000000000007,0.35642152155819906,0.42,0.025487944433501664,-0.05432416081262925,2.3219280948873626,-0.015366645967644033,-0.06310417190642825,2.3219280948873626,-2.197736440401278,-0.9011055085241453,2.3219280948873626,0.36961058516208123,-0.2565651502623414,2.3219280948873626,1.1802430737588654,-0.5982187851046366,2.3219280948873626,0.6629896115224525,-0.21904609134950803,2.3219280948873626,0.25555555555555554,0.0694444444444444,0.83,0.8966666666666666
ravdess,affine_operator_v1,44,2,33,108.6,0.475,0.4117431419261362,0.47333333333333333,0.003390545474188489,-0.05453269934976834,2.3219280948873626,-0.03648431237348149,-0.04174083588907607,2.3219280948873626,-2.3239480299223603,-1.1543134008202638,2.3219280948873626,0.6511618536602239,-0.22890785373668354,2.3219280948873626,1.7919566485235752,-0.8382848952552435,2.3219280948873626,1.2377095904213393,-0.3539840710304145,2.3219280948873626,0.2,0.0,0.8266666666666667,0.7766666666666666
