dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,42,1,1,0.0,0.1179,0,0,3.3265,24.8947,0.4481922398589065,0.45257452574525747,0.3570320110616674,-0.05756023922497899
cremad,42,1,1,0.1,0.1179,0,0,3.3265,24.8947,0.46858465608465605,0.4722222222222222,0.2801684388418888,-0.05633696971430879
cremad,42,1,1,0.1179,0.1179,1,0,3.3265,24.8947,0.47255291005291,0.47628726287262874,0.266741938028062,-0.05622406984370709
cremad,42,1,1,0.2,0.1179,0,0,3.3265,24.8947,0.4944885361552029,0.49796747967479676,0.20745643911891198,-0.05477370599845521
cremad,42,1,1,0.3,0.1179,0,0,3.3265,24.8947,0.5098104056437389,0.5128726287262872,0.1440275958320374,-0.052353729219960954
cremad,42,1,1,0.5,0.1179,0,0,3.3265,24.8947,0.5214947089947091,0.5237127371273713,0.055050106951965105,-0.048277782496495725
cremad,42,1,1,0.7,0.1179,0,0,3.3265,24.8947,0.5028659611992945,0.5040650406504065,0.00564031656606101,-0.04639742742832542
cremad,42,1,1,1.0,0.1179,0,0,3.3265,24.8947,0.4338624338624339,0.43360433604336046,-0.029576415226345354,-0.043921744821031616
cremad,42,1,1,0.02348993109139133,0.1179,0,1,3.3265,24.8947,0.4594356261022927,0.4600271002710027,0.26516365601524416,-0.05029804272294225
cremad,42,1,2,0.0,0.2109,0,0,3.3265,24.8947,0.4481922398589065,0.45257452574525747,0.3570320110616674,-0.05756023922497899
cremad,42,1,2,0.1,0.2109,0,0,3.3265,24.8947,0.4660493827160494,0.470189701897019,0.2872288715577618,-0.05619143386467229
cremad,42,1,2,0.2,0.2109,0,0,3.3265,24.8947,0.49790564373897706,0.5013550135501355,0.22082099011336043,-0.05528655313729125
cremad,42,1,2,0.2109,0.2109,1,0,3.3265,24.8947,0.4985670194003527,0.5020325203252033,0.21395659949556034,-0.05506937262238676
cremad,42,1,2,0.3,0.2109,0,0,3.3265,24.8947,0.5157627865961198,0.518970189701897,0.16089643604022452,-0.05359009236030143
cremad,42,1,2,0.5,0.2109,0,0,3.3265,24.8947,0.5414462081128748,0.5440379403794038,0.07156929788695088,-0.05150451365348019
cremad,42,1,2,0.7,0.2109,0,0,3.3265,24.8947,0.5558862433862434,0.5582655826558266,0.017158164121302555,-0.04761543587813488
cremad,42,1,2,1.0,0.2109,0,0,3.3265,24.8947,0.5206128747795415,0.521680216802168,-0.030261326249937603,-0.04117743220547965
cremad,42,1,2,0.03893834652879265,0.2109,0,1,3.3265,24.8947,0.4841269841269842,0.4817073170731707,0.2302467840237945,-0.051837828144357445
cremad,42,1,5,0.0,0.4005,0,0,3.3265,24.8947,0.4481922398589065,0.45257452574525747,0.3570320110616674,-0.05756023922497899
cremad,42,1,5,0.1,0.4005,0,0,3.3265,24.8947,0.4701278659611993,0.4742547425474255,0.28694047636223896,-0.05506057604408987
cremad,42,1,5,0.2,0.4005,0,0,3.3265,24.8947,0.49614197530864196,0.4993224932249323,0.22139682843111252,-0.05378218307332272
cremad,42,1,5,0.3,0.4005,0,0,3.3265,24.8947,0.5239197530864198,0.5271002710027101,0.16352178420437635,-0.052643772768590225
cremad,42,1,5,0.4005,0.4005,1,0,3.3265,24.8947,0.5582010582010583,0.5602981029810298,0.11457693118491896,-0.051755390557300274
cremad,42,1,5,0.5,0.4005,0,0,3.3265,24.8947,0.5737433862433863,0.5752032520325203,0.07690608550003653,-0.0509210611403601
cremad,42,1,5,0.7,0.4005,0,0,3.3265,24.8947,0.5921516754850088,0.5928184281842819,0.025223856142109646,-0.04826421063615083
cremad,42,1,5,1.0,0.4005,0,0,3.3265,24.8947,0.5976631393298061,0.5962059620596206,-0.016278835575877615,-0.04047457181586278
cremad,42,1,5,0.06985612904903016,0.4005,0,1,3.3265,24.8947,0.5121252204585537,0.5033875338753387,0.15628229873098576,-0.04519511497808626
cremad,42,1,10,0.0,0.572,0,0,3.3265,24.8947,0.4481922398589065,0.45257452574525747,0.3570320110616674,-0.05756023922497899
cremad,42,1,10,0.1,0.572,0,0,3.3265,24.8947,0.46935626102292766,0.4735772357723577,0.2891119148071284,-0.05561428109217559
cremad,42,1,10,0.2,0.572,0,0,3.3265,24.8947,0.49790564373897706,0.5013550135501355,0.22636032021117236,-0.05415632132679793
cremad,42,1,10,0.3,0.572,0,0,3.3265,24.8947,0.5242504409171076,0.5271002710027101,0.17007804179038954,-0.05270797710412545
cremad,42,1,10,0.5,0.572,0,0,3.3265,24.8947,0.5815696649029982,0.5833333333333334,0.08311664390599738,-0.04894015407173136
cremad,42,1,10,0.572,0.572,1,0,3.3265,24.8947,0.5950176366843033,0.5962059620596206,0.061177133030935416,-0.04825611371207117
