dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,42,3,1,0.0,0.0501,0,0,4.2317,80.1706,0.31027408965352593,0.36960431654676257,0.15068234175396145,-0.007959147190953253
iemocap,42,3,1,0.0501,0.0501,1,0,4.2317,80.1706,0.3185645589413146,0.3767985611510791,0.1374079778324684,-0.008520190222863766
iemocap,42,3,1,0.1,0.0501,0,0,4.2317,80.1706,0.32063182253141104,0.3767985611510791,0.12411942589520752,-0.0090406990650298
iemocap,42,3,1,0.2,0.0501,0,0,4.2317,80.1706,0.3496227247907381,0.4010791366906475,0.09886581710293063,-0.009748858219058132
iemocap,42,3,1,0.3,0.0501,0,0,4.2317,80.1706,0.36659258974208386,0.414568345323741,0.0760693147238739,-0.010117059533110151
iemocap,42,3,1,0.5,0.0501,0,0,4.2317,80.1706,0.3991514733588376,0.43345323741007197,0.03868305819306972,-0.009388030858227259
iemocap,42,3,1,0.7,0.0501,0,0,4.2317,80.1706,0.4431447604413983,0.4523381294964029,0.011745340251561043,-0.007485884872874493
iemocap,42,3,1,1.0,0.0501,0,0,4.2317,80.1706,0.4541004096250264,0.4379496402877698,-0.004262452836210517,-0.005837090605216977
iemocap,42,3,1,0.001942150494928724,0.0501,0,1,4.2317,80.1706,0.3147191176263139,0.375,0.13614531693838894,-0.008087259402907998
iemocap,42,3,2,0.0,0.0955,0,0,4.2317,80.1706,0.31027408965352593,0.36960431654676257,0.15068234175396145,-0.007959147190953253
iemocap,42,3,2,0.0955,0.0955,1,0,4.2317,80.1706,0.3265935255502857,0.38219424460431656,0.12608487465234008,-0.009208629966946491
iemocap,42,3,2,0.1,0.0955,0,0,4.2317,80.1706,0.3276361293889422,0.3830935251798561,0.12493570327722603,-0.009272940860124645
iemocap,42,3,2,0.2,0.0955,0,0,4.2317,80.1706,0.3449367631338767,0.3965827338129496,0.10063501588996737,-0.010046818726001439
iemocap,42,3,2,0.3,0.0955,0,0,4.2317,80.1706,0.36335685515936406,0.40827338129496404,0.07854992086804136,-0.010002747798259382
iemocap,42,3,2,0.5,0.0955,0,0,4.2317,80.1706,0.41077026651811444,0.44514388489208634,0.04130253297662978,-0.009396214263698077
iemocap,42,3,2,0.7,0.0955,0,0,4.2317,80.1706,0.46216233764278014,0.47931654676258995,0.013677597853406165,-0.007825186770006543
iemocap,42,3,2,1.0,0.0955,0,0,4.2317,80.1706,0.48371905586400976,0.4676258992805755,-0.0045531155283433655,-0.006373891904896345
iemocap,42,3,2,0.003496115013260524,0.0955,0,1,4.2317,80.1706,0.31534663917408573,0.37589928057553956,0.12332226443977468,-0.009312201696987099
iemocap,42,3,5,0.0,0.2088,0,0,4.2317,80.1706,0.31027408965352593,0.36960431654676257,0.15068234175396145,-0.007959147190953253
iemocap,42,3,5,0.1,0.2088,0,0,4.2317,80.1706,0.3241290451946553,0.38039568345323743,0.12526183155160375,-0.008784489483554037
iemocap,42,3,5,0.2,0.2088,0,0,4.2317,80.1706,0.3518208829179719,0.4037769784172662,0.10201962799154396,-0.009526423653751115
iemocap,42,3,5,0.2088,0.2088,1,0,4.2317,80.1706,0.35193100062677385,0.4037769784172662,0.10006494122522214,-0.009568813603199056
iemocap,42,3,5,0.3,0.2088,0,0,4.2317,80.1706,0.36648267986687344,0.414568345323741,0.08085263445928847,-0.009801540802796715
iemocap,42,3,5,0.5,0.2088,0,0,4.2317,80.1706,0.4092153793838174,0.4487410071942446,0.045417858026621793,-0.010188973229277254
iemocap,42,3,5,0.7,0.2088,0,0,4.2317,80.1706,0.4688081486503294,0.48830935251798563,0.01938832115213096,-0.010346060143610503
iemocap,42,3,5,1.0,0.2088,0,0,4.2317,80.1706,0.5131645287005666,0.4973021582733813,0.005650074088158097,-0.005685472586064222
iemocap,42,3,5,0.0068644818663874145,0.2088,0,1,4.2317,80.1706,0.3309875032926834,0.3902877697841727,0.1008337642929985,-0.007960145787432982
iemocap,42,3,10,0.0,0.3455,0,0,4.2317,80.1706,0.31027408965352593,0.36960431654676257,0.15068234175396145,-0.007959147190953253
iemocap,42,3,10,0.1,0.3455,0,0,4.2317,80.1706,0.3301392520982588,0.3857913669064748,0.12497004416514168,-0.008495935813109812
iemocap,42,3,10,0.2,0.3455,0,0,4.2317,80.1706,0.3502222328866594,0.4010791366906475,0.1022098938213124,-0.009066468363917668
iemocap,42,3,10,0.3,0.3455,0,0,4.2317,80.1706,0.36918271481979664,0.4172661870503597,0.08194485491701609,-0.009170555406489367
iemocap,42,3,10,0.3455,0.3455,1,0,4.2317,80.1706,0.37614064847107775,0.420863309352518,0.07358849916305277,-0.009112631028836526
iemocap,42,3,10,0.5,0.3455,0,0,4.2317,80.1706,0.39517273503105643,0.43255395683453235,0.04793045159628473,-0.009004460223803745
iemocap,42,3,10,0.7,0.3455,0,0,4.2317,80.1706,0.44488128308991215,0.4631294964028777,0.020706152955567436,-0.009457389779173875
iemocap,42,3,10,1.0,0.3455,0,0,4.2317,80.1706,0.4973437851847672,0.4829136690647482,0.004046191827699164,-0.006933903251719498
iemocap,42,3,10,0.010384644431656759,0.3455,0,1,4.2317,80.1706,0.34585174869570395,0.4064748201438849,0.08005819257700986,-0.008053421301216002
iemocap,42,3,20,0.0,0.5135,0,0,4.2317,80.1706,0.31027408965352593,0.36960431654676257,0.15068234175396145,-0.007959147190953253
iemocap,42,3,20,0.1,0.5135,0,0,4.2317,80.1706,0.3299804226711366,0.3857913669064748,0.12520187477545353,-0.008663094258682058
iemocap,42,3,20,0.2,0.5135,0,0,4.2317,80.1706,0.3483289100697826,0.40197841726618705,0.1022429365338362,-0.009337063458481953
iemocap,42,3,20,0.3,0.5135,0,0,4.2317,80.1706,0.36337721632051656,0.41097122302158273,0.08167092826663958,-0.009625697541341793
iemocap,42,3,20,0.5,0.5135,0,0,4.2317,80.1706,0.4040347775247817,0.44244604316546765,0.04670830809720494,-0.00986125712658903
iemocap,42,3,20,0.5135,0.5135,1,0,4.2317,80.1706,0.40664276812784517,0.4433453237410072,0.044633063159051134,-0.009853928580748406
iemocap,42,3,20,0.7,0.5135,0,0,4.2317,80.1706,0.454138269145254,0.4748201438848921,0.020674724639762276,-0.009885750119956072
iemocap,42,3,20,1.0,0.5135,0,0,4.2317,80.1706,0.5149087543496382,0.49910071942446044,0.006113023843255516,-0.009294078882540413
iemocap,42,3,20,0.014345637620708993,0.5135,0,1,4.2317,80.1706,0.3559150020233234,0.41276978417266186,0.058303616360051325,-0.008199388428219434
