dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
iemocap,fixed_position_3,3,42,1,29,167.3,0.5635695910615711,0.5516515038910098,0.5441696113074205,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.009635677949530463,-0.005373986210575499,0.9836697149306288,0.04180110851046215,-0.005909576585923171,0.9836697149306288,0.8707834588642555,-0.16547990545245517,0.9836697149306288,0.8028172999557992,-0.05871489943174679,0.9836697149306288,0.8707834588642555,-0.16547990545245517,0.9836697149306288,0.8028172999557992,-0.05871489943174679,0.9836697149306288
iemocap,fixed_position_3,3,42,2,23,145.0,0.5042390442637523,0.5005424603001998,0.4991166077738516,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.03551874650076248,-0.008611055913690269,0.9910444329385492,0.00888308286991557,-0.014610804399860178,0.9910444329385492,0.6397684735942848,-0.1221966415827781,0.9910444329385492,0.555899408659696,-0.0799619788583209,0.9910444329385492,0.6397684735942848,-0.1221966415827781,0.9910444329385492,0.555899408659696,-0.0799619788583209,0.9910444329385492
iemocap,fixed_position_3,3,42,3,11,106.5,0.5065801501909257,0.4970279520942459,0.5008992805755396,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.06298043902525319,-0.0055956294128558515,0.9973008701007469,0.04743598910983138,-0.007433640836164157,0.9973008701007469,0.8575763112966911,-0.0814797059302581,0.9973008701007469,0.6160198034092417,-0.07695918274039171,0.9973008701007469,0.8575763112966911,-0.0814797059302581,0.9973008701007469,0.6160198034092417,-0.07695918274039171,0.9973008701007469
iemocap,fixed_position_3,3,42,4,32,170.3,0.5775639916925686,0.5387961001079131,0.5391705069124424,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.00756323027294048,-0.0029599777241274827,0.9994846138022001,0.027124250775249603,-0.00040812247289923054,0.9994846138022001,0.6370993291917304,-0.14251383518683836,0.9994846138022001,0.6096272010572792,-0.07850230379378964,0.9994846138022001,0.6370993291917304,-0.14251383518683836,0.9994846138022001,0.6096272010572792,-0.07850230379378964,0.9994846138022001
iemocap,fixed_position_3,3,42,5,33,170.5,0.5675978643869612,0.5553109337369003,0.5411214953271029,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.19279273992683588,-0.0005408448482416839,0.9998765061155545,0.1789426782997574,-0.0031165899346169423,0.9998765061155545,0.9390014579804581,-0.14750046747824086,0.9998765061155545,0.849019657720601,-0.03337615907574609,0.9998765061155545,0.9390014579804581,-0.14750046747824086,0.9998765061155545,0.849019657720601,-0.03337615907574609,0.9998765061155545
iemocap,fixed_position_3,3,43,1,34,170.0,0.5456828097750349,0.5551171592061424,0.5609540636042403,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.22243606833029994,0.0010404635249507965,0.9836697149306288,0.24037072222690814,-0.007907491206746387,0.9836697149306288,0.9343800317394464,-0.13435124735392767,0.9836697149306288,0.8591469264996854,-0.04812869844440426,0.9836697149306288,0.9343800317394464,-0.13435124735392767,0.9836697149306288,0.8591469264996854,-0.04812869844440426,0.9836697149306288
iemocap,fixed_position_3,3,43,2,32,157.6,0.5375903946244812,0.5230292973794416,0.5159010600706714,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.029117793380076584,-0.008254040174371924,0.9910444329385492,0.018824332725072224,-0.009985752198734654,0.9910444329385492,0.6661061134390007,-0.14676811797390676,0.9910444329385492,0.5446509034354374,-0.09999259043734343,0.9910444329385492,0.6661061134390007,-0.14676811797390676,0.9910444329385492,0.5446509034354374,-0.09999259043734343,0.9910444329385492
iemocap,fixed_position_3,3,43,3,33,157.0,0.5201535081188483,0.5267138175994455,0.5251798561151079,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.05081913391650028,-0.009989173799866968,0.9973008701007469,0.04609260072198462,-0.01045370674498125,0.9973008701007469,0.8336851864449495,-0.13604475622205126,0.9973008701007469,0.6029021062346168,-0.0888891233288911,0.9973008701007469,0.8336851864449495,-0.13604475622205126,0.9973008701007469,0.6029021062346168,-0.0888891233288911,0.9973008701007469
iemocap,fixed_position_3,3,43,4,22,140.9,0.5489204900091992,0.49831146142130034,0.5050691244239631,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.016239792653879315,-0.006152985256555277,0.9994846138022001,0.025452836785245236,-0.007672339039658582,0.9994846138022001,0.67902894549251,-0.11968639549215287,0.9994846138022001,0.6245130392774632,-0.07795265615575364,0.9994846138022001,0.67902894549251,-0.11968639549215287,0.9994846138022001,0.6245130392774632,-0.07795265615575364,0.9994846138022001
iemocap,fixed_position_3,3,43,5,30,163.0,0.5623053381036892,0.5540708281205509,0.5392523364485982,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.12343181001812409,-0.008536178904775649,0.9998765061155545,0.14626263640772763,-0.005314619837274992,0.9998765061155545,0.933786628518693,-0.18259229017455791,0.9998765061155545,0.8589183849565051,-0.08816692940187865,0.9998765061155545,0.933786628518693,-0.18259229017455791,0.9998765061155545,0.8589183849565051,-0.08816692940187865,0.9998765061155545
iemocap,fixed_position_3,3,44,1,23,141.9,0.5279618966640657,0.4850728511303038,0.46466431095406363,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.05655869154308013,-0.004891029077914055,0.9836697149306288,0.0417920736566344,-0.008706173397553973,0.9836697149306288,0.8887885441853234,-0.1248320644275347,0.9836697149306288,0.7577216323516119,-0.039415134011622444,0.9836697149306288,0.8887885441853234,-0.1248320644275347,0.9836697149306288,0.7577216323516119,-0.039415134011622444,0.9836697149306288
iemocap,fixed_position_3,3,44,2,35,159.6,0.5215039684793653,0.5161261798145391,0.5044169611307421,0.0,0.0,0.0,1.0,0.0,3,-0.0,0.021124271033241437,-0.005669558264542185,0.9910444329385492,0.0193371056933912,-0.009463313053565847,0.9910444329385492,0.6355976833698364,-0.16311097374047645,0.9910444329385492,0.5960794969860854,-0.07005744658710544,0.9910444329385492,0.6355976833698364,-0.16311097374047645,0.9910444329385492,0.5960794969860854,-0.07005744658710544,0.9910444329385492
