dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,44,4,1,0.0,0.1374,0,0,4.8288,30.3154,0.34687500000000004,0.35333333333333333,0.24186381752889252,-0.038778595870968324
ravdess,44,4,1,0.1,0.1374,0,0,4.8288,30.3154,0.371875,0.37333333333333335,0.20107993440808425,-0.032585891165900716
ravdess,44,4,1,0.1374,0.1374,1,0,4.8288,30.3154,0.38125000000000003,0.38333333333333336,0.18624847499483232,-0.03028432261918601
ravdess,44,4,1,0.2,0.1374,0,0,4.8288,30.3154,0.396875,0.39666666666666667,0.16023462666024768,-0.026984250229784124
ravdess,44,4,1,0.3,0.1374,0,0,4.8288,30.3154,0.396875,0.4,0.120951092647259,-0.0228830715098991
ravdess,44,4,1,0.5,0.1374,0,0,4.8288,30.3154,0.396875,0.39,0.05440346981555688,-0.021760968021703242
ravdess,44,4,1,0.7,0.1374,0,0,4.8288,30.3154,0.39687500000000003,0.38666666666666666,0.0014270025868206027,-0.023931350081737524
ravdess,44,4,1,1.0,0.1374,0,0,4.8288,30.3154,0.328125,0.32666666666666666,-0.03880944508783557,-0.030755076921735736
ravdess,44,4,1,0.014285348820684352,0.1374,0,1,4.8288,30.3154,0.340625,0.35333333333333333,0.15648189035506954,-0.036667773359777556
ravdess,44,4,2,0.0,0.2416,0,0,4.8288,30.3154,0.34687500000000004,0.35333333333333333,0.24186381752889252,-0.038778595870968324
ravdess,44,4,2,0.1,0.2416,0,0,4.8288,30.3154,0.359375,0.36666666666666664,0.19441440223610362,-0.03531611159083958
ravdess,44,4,2,0.2,0.2416,0,0,4.8288,30.3154,0.38437499999999997,0.39,0.14764654954088874,-0.03661270371722081
ravdess,44,4,2,0.2416,0.2416,1,0,4.8288,30.3154,0.39375000000000004,0.4,0.12825662250590542,-0.038336505046943525
ravdess,44,4,2,0.3,0.2416,0,0,4.8288,30.3154,0.40625,0.41,0.10337456597968009,-0.04066119671536539
ravdess,44,4,2,0.5,0.2416,0,0,4.8288,30.3154,0.415625,0.42333333333333334,0.03264996823899402,-0.04907294202183321
ravdess,44,4,2,0.7,0.2416,0,0,4.8288,30.3154,0.40625,0.41,-0.013511934101066103,-0.057912936642576796
ravdess,44,4,2,1.0,0.2416,0,0,4.8288,30.3154,0.371875,0.37666666666666665,-0.0525371767011924,-0.05821776065066908
ravdess,44,4,2,0.02248772986382261,0.2416,0,1,4.8288,30.3154,0.3625,0.37666666666666665,0.10306309409971659,-0.04342078870245647
ravdess,44,4,5,0.0,0.4433,0,0,4.8288,30.3154,0.34687500000000004,0.35333333333333333,0.24186381752889252,-0.038778595870968324
ravdess,44,4,5,0.1,0.4433,0,0,4.8288,30.3154,0.35624999999999996,0.36,0.19847729525302427,-0.040806169764850964
ravdess,44,4,5,0.2,0.4433,0,0,4.8288,30.3154,0.390625,0.39666666666666667,0.15932461935154763,-0.045151590486631754
ravdess,44,4,5,0.3,0.4433,0,0,4.8288,30.3154,0.4125,0.4166666666666667,0.12226361333090363,-0.049697967557019496
ravdess,44,4,5,0.4433,0.4433,1,0,4.8288,30.3154,0.428125,0.43,0.0732773051372444,-0.05679225558814194
ravdess,44,4,5,0.5,0.4433,0,0,4.8288,30.3154,0.42499999999999993,0.4266666666666667,0.056235960716408684,-0.058507067219909725
ravdess,44,4,5,0.7,0.4433,0,0,4.8288,30.3154,0.43125,0.43333333333333335,0.008403365937984297,-0.0582124812973186
ravdess,44,4,5,1.0,0.4433,0,0,4.8288,30.3154,0.43437499999999996,0.43,-0.03676938271570718,-0.048000988195394
ravdess,44,4,5,0.03613161655384427,0.4433,0,1,4.8288,30.3154,0.4,0.41333333333333333,0.06455506563292479,-0.052123502147385814
