dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,46,5,1,0.1117,0.1117,1,1,3.7246,29.6113,0.562386114456901,0.5585034013605442,0.28416893634933693,-0.06316776226756726
cremad,46,5,1,0.0,0.1117,0,1,3.7246,29.6113,0.5576268569134315,0.5537414965986395,0.35138483478185023,-0.0608258284852603
cremad,46,5,2,0.201,0.201,1,1,3.7246,29.6113,0.5647116958522499,0.5605442176870749,0.23439332896130383,-0.06295498483545536
cremad,46,5,2,0.0,0.201,0,1,3.7246,29.6113,0.5576268569134315,0.5537414965986395,0.35138483478185023,-0.0608258284852603
cremad,46,5,5,0.3861,0.3861,1,1,3.7246,29.6113,0.5717903579480527,0.5687074829931973,0.1467495663189693,-0.06374792117526695
cremad,46,5,5,0.0,0.3861,0,1,3.7246,29.6113,0.5576268569134315,0.5537414965986395,0.35138483478185023,-0.0608258284852603
cremad,46,5,10,0.5571,0.5571,1,1,3.7246,29.6113,0.5914944871676086,0.5877551020408164,0.07237622435089008,-0.06437631742255778
cremad,46,5,10,0.0,0.5571,0,1,3.7246,29.6113,0.5576268569134315,0.5537414965986395,0.35138483478185023,-0.0608258284852603
cremad,46,5,20,0.7156,0.7156,1,1,3.7246,29.6113,0.6002378084560981,0.5965986394557823,0.02968526392511084,-0.06397643937482389
cremad,46,5,20,0.0,0.7156,0,1,3.7246,29.6113,0.5576268569134315,0.5537414965986395,0.35138483478185023,-0.0608258284852603
