dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,45,2,1,0.0,0.1355,0,0,4.4434,28.3589,0.5033591731266149,0.5071186440677966,0.3383628663950362,-0.056944247506214296
cremad,45,2,1,0.1,0.1355,0,0,4.4434,28.3589,0.5189338009105451,0.5220338983050847,0.26641420590709464,-0.05366747062599053
cremad,45,2,1,0.1355,0.1355,1,0,4.4434,28.3589,0.532638119847422,0.5349152542372881,0.24198393201013468,-0.052569424899268746
cremad,45,2,1,0.2,0.1355,0,0,4.4434,28.3589,0.5336409499200198,0.535593220338983,0.19956841501702982,-0.05027131484773051
cremad,45,2,1,0.3,0.1355,0,0,4.4434,28.3589,0.5462501538082933,0.5471186440677966,0.14243987651968926,-0.046745235216362424
cremad,45,2,1,0.5,0.1355,0,0,4.4434,28.3589,0.5327950043066322,0.5335593220338983,0.057886596803279566,-0.04233754744983376
cremad,45,2,1,0.7,0.1355,0,0,4.4434,28.3589,0.5082102866986589,0.5084745762711864,0.008812368094561762,-0.047713860253795204
cremad,45,2,1,1.0,0.1355,0,0,4.4434,28.3589,0.44754829580410976,0.44745762711864406,-0.020266799143642267,-0.054611990992164294
cremad,45,2,1,0.027496695082687424,0.1355,0,1,4.4434,28.3589,0.5068813830441737,0.5037288135593221,0.15536487813250144,-0.049114289177813575
cremad,45,2,2,0.0,0.2386,0,0,4.4434,28.3589,0.5033591731266149,0.5071186440677966,0.3383628663950362,-0.056944247506214296
cremad,45,2,2,0.1,0.2386,0,0,4.4434,28.3589,0.5265503875968992,0.5294915254237288,0.27840567659980575,-0.055254899414186376
cremad,45,2,2,0.2,0.2386,0,0,4.4434,28.3589,0.5377230220253476,0.5396610169491526,0.22206996362332587,-0.053458236517216484
cremad,45,2,2,0.2386,0.2386,1,0,4.4434,28.3589,0.5410514334932939,0.5423728813559322,0.20124105960642336,-0.052951143134206013
cremad,45,2,2,0.3,0.2386,0,0,4.4434,28.3589,0.5514273409622247,0.5525423728813559,0.17041470447235163,-0.05196752082817202
cremad,45,2,2,0.5,0.2386,0,0,4.4434,28.3589,0.5592930970837947,0.559322033898305,0.08794585259937016,-0.049345378523090844
cremad,45,2,2,0.7,0.2386,0,0,4.4434,28.3589,0.5574658545588779,0.5559322033898305,0.03178190256256741,-0.04483572929410773
cremad,45,2,2,1.0,0.2386,0,0,4.4434,28.3589,0.5373477297895903,0.5335593220338983,-0.014658657776261741,-0.043675729223124904
cremad,45,2,2,0.04421290984678339,0.2386,0,1,4.4434,28.3589,0.47198535745047376,0.46644067796610167,0.12546676325215245,-0.04850331051406975
cremad,45,2,5,0.0,0.4393,0,0,4.4434,28.3589,0.5033591731266149,0.5071186440677966,0.3383628663950362,-0.056944247506214296
cremad,45,2,5,0.1,0.4393,0,0,4.4434,28.3589,0.5273255813953488,0.5301694915254237,0.2727477121419195,-0.05611146764386277
cremad,45,2,5,0.2,0.4393,0,0,4.4434,28.3589,0.5475298388089086,0.5498305084745763,0.21285850346650514,-0.05571776669891637
cremad,45,2,5,0.3,0.4393,0,0,4.4434,28.3589,0.5600252245601083,0.5613559322033899,0.16004799692155203,-0.05598680679740653
cremad,45,2,5,0.4393,0.4393,1,0,4.4434,28.3589,0.5811184939091917,0.5816949152542373,0.0990383006455744,-0.05649982157698563
cremad,45,2,5,0.5,0.4393,0,0,4.4434,28.3589,0.5872985111357204,0.5877966101694915,0.0758466419173569,-0.05680153879367644
cremad,45,2,5,0.7,0.4393,0,0,4.4434,28.3589,0.6173526516549772,0.616271186440678,0.016003012806047323,-0.057747559433856566
cremad,45,2,5,1.0,0.4393,0,0,4.4434,28.3589,0.6167558754768058,0.6135593220338983,-0.04026081776584878,-0.05435810230337346
cremad,45,2,5,0.07633165661723788,0.4393,0,1,4.4434,28.3589,0.43415159345391907,0.42847457627118646,0.0773918622219485,-0.053698308950229645
cremad,45,2,10,0.0,0.6104,0,0,4.4434,28.3589,0.5033591731266149,0.5071186440677966,0.3383628663950362,-0.056944247506214296
cremad,45,2,10,0.1,0.6104,0,0,4.4434,28.3589,0.5223544973544973,0.5254237288135594,0.27344267640597986,-0.05578774543149123
