dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
cremad,fixed_position_4,4,45,1,35,317.6,0.656305114638448,0.6514858341366022,0.6544715447154471,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.05391707035439186,-0.048191765956775434,4.169925001442313,0.002697531329532765,-0.041231275657652056,4.169925001442313,-3.358802928429289,-1.66512706288193,4.169925001442313,1.7141232394825043,-0.4286072731179793,4.169925001442313,1.897626833817772,-1.5890204015565708,4.169925001442313,1.6909568475507566,-0.28190358914337565,4.169925001442313
cremad,fixed_position_4,4,45,2,29,309.4,0.6656484557647349,0.6579599732053145,0.6616949152542373,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.027431068933678304,-0.046861234651657924,4.1699193444441836,-0.02515615040309882,-0.04608207950559162,4.1699193444441836,-3.042033403726035,-1.5977908746481049,4.1699193444441836,1.8689599848931415,-0.3796462786722019,4.1699193444441836,2.0649474842092905,-1.5377206086511892,4.1699193444441836,1.8065793628089137,-0.26655894184971984,4.1699193444441836
cremad,fixed_position_4,4,45,3,36,316.3,0.6739048849513966,0.672018041951696,0.6705084745762712,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.037273018328626506,-0.05345981797824617,4.1699193444441836,-0.01908069356993103,-0.03937300962983947,4.1699193444441836,-3.374297558586594,-1.7515389364044918,4.1699193444441836,1.200509537577445,-0.34693912501623725,4.1699193444441836,2.123552740258171,-1.652625071397436,4.1699193444441836,2.0103592492326903,-0.2588066652688692,4.1699193444441836
cremad,fixed_position_4,4,45,4,35,314.0,0.6608340037543577,0.6598594121901409,0.6578266494178525,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04840103580909272,-0.06160154366532833,4.247550686408009,-0.0280210139657342,-0.051911260132573744,4.247550686408009,-3.5512851422640797,-1.8441549950746685,4.247550686408009,1.2986154151503757,-0.33688785332330795,4.247550686408009,2.217363457786853,-1.7993173879723727,4.247550686408009,1.979747832300918,-0.3006890201937855,4.247550686408009
cremad,fixed_position_4,4,45,5,40,317.8,0.6390839741807962,0.6362411815163315,0.6360544217687075,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.02315186332493635,-0.05104102545358469,4.169716095873848,0.009654455950286689,-0.0321840587774469,4.169716095873848,-3.4912584871743473,-1.9269732744677937,4.169716095873848,1.2828944021403554,-0.2895304587721803,4.169716095873848,2.244516743414053,-1.8244982271444972,4.169716095873848,2.049055968811565,-0.339128344159195,4.169716095873848
cremad,fixed_position_4,4,46,1,39,318.0,0.650352733686067,0.6468826287210289,0.6490514905149052,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.03272197311068492,-0.041966885555963174,4.169925001442313,0.0020912598301947583,-0.024041336388708423,4.169925001442313,-3.284065505984201,-1.6804808606490624,4.169925001442313,1.6532939921487833,-0.26449033786611853,4.169925001442313,2.0944789691606576,-1.6208049892108427,4.169925001442313,1.878689665377315,-0.25743717504136665,4.169925001442313
cremad,fixed_position_4,4,46,2,37,315.3,0.6706902916205242,0.668668569846194,0.6677966101694915,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.007001756211068688,-0.06581224325391943,4.1699193444441836,-0.0064796923897256775,-0.0457735120098377,4.1699193444441836,-3.065758071758564,-1.5972502366244905,4.1699193444441836,1.549147206155339,-0.3817078914684444,4.1699193444441836,1.9512038255682924,-1.545676962117498,4.1699193444441836,1.7452575944643671,-0.2891470997981118,4.1699193444441836
cremad,fixed_position_4,4,46,3,38,318.1,0.6711240310077521,0.6698427907171394,0.6684745762711864,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.017927231827399304,-0.060712353468241,4.1699193444441836,-0.011586855600286938,-0.054015870851563896,4.1699193444441836,-3.1355963557308284,-1.590498381714755,4.1699193444441836,1.2790641077977525,-0.2787755124886093,4.1699193444441836,2.135265084838395,-1.5128853854204234,4.1699193444441836,1.807217821794843,-0.26443110525141744,4.1699193444441836
cremad,fixed_position_4,4,46,4,35,268.6,0.6571634486457495,0.6515480194258356,0.6526520051746443,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.019982550607060112,-0.05320802784688006,4.247550686408009,-0.03444571888657233,-0.05164034908607107,4.247550686408009,-3.2828002580329647,-1.6734756338211412,4.247550686408009,1.0959985916999924,-0.2569496516218903,4.247550686408009,2.2562383481715074,-1.6049646577100543,4.247550686408009,1.9259219489656885,-0.28306032076931675,4.247550686408009
cremad,fixed_position_4,4,46,5,31,275.3,0.6314493962135953,0.6269186821307583,0.6278911564625851,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.024230275890923636,-0.06405088190951069,4.169716095873848,0.017379707233192043,-0.05831447101126486,4.169716095873848,-3.4210786901145207,-1.875191966713257,4.169716095873848,1.4565962387839146,-0.3885644588851065,4.169716095873848,2.442388371029258,-1.7645851115559559,4.169716095873848,2.1857390162754733,-0.41091185676761377,4.169716095873848
cremad,fixed_position_4,4,47,1,35,276.0,0.67173721340388,0.670924463233479,0.6714092140921409,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04179967548561958,-0.037137053860004876,4.169925001442313,-0.012607138250480432,-0.03116848308880904,4.169925001442313,-3.1576466697623857,-1.7648085766136594,4.169925001442313,1.468758140677787,-0.3525119334887803,4.169925001442313,2.2058731861500633,-1.7210599258091195,4.169925001442313,1.9909594799272403,-0.3842555637356506,4.169925001442313
cremad,fixed_position_4,4,47,2,32,274.8,0.673037406176941,0.666718247065242,0.6691525423728814,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04804034130427404,-0.04664444576082616,4.1699193444441836,-0.0076092452402010125,-0.02236656170687734,4.1699193444441836,-3.4424959275011346,-1.8379447664198727,4.1699193444441836,1.1463133164149348,-0.23279706037555048,4.1699193444441836,1.822048535566152,-1.718090128445776,4.1699193444441836,1.6413777272258288,-0.27291896681764616,4.1699193444441836
cremad,fixed_position_4,4,47,3,39,275.9,0.6610680447889751,0.6599021376431194,0.6589830508474577,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.007523522479187861,-0.062151338267029566,4.1699193444441836,-0.006769183462952633,-0.05180682072470155,4.1699193444441836,-3.315085862704281,-1.8770865797929055,4.1699193444441836,1.521603253902149,-0.34414029418884073,4.1699193444441836,2.1743514174155747,-1.7744173541459363,4.1699193444441836,1.9321720073311224,-0.31500089882485227,4.1699193444441836
cremad,fixed_position_4,4,47,4,36,273.3,0.640525833556807,0.6376114504577758,0.6371280724450195,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04149995947116292,-0.04963616672449955,4.247550686408009,-0.027147211587503328,-0.0450447693187499,4.247550686408009,-3.2103833682575385,-1.6761712169578402,4.247550686408009,1.6497614302715404,-0.38254793590581393,4.247550686408009,2.31580747694869,-1.6125575349061325,4.247550686408009,1.9621324027163172,-0.42114405671596433,4.247550686408009
cremad,fixed_position_4,4,47,5,35,274.6,0.6153988696377282,0.6119814517871346,0.6122448979591837,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.030367031285601698,-0.03916638486435886,4.169716095873848,0.014143678954467553,-0.03525758044941085,4.169716095873848,-3.3104095872893087,-1.7751326833235632,4.169716095873848,1.223636920868843,-0.20848725573749594,4.169716095873848,2.4549575657808433,-1.6284913332421747,4.169716095873848,2.181344476611179,-0.2599498950306227,4.169716095873848
