dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,46,5,1,0.0836,0.0836,1,1,8.3508,91.4824,0.592929594012533,0.5719626168224299,0.226509801922263,9.15086854387237e-05
iemocap,46,5,1,0.0,0.0836,0,1,8.3508,91.4824,0.5863863284340946,0.5626168224299065,0.25281778666326216,1.9007137027182708e-05
iemocap,46,5,2,0.1544,0.1544,1,1,8.3508,91.4824,0.5846503527936133,0.5626168224299065,0.20255913220869148,-0.0029153167646457367
iemocap,46,5,2,0.0,0.1544,0,1,8.3508,91.4824,0.5863863284340946,0.5626168224299065,0.25281778666326216,1.9007137027182708e-05
iemocap,46,5,5,0.3134,0.3134,1,1,8.3508,91.4824,0.5857760781225008,0.5635514018691589,0.16086057236474993,0.00040453889573521806
iemocap,46,5,5,0.0,0.3134,0,1,8.3508,91.4824,0.5863863284340946,0.5626168224299065,0.25281778666326216,1.9007137027182708e-05
iemocap,46,5,10,0.4772,0.4772,1,1,8.3508,91.4824,0.5718912937298956,0.5457943925233645,0.1236764109676004,0.0007890298028616627
iemocap,46,5,10,0.0,0.4772,0,1,8.3508,91.4824,0.5863863284340946,0.5626168224299065,0.25281778666326216,1.9007137027182708e-05
iemocap,46,5,20,0.6461,0.6461,1,1,8.3508,91.4824,0.5846587540613275,0.5588785046728972,0.08973278949400887,0.0005109256303890142
iemocap,46,5,20,0.0,0.6461,0,1,8.3508,91.4824,0.5863863284340946,0.5626168224299065,0.25281778666326216,1.9007137027182708e-05
