dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,45,5,1,0.0,0.0631,0,0,5.0921,75.6598,0.4056333689430389,0.4327102803738318,0.2241116279991373,0.0010980305619718855
iemocap,45,5,1,0.0631,0.0631,1,0,5.0921,75.6598,0.4111652387029819,0.4336448598130841,0.20320091744507318,0.00030764091786750214
iemocap,45,5,1,0.1,0.0631,0,0,5.0921,75.6598,0.4168818537962752,0.43644859813084114,0.19094307460670656,-0.00017985556151278725
iemocap,45,5,1,0.2,0.0631,0,0,5.0921,75.6598,0.4260518331110963,0.43644859813084114,0.1601712505842754,-0.0010305735372447833
iemocap,45,5,1,0.3,0.0631,0,0,5.0921,75.6598,0.441350095814079,0.44205607476635517,0.13214760990976582,-0.002474004729510537
iemocap,45,5,1,0.5,0.0631,0,0,5.0921,75.6598,0.4623245517599507,0.45794392523364486,0.09134492369780012,-0.00658440086823886
iemocap,45,5,1,0.7,0.0631,0,0,5.0921,75.6598,0.4687180222100127,0.4542056074766355,0.06924538723736329,-0.006456839889510069
iemocap,45,5,1,1.0,0.0631,0,0,5.0921,75.6598,0.4705093463657871,0.4252336448598131,0.06492438617807983,-0.005559363656345462
iemocap,45,5,1,0.0030121171869309667,0.0631,0,1,5.0921,75.6598,0.41327064870553887,0.43457943925233644,0.22175282476403924,0.00012194839667067914
iemocap,45,5,2,0.0,0.1186,0,0,5.0921,75.6598,0.4056333689430389,0.4327102803738318,0.2241116279991373,0.0010980305619718855
iemocap,45,5,2,0.1,0.1186,0,0,5.0921,75.6598,0.4158720822592989,0.43644859813084114,0.19147704210812289,0.0005506116692026719
iemocap,45,5,2,0.1186,0.1186,1,0,5.0921,75.6598,0.42208617627143985,0.44018691588785047,0.18570194380466953,0.0005615432181274027
iemocap,45,5,2,0.2,0.1186,0,0,5.0921,75.6598,0.44405057668645953,0.4532710280373832,0.16173519352496402,0.0006069740891974096
iemocap,45,5,2,0.3,0.1186,0,0,5.0921,75.6598,0.465048548009445,0.4700934579439252,0.1366546070344946,0.0005468776427157707
iemocap,45,5,2,0.5,0.1186,0,0,5.0921,75.6598,0.4960078335412922,0.48878504672897194,0.1002221684791268,-0.0013285410787068352
iemocap,45,5,2,0.7,0.1186,0,0,5.0921,75.6598,0.4995649206222388,0.48317757009345796,0.07470856449203367,-0.004204030722913754
iemocap,45,5,2,1.0,0.1186,0,0,5.0921,75.6598,0.48883782372219325,0.4457943925233645,0.05945341303827012,-0.005910503200869832
iemocap,45,5,2,0.004978729404597881,0.1186,0,1,5.0921,75.6598,0.42379664651079885,0.44018691588785047,0.20912585809871442,0.0002563299479826364
iemocap,45,5,5,0.0,0.2518,0,0,5.0921,75.6598,0.4056333689430389,0.4327102803738318,0.2241116279991373,0.0010980305619718855
iemocap,45,5,5,0.1,0.2518,0,0,5.0921,75.6598,0.41351790464500565,0.4336448598130841,0.1913204124097051,0.0006854194508699729
iemocap,45,5,5,0.2,0.2518,0,0,5.0921,75.6598,0.44333993629785023,0.4504672897196262,0.1620511615677126,0.0005186733898131513
iemocap,45,5,5,0.2518,0.2518,1,0,5.0921,75.6598,0.44736606727423867,0.4532710280373832,0.1485001103048803,0.00034894485578473855
iemocap,45,5,5,0.3,0.2518,0,0,5.0921,75.6598,0.4567190460038957,0.45981308411214955,0.13687858778144146,0.00022093127456945805
iemocap,45,5,5,0.5,0.2518,0,0,5.0921,75.6598,0.48008648699219436,0.4738317757009346,0.09870500269122362,-0.001996976946909146
iemocap,45,5,5,0.7,0.2518,0,0,5.0921,75.6598,0.5045509655090934,0.48598130841121495,0.07061818560603905,-0.00417422230025799
iemocap,45,5,5,1.0,0.2518,0,0,5.0921,75.6598,0.5084239311570717,0.4719626168224299,0.04675513695515221,-0.003922562834579479
iemocap,45,5,5,0.008630894986154459,0.2518,0,1,5.0921,75.6598,0.4455259845012136,0.44766355140186914,0.17452234121106402,0.001255533431296807
iemocap,45,5,10,0.0,0.4023,0,0,5.0921,75.6598,0.4056333689430389,0.4327102803738318,0.2241116279991373,0.0010980305619718855
iemocap,45,5,10,0.1,0.4023,0,0,5.0921,75.6598,0.4173978634699324,0.4373831775700935,0.19150448005889686,0.0005114470460320097
iemocap,45,5,10,0.2,0.4023,0,0,5.0921,75.6598,0.4385741865816956,0.44672897196261685,0.1615346037066201,5.655678897886762e-05
iemocap,45,5,10,0.3,0.4023,0,0,5.0921,75.6598,0.45919755111943217,0.46074766355140184,0.13523589220623877,-6.99060245528127e-05
iemocap,45,5,10,0.4023,0.4023,1,0,5.0921,75.6598,0.46790189415647554,0.4663551401869159,0.11234007505950361,-0.0005735711503355168
iemocap,45,5,10,0.5,0.4023,0,0,5.0921,75.6598,0.47801953756227633,0.4700934579439252,0.09473409630922758,-0.0014984080496353025
iemocap,45,5,10,0.7,0.4023,0,0,5.0921,75.6598,0.5031663529406231,0.49065420560747663,0.06666521734484965,-0.0033899787694250394
iemocap,45,5,10,1.0,0.4023,0,0,5.0921,75.6598,0.5189297085936324,0.4850467289719626,0.039572187291629146,-0.0035904988160778695
iemocap,45,5,10,0.012035334443685536,0.4023,0,1,5.0921,75.6598,0.45820253697711205,0.45607476635514016,0.1355844232849941,0.0014453879786143764
iemocap,45,5,20,0.0,0.5738,0,0,5.0921,75.6598,0.4056333689430389,0.4327102803738318,0.2241116279991373,0.0010980305619718855
iemocap,45,5,20,0.1,0.5738,0,0,5.0921,75.6598,0.4164080780554103,0.4373831775700935,0.1917587291642866,0.0006815794503179928
iemocap,45,5,20,0.2,0.5738,0,0,5.0921,75.6598,0.4427617628735714,0.4504672897196262,0.16247512483597903,0.0004654567025117462
iemocap,45,5,20,0.3,0.5738,0,0,5.0921,75.6598,0.45513104473801563,0.4570093457943925,0.13727327712427728,0.00020968337043203444
iemocap,45,5,20,0.5,0.5738,0,0,5.0921,75.6598,0.480607265928905,0.47570093457943924,0.09853554203868431,-0.001400027638126189
iemocap,45,5,20,0.5738,0.5738,1,0,5.0921,75.6598,0.4945460183044198,0.4850467289719626,0.08753784913553164,-0.002265362400683535
iemocap,45,5,20,0.7,0.5738,0,0,5.0921,75.6598,0.4998644549307255,0.48130841121495327,0.07055225135066112,-0.0033336845985528774
iemocap,45,5,20,1.0,0.5738,0,0,5.0921,75.6598,0.4990812409691361,0.4663551401869159,0.04323878813979898,-0.002863906213923406
iemocap,45,5,20,0.015644157307637647,0.5738,0,1,5.0921,75.6598,0.46930665190202603,0.4588785046728972,0.10082752731056766,5.5941557455918556e-05
