dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
iemocap,fixed_position_4,4,45,1,23,178.4,0.5643312806869727,0.5270658831088958,0.5114840989399293,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.015244858390059624,-0.007860178651120653,0.9836697149306288,0.02760540851040183,-0.008847753100997946,0.9836697149306288,-0.22590229560419095,-0.09830898555591605,0.9836697149306288,0.609700545805149,-0.0645631545538703,0.9836697149306288,0.651779276601564,-0.09409083630044712,0.9836697149306288,0.5368339717571773,-0.0622046804694345,0.9836697149306288
iemocap,fixed_position_4,4,45,2,40,202.5,0.5225284388673582,0.4980465659335541,0.5053003533568905,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.030412352182482172,-0.0012163675206061653,0.9910444329385492,0.04256405470919444,-0.003923665622505679,0.9910444329385492,-0.2737699515534452,-0.1271071954473365,0.9910444329385492,0.6408913624740722,-0.05140574228729411,0.9910444329385492,0.3562756657268934,-0.12325236375303039,0.9910444329385492,0.25346733711646086,-0.053167566005806965,0.9910444329385492
iemocap,fixed_position_4,4,45,3,14,145.2,0.49518941012324313,0.46777387388719827,0.4721223021582734,0.0,0.0,0.0,0.0,1.0,4,-0.0,1.4106544291681011e-05,-0.0017735629380255524,0.9973008701007469,0.04137151553993923,-0.006115618051569793,0.9973008701007469,-0.18819512439096764,-0.0822220770180544,0.9973008701007469,0.604147259571385,-0.09911406386590826,0.9973008701007469,0.4283247714019104,-0.07988676304501574,0.9973008701007469,0.2950875470122908,-0.09307668953238468,0.9973008701007469
iemocap,fixed_position_4,4,45,4,31,200.5,0.5892297355588946,0.5467019514030904,0.5511520737327189,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.023134195274319147,-0.002467239746401506,0.9994846138022001,0.0921520255379592,-0.007865651892167924,0.9994846138022001,-0.282699862643102,-0.12172056025341493,0.9994846138022001,0.661567720579241,-0.028203003208782884,0.9994846138022001,0.31271141304419414,-0.11877190321779596,0.9994846138022001,0.26336335064485117,-0.03646478431922706,0.9994846138022001
iemocap,fixed_position_4,4,45,5,21,170.3,0.5158159824217436,0.5014001130240466,0.48411214953271026,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.0424176458432034,-0.0021255113528345637,0.9998765061155545,0.12552401142152003,0.00152449183705905,0.9998765061155545,-0.2696271903423254,-0.16022032661940988,0.9998765061155545,0.8022713324032007,-0.04331183247981396,0.9998765061155545,0.7183799929538252,-0.14977598005167192,0.9998765061155545,0.6627688138414796,-0.041911901318642975,0.9998765061155545
iemocap,fixed_position_4,4,46,1,10,125.0,0.53892709553703,0.4842283135853048,0.46819787985865724,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.0031342638773967924,0.0007899358635198306,0.9836697149306288,0.0029482755388346993,-0.007253605297412036,0.9836697149306288,-0.17437309708518378,-0.045423764918675724,0.9836697149306288,0.5740393052004996,-0.04107327097181157,0.9836697149306288,0.6213158089449689,-0.044050589170401055,0.9836697149306288,0.489029507857244,-0.032641283113028274,0.9836697149306288
iemocap,fixed_position_4,4,46,2,34,203.1,0.5076086288999673,0.49689359541005823,0.4911660777385159,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.009891369750132606,-0.0025582924261441375,0.9910444329385492,0.03631989533277813,0.0004068630321488742,0.9910444329385492,-0.25861700143535005,-0.14308408369224834,0.9910444329385492,0.5078814865117429,-0.07271911989985813,0.9910444329385492,0.3399238823744064,-0.13967950226818526,0.9910444329385492,0.25173693001473685,-0.05844623579513397,0.9910444329385492
iemocap,fixed_position_4,4,46,3,23,178.7,0.5356209703525266,0.5114080841031389,0.5143884892086331,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.0037183440460092365,-0.004416660400385242,0.9973008701007469,0.009184099355920572,-0.005385844530898964,0.9973008701007469,-0.25448126967455886,-0.12140907694273251,0.9973008701007469,0.5576693813073388,-0.08330657034778999,0.9973008701007469,0.4164157721277405,-0.12260485681658229,0.9973008701007469,0.2541189400376642,-0.11474653346138486,0.9973008701007469
iemocap,fixed_position_4,4,46,4,30,172.9,0.5584840171716451,0.5145290572119507,0.5262672811059907,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.0023530205493685896,-0.00237140135652647,0.9994846138022001,0.016417436221609294,-0.0007577133005335357,0.9994846138022001,-0.2468996687437065,-0.11908941721458077,0.9994846138022001,0.5442395059347345,-0.08251848366948533,0.9994846138022001,0.33368086985654644,-0.12117771906112151,0.9994846138022001,0.1777478006507005,-0.07305475303210518,0.9994846138022001
iemocap,fixed_position_4,4,46,5,28,163.7,0.5701000439342374,0.5513816900698906,0.5401869158878505,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.05216000159433409,-0.000494933633211736,0.9998765061155545,0.1326981921417274,-0.007058225292154163,0.9998765061155545,-0.3099774773892331,-0.11798646004788449,0.9998765061155545,0.8069234219851604,-0.06723827595330134,0.9998765061155545,0.7625828240456454,-0.11447030237322398,0.9998765061155545,0.6626896262812998,-0.054163761889326145,0.9998765061155545
