dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,47,4,1,0.1877,0.1877,1,1,12.6808,54.8671,0.45625,0.44333333333333336,0.22707092735178236,-0.05242360530422152
ravdess,47,4,1,0.0,0.1877,0,1,12.6808,54.8671,0.45937500000000003,0.44666666666666666,0.3153559997738342,-0.053711248399200606
ravdess,47,4,2,0.3161,0.3161,1,1,12.6808,54.8671,0.446875,0.44,0.14275675117515396,-0.05026129735093532
ravdess,47,4,2,0.0,0.3161,0,1,12.6808,54.8671,0.45937500000000003,0.44666666666666666,0.3153559997738342,-0.053711248399200606
ravdess,47,4,5,0.5361,0.5361,1,1,12.6808,54.8671,0.47812499999999997,0.46,0.05149968867131127,-0.04142083564972099
ravdess,47,4,5,0.0,0.5361,0,1,12.6808,54.8671,0.45937500000000003,0.44666666666666666,0.3153559997738342,-0.053711248399200606
ravdess,47,4,10,0.698,0.698,1,1,12.6808,54.8671,0.475,0.46,0.006376586115092842,-0.03587098221952978
ravdess,47,4,10,0.0,0.698,0,1,12.6808,54.8671,0.45937500000000003,0.44666666666666666,0.3153559997738342,-0.053711248399200606
ravdess,47,4,20,0.8221,0.8221,1,1,12.6808,54.8671,0.478125,0.4666666666666667,-0.020560939131839095,-0.04791902380577451
ravdess,47,4,20,0.0,0.8221,0,1,12.6808,54.8671,0.45937500000000003,0.44666666666666666,0.3153559997738342,-0.053711248399200606
