dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,46,3,1,0.0,0.1728,0,0,7.3238,35.0572,0.278125,0.27666666666666667,0.28806213239802414,-0.07122592867719968
ravdess,46,3,1,0.1,0.1728,0,0,7.3238,35.0572,0.278125,0.28,0.2210116778584239,-0.07692963743293557
ravdess,46,3,1,0.1728,0.1728,1,0,7.3238,35.0572,0.28125,0.2833333333333333,0.17450041790950133,-0.07849315540754898
ravdess,46,3,1,0.2,0.1728,0,0,7.3238,35.0572,0.275,0.27666666666666667,0.15879005707772054,-0.07857058301378661
ravdess,46,3,1,0.3,0.1728,0,0,7.3238,35.0572,0.278125,0.28,0.10721911290226993,-0.08010910562448537
ravdess,46,3,1,0.5,0.1728,0,0,7.3238,35.0572,0.3375,0.3333333333333333,0.03400947760774864,-0.08864900065820214
ravdess,46,3,1,0.7,0.1728,0,0,7.3238,35.0572,0.34062499999999996,0.34,-0.0060503040367159144,-0.1065598730710251
ravdess,46,3,1,1.0,0.1728,0,0,7.3238,35.0572,0.25,0.24666666666666667,-0.007736889478688891,-0.1420277273237689
ravdess,46,3,1,0.01586880008648481,0.1728,0,1,7.3238,35.0572,0.325,0.31666666666666665,0.20054973380319074,-0.0674292640908778
ravdess,46,3,2,0.0,0.2947,0,0,7.3238,35.0572,0.278125,0.27666666666666667,0.28806213239802414,-0.07122592867719968
ravdess,46,3,2,0.1,0.2947,0,0,7.3238,35.0572,0.29374999999999996,0.29333333333333333,0.2210718872688635,-0.07341416278616641
ravdess,46,3,2,0.2,0.2947,0,0,7.3238,35.0572,0.296875,0.2966666666666667,0.1580724352139704,-0.07390321582501969
ravdess,46,3,2,0.2947,0.2947,1,0,7.3238,35.0572,0.303125,0.30333333333333334,0.11001136969750203,-0.07412536957125537
ravdess,46,3,2,0.3,0.2947,0,0,7.3238,35.0572,0.30624999999999997,0.30666666666666664,0.10755374038252574,-0.0741434219523005
ravdess,46,3,2,0.5,0.2947,0,0,7.3238,35.0572,0.36874999999999997,0.36333333333333334,0.03478484155933792,-0.08130141178808259
ravdess,46,3,2,0.7,0.2947,0,0,7.3238,35.0572,0.375,0.36333333333333334,-0.009647709400346205,-0.08343996320333646
ravdess,46,3,2,1.0,0.2947,0,0,7.3238,35.0572,0.328125,0.31666666666666665,-0.04134560673173926,-0.06681999038144593
ravdess,46,3,2,0.024778389542029027,0.2947,0,1,7.3238,35.0572,0.27812499999999996,0.2633333333333333,0.1811613488769641,-0.07152432185736046
ravdess,46,3,5,0.0,0.5109,0,0,7.3238,35.0572,0.278125,0.27666666666666667,0.28806213239802414,-0.07122592867719968
ravdess,46,3,5,0.1,0.5109,0,0,7.3238,35.0572,0.2875,0.2866666666666667,0.23311753239253585,-0.07052041663324182
