dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
cremad,50,1,1,0.136,0.136,1,1,5.6175,35.6964,0.5981040564373898,0.5962059620596206,0.19815376052698452,-0.04916076039996753
cremad,50,1,1,0.0,0.136,0,1,5.6175,35.6964,0.5770502645502645,0.5752032520325203,0.27654598395287255,-0.04677315951289884
cremad,50,1,1,0.1,0.136,0,1,5.6175,35.6964,0.5958994708994708,0.5941734417344173,0.21837854311858695,-0.04835258792731256
cremad,50,1,1,0.2,0.136,0,1,5.6175,35.6964,0.6014109347442681,0.5995934959349594,0.16353626724519188,-0.05062704135656482
cremad,50,1,1,0.3,0.136,0,1,5.6175,35.6964,0.5955687830687831,0.5934959349593496,0.11373954410925613,-0.0536740913180358
cremad,50,1,1,0.5,0.136,0,1,5.6175,35.6964,0.583994708994709,0.5826558265582655,0.0336188640676216,-0.061445401656313514
cremad,50,1,1,0.7,0.136,0,1,5.6175,35.6964,0.5389109347442681,0.5372628726287263,-0.017318533831056193,-0.06749415437842288
cremad,50,1,1,1.0,0.136,0,1,5.6175,35.6964,0.45723104056437397,0.4573170731707317,-0.04144554998499217,-0.06933430256294404
cremad,50,1,2,0.2394,0.2394,1,1,5.6175,35.6964,0.595679012345679,0.5941734417344173,0.14690209218934136,-0.052756028317334724
cremad,50,1,2,0.0,0.2394,0,1,5.6175,35.6964,0.5770502645502645,0.5752032520325203,0.27654598395287255,-0.04677315951289884
cremad,50,1,2,0.1,0.2394,0,1,5.6175,35.6964,0.5880731922398589,0.5860433604336044,0.21967748074529547,-0.048995823640170855
cremad,50,1,2,0.2,0.2394,0,1,5.6175,35.6964,0.5971119929453264,0.5955284552845529,0.16659755914590768,-0.051679729864942736
cremad,50,1,2,0.3,0.2394,0,1,5.6175,35.6964,0.6031746031746031,0.6016260162601627,0.11822880566357963,-0.05432048007297574
cremad,50,1,2,0.5,0.2394,0,1,5.6175,35.6964,0.6015211640211641,0.6002710027100271,0.037301935598052616,-0.05951310527821274
cremad,50,1,2,0.7,0.2394,0,1,5.6175,35.6964,0.5865299823633158,0.5853658536585366,-0.017711113519333743,-0.06397788657167158
cremad,50,1,2,1.0,0.2394,0,1,5.6175,35.6964,0.5378086419753086,0.537940379403794,-0.04851907231785191,-0.06804014900506417
cremad,50,1,5,0.4404,0.4404,1,1,5.6175,35.6964,0.6262125220458554,0.6239837398373984,0.06595842360967108,-0.05368408905500832
cremad,50,1,5,0.0,0.4404,0,1,5.6175,35.6964,0.5770502645502645,0.5752032520325203,0.27654598395287255,-0.04677315951289884
cremad,50,1,5,0.1,0.4404,0,1,5.6175,35.6964,0.5964506172839507,0.5948509485094851,0.22094559121354207,-0.04775267923971516
cremad,50,1,5,0.2,0.4404,0,1,5.6175,35.6964,0.6082451499118166,0.6063685636856369,0.1694392234209232,-0.04913738018129976
cremad,50,1,5,0.3,0.4404,0,1,5.6175,35.6964,0.6178350970017636,0.6158536585365854,0.12267517764126268,-0.05072150388938024
cremad,50,1,5,0.5,0.4404,0,1,5.6175,35.6964,0.634920634920635,0.6327913279132791,0.04518106046220538,-0.05523716210414342
cremad,50,1,5,0.7,0.4404,0,1,5.6175,35.6964,0.634700176366843,0.6327913279132791,-0.009006514488377526,-0.06069261702734785
cremad,50,1,5,1.0,0.4404,0,1,5.6175,35.6964,0.61331569664903,0.6117886178861789,-0.04326636206218115,-0.06966535727296286
cremad,50,1,10,0.6115,0.6115,1,1,5.6175,35.6964,0.6403218694885361,0.6382113821138211,0.020663966809024714,-0.05422000473649913
cremad,50,1,10,0.0,0.6115,0,1,5.6175,35.6964,0.5770502645502645,0.5752032520325203,0.27654598395287255,-0.04677315951289884
cremad,50,1,10,0.1,0.6115,0,1,5.6175,35.6964,0.5960097001763668,0.5941734417344173,0.22306445097006655,-0.04760616432886877
cremad,50,1,10,0.2,0.6115,0,1,5.6175,35.6964,0.6130952380952381,0.6111111111111112,0.17371316731423336,-0.04871923877983608
cremad,50,1,10,0.3,0.6115,0,1,5.6175,35.6964,0.6265432098765432,0.6246612466124661,0.1287738194897754,-0.04985069383250895
cremad,50,1,10,0.5,0.6115,0,1,5.6175,35.6964,0.634920634920635,0.6327913279132791,0.053551053729435694,-0.052394473147884923
cremad,50,1,10,0.7,0.6115,0,1,5.6175,35.6964,0.64076278659612,0.6388888888888888,-0.00045701743214543455,-0.05581264984800338
cremad,50,1,10,1.0,0.6115,0,1,5.6175,35.6964,0.642526455026455,0.6409214092140921,-0.03760408386386427,-0.06136043399138913
cremad,50,1,20,0.7589,0.7589,1,1,5.6175,35.6964,0.6557539682539683,0.6531165311653117,-0.014240453837092382,-0.05699252387600229
cremad,50,1,20,0.0,0.7589,0,1,5.6175,35.6964,0.5770502645502645,0.5752032520325203,0.27654598395287255,-0.04677315951289884
cremad,50,1,20,0.1,0.7589,0,1,5.6175,35.6964,0.6005291005291006,0.5982384823848238,0.22172125742229154,-0.047345828543018165
cremad,50,1,20,0.2,0.7589,0,1,5.6175,35.6964,0.6175044091710759,0.6151761517615176,0.17149973993977063,-0.04819547641020705
cremad,50,1,20,0.3,0.7589,0,1,5.6175,35.6964,0.6244488536155203,0.6219512195121951,0.12615615375795386,-0.049182472265163035
cremad,50,1,20,0.5,0.7589,0,1,5.6175,35.6964,0.6423059964726632,0.6395663956639567,0.05085087407710365,-0.051906180658433776
