dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
cremad,fixed_position_4,4,48,1,39,317.5,0.6666666666666666,0.6629897931694474,0.6646341463414634,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04349092424870182,-0.05286513427549355,4.169925001442313,0.01761178477629155,-0.04377156819946393,4.169925001442313,-3.21611135314547,-1.653482935319814,4.169925001442313,1.5048202665708619,-0.3116033599081902,4.169925001442313,1.936945229611526,-1.5519724262913037,4.169925001442313,1.7197076063834889,-0.37206540780818553,4.169925001442313
cremad,fixed_position_4,4,48,2,34,316.1,0.6710748123538822,0.6653193867695294,0.6664406779661017,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.01786968312482884,-0.03822082636656532,4.1699193444441836,0.0027965225464043897,-0.030666898859766256,4.1699193444441836,-3.0331318751029563,-1.6134270919326559,4.1699193444441836,1.3531753371681288,-0.33222531930012256,4.1699193444441836,1.9861983104942484,-1.540394427608219,4.1699193444441836,1.7525164798008723,-0.24725279785552345,4.1699193444441836
cremad,fixed_position_4,4,48,3,32,317.0,0.6660606619908945,0.6620298198680499,0.6630508474576271,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.01646999044849551,-0.039684405534209155,4.1699193444441836,0.01617461448775881,-0.045849037530867776,4.1699193444441836,-3.226085991765676,-1.6964313394380204,4.1699193444441836,1.1855494234139337,-0.3110634847095355,4.1699193444441836,2.2759554855928297,-1.5574246506502964,4.1699193444441836,2.0323200167363784,-0.25565996402692903,4.1699193444441836
cremad,fixed_position_4,4,48,4,33,315.7,0.6463193885760258,0.6402686145194146,0.6423027166882277,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.03506921266883101,-0.06133085619205936,4.247550686408009,-0.011433977142056406,-0.03567866088849048,4.247550686408009,-3.2172195748871246,-1.6851771147798429,4.247550686408009,1.2781307882514246,-0.2628740952305382,4.247550686408009,2.2346287239210585,-1.5503412481180519,4.247550686408009,1.9419237673420686,-0.2584632685244985,4.247550686408009
cremad,fixed_position_4,4,48,5,37,318.2,0.6301213749652551,0.6253816958991634,0.6265306122448979,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.04397314213126169,-0.051547857897715765,4.169716095873848,-0.013619620178213943,-0.030745572174295965,4.169716095873848,-3.2792345856176572,-1.830833097619978,4.169716095873848,1.1518276918349333,-0.2923772954921109,4.169716095873848,2.4657044861502087,-1.7050484461460247,4.169716095873848,2.3048681149356556,-0.3616377167668654,4.169716095873848
cremad,fixed_position_4,4,49,1,39,318.6,0.6473765432098766,0.6437953896085303,0.6463414634146342,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.00834638293355816,-0.05618376450975493,4.169925001442313,-0.01384294989194057,-0.04056110940989566,4.169925001442313,-2.7154381379569434,-1.3908531640922428,4.169925001442313,1.8156689569918858,-0.30896022692377123,4.169925001442313,2.2153192971715674,-1.358620126850953,4.169925001442313,1.867481707464052,-0.2525724009384982,4.169925001442313
cremad,fixed_position_4,4,49,2,32,318.4,0.6461486403346869,0.63972973164866,0.6413559322033898,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.032392745266307976,-0.0538051025606654,4.1699193444441836,-0.010895025401076452,-0.04302593908772678,4.1699193444441836,-3.1535704518413823,-1.6192457043964499,4.1699193444441836,1.4096598023140259,-0.2743636265753642,4.1699193444441836,2.057246864671844,-1.5176746174985478,4.1699193444441836,1.8358613668848758,-0.36627279138487623,4.1699193444441836
cremad,fixed_position_4,4,49,3,31,319.3,0.6508982404331242,0.6508065837777404,0.6494915254237288,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.0427459577135787,-0.057370228804916046,4.1699193444441836,-0.026456883093614714,-0.04582516047937535,4.1699193444441836,-3.0349967423616047,-1.6178682807417193,4.1699193444441836,1.2007190763203703,-0.3263000716700608,4.1699193444441836,2.3443119910696204,-1.5309727729974947,4.1699193444441836,1.9353585626763783,-0.26425626704129,4.1699193444441836
cremad,fixed_position_4,4,49,4,39,276.5,0.6411571466881201,0.6390538154162434,0.6377749029754204,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.05213492123261787,-0.0633107442298515,4.247550686408009,-0.0384250449786574,-0.03140473183518111,4.247550686408009,-3.1898961828400596,-1.519762190080728,4.247550686408009,1.5644635625079157,-0.3633072223652327,4.247550686408009,2.251304980879925,-1.495822075093403,4.247550686408009,1.9445405792439865,-0.36702162572482866,4.247550686408009
cremad,fixed_position_4,4,49,5,40,277.9,0.6250316563204547,0.6203135339633308,0.6210884353741497,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.030596483806842656,-0.04479755889813841,4.169716095873848,-0.004035394630643729,-0.04590769574709519,4.169716095873848,-3.200680160267048,-1.5233936594489181,4.169716095873848,1.2837481206408459,-0.29181484661054746,4.169716095873848,2.412534892522954,-1.4440366863680945,4.169716095873848,2.190495135653225,-0.3291035196532457,4.169716095873848
