dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,50,2,1,0.1413,0.1413,1,1,15.3449,93.2791,0.5191948154653454,0.49381625441696114,0.05901560443828191,-0.008421771103974351
iemocap,50,2,1,0.0,0.1413,0,1,15.3449,93.2791,0.5219036624872504,0.49646643109540634,0.0782479816133792,-0.007336744411822416
iemocap,50,2,1,0.1,0.1413,0,1,15.3449,93.2791,0.5187851996522088,0.4929328621908127,0.06446835322187605,-0.007966865684788993
iemocap,50,2,1,0.2,0.1413,0,1,15.3449,93.2791,0.5188254573011621,0.4929328621908127,0.05163535440148359,-0.009116048088369522
iemocap,50,2,1,0.3,0.1413,0,1,15.3449,93.2791,0.5117579824715988,0.48674911660777387,0.04033825998478657,-0.009978357580802677
iemocap,50,2,1,0.5,0.1413,0,1,15.3449,93.2791,0.5041838341205239,0.4787985865724382,0.022897331756375205,-0.010747168944426622
iemocap,50,2,1,0.7,0.1413,0,1,15.3449,93.2791,0.48260425966462717,0.45229681978798586,0.01092139733540165,-0.009808421895636354
iemocap,50,2,1,1.0,0.1413,0,1,15.3449,93.2791,0.44582013460157677,0.41519434628975266,-0.003162881729137923,-0.007195215125810339
iemocap,50,2,2,0.2476,0.2476,1,1,15.3449,93.2791,0.5233740254784677,0.49823321554770317,0.049172334234117154,-0.006806929324486455
iemocap,50,2,2,0.0,0.2476,0,1,15.3449,93.2791,0.5219036624872504,0.49646643109540634,0.0782479816133792,-0.007336744411822416
iemocap,50,2,2,0.1,0.2476,0,1,15.3449,93.2791,0.5243495361571215,0.5,0.06546928174455158,-0.007263983932608187
iemocap,50,2,2,0.2,0.2476,0,1,15.3449,93.2791,0.5235876507446876,0.49823321554770317,0.05409530377062022,-0.006962649285520817
iemocap,50,2,2,0.3,0.2476,0,1,15.3449,93.2791,0.5201433643209213,0.495583038869258,0.043899959469613004,-0.00650301900976169
iemocap,50,2,2,0.5,0.2476,0,1,15.3449,93.2791,0.5115514996914834,0.4840989399293286,0.02704037976764162,-0.005635157398776736
iemocap,50,2,2,0.7,0.2476,0,1,15.3449,93.2791,0.5015601507774569,0.4726148409893993,0.0163399007630316,-0.004519050053916174
iemocap,50,2,2,1.0,0.2476,0,1,15.3449,93.2791,0.4775192525500557,0.4469964664310954,0.006912608220446259,-0.0033390043519607726
iemocap,50,2,5,0.4513,0.4513,1,1,15.3449,93.2791,0.5281624282656515,0.5035335689045937,0.037724770770936056,-0.007256708371847886
iemocap,50,2,5,0.0,0.4513,0,1,15.3449,93.2791,0.5219036624872504,0.49646643109540634,0.0782479816133792,-0.007336744411822416
iemocap,50,2,5,0.1,0.4513,0,1,15.3449,93.2791,0.5246808941106106,0.5,0.06684883817409648,-0.007299917193175132
iemocap,50,2,5,0.2,0.4513,0,1,15.3449,93.2791,0.5297286838358197,0.5053003533568905,0.05683484903056513,-0.00732007080511865
iemocap,50,2,5,0.3,0.4513,0,1,15.3449,93.2791,0.5306631540441885,0.5061837455830389,0.048218143104951205,-0.007300635308251535
iemocap,50,2,5,0.5,0.4513,0,1,15.3449,93.2791,0.5302480342081999,0.5053003533568905,0.03494802357144777,-0.0071738171045598875
iemocap,50,2,5,0.7,0.4513,0,1,15.3449,93.2791,0.5366575446742177,0.5114840989399293,0.02642031714976889,-0.006794097079186323
iemocap,50,2,5,1.0,0.4513,0,1,15.3449,93.2791,0.5273986252443738,0.5008833922261484,0.01909321074639103,-0.006820982560950428
iemocap,50,2,10,0.6219,0.6219,1,1,15.3449,93.2791,0.5413910650108236,0.5167844522968198,0.02335602770122136,-0.006960354146226866
iemocap,50,2,10,0.0,0.6219,0,1,15.3449,93.2791,0.5219036624872504,0.49646643109540634,0.0782479816133792,-0.007336744411822416
iemocap,50,2,10,0.1,0.6219,0,1,15.3449,93.2791,0.5221081973166098,0.49734982332155475,0.06549621351592061,-0.007356549490782127
iemocap,50,2,10,0.2,0.6219,0,1,15.3449,93.2791,0.5259963070251964,0.5017667844522968,0.054025429050821305,-0.00740117710388688
iemocap,50,2,10,0.3,0.6219,0,1,15.3449,93.2791,0.5313040298428483,0.5061837455830389,0.044074741158870445,-0.007364423683696053
iemocap,50,2,10,0.5,0.6219,0,1,15.3449,93.2791,0.5326798292308641,0.5079505300353356,0.029032335635589268,-0.007153464172479196
iemocap,50,2,10,0.7,0.6219,0,1,15.3449,93.2791,0.5371451816800875,0.5114840989399293,0.02100716234928235,-0.006790998767866263
iemocap,50,2,10,1.0,0.6219,0,1,15.3449,93.2791,0.5327267135534166,0.5070671378091873,0.020193200015215185,-0.006142667856704698
iemocap,50,2,20,0.7669,0.7669,1,1,15.3449,93.2791,0.5308042924824394,0.5079505300353356,0.026345035969547848,-0.006832820581669452
iemocap,50,2,20,0.0,0.7669,0,1,15.3449,93.2791,0.5219036624872504,0.49646643109540634,0.0782479816133792,-0.007336744411822416
iemocap,50,2,20,0.1,0.7669,0,1,15.3449,93.2791,0.5208043689440578,0.495583038869258,0.0644599887456001,-0.007310229939736845
iemocap,50,2,20,0.2,0.7669,0,1,15.3449,93.2791,0.5189263380904596,0.49469964664310956,0.05259531560333808,-0.00730776253643961
iemocap,50,2,20,0.3,0.7669,0,1,15.3449,93.2791,0.5214587772355072,0.49734982332155475,0.04281616925011067,-0.007184810511882911
iemocap,50,2,20,0.5,0.7669,0,1,15.3449,93.2791,0.527859743419082,0.5035335689045937,0.02993014797150184,-0.007000970535289919
iemocap,50,2,20,0.7,0.7669,0,1,15.3449,93.2791,0.528701597975005,0.5061837455830389,0.025644893460902596,-0.006832053461931831
iemocap,50,2,20,1.0,0.7669,0,1,15.3449,93.2791,0.5229272226178807,0.49823321554770317,0.03620187424491528,-0.0066366659614987
