dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
iemocap,48,1,1,0.0,0.1597,0,0,23.8867,125.7029,0.37611364793359126,0.4796819787985866,0.18599019190673804,-0.0006574631992178892
iemocap,48,1,1,0.1,0.1597,0,0,23.8867,125.7029,0.41813974944608356,0.5035335689045937,0.14024264195681269,0.0002946210499404911
iemocap,48,1,1,0.1597,0.1597,1,0,23.8867,125.7029,0.4503982505292528,0.5265017667844523,0.11547276668594697,0.0008882227495864425
iemocap,48,1,1,0.2,0.1597,0,0,23.8867,125.7029,0.45984456491335446,0.5300353356890459,0.10022496925237867,0.001133603596402244
iemocap,48,1,1,0.3,0.1597,0,0,23.8867,125.7029,0.4839155941252871,0.5371024734982333,0.06746429333274773,0.001339622809953589
iemocap,48,1,1,0.5,0.1597,0,0,23.8867,125.7029,0.5277406821434413,0.5477031802120141,0.021758964512545553,0.0018812595064490178
iemocap,48,1,1,0.7,0.1597,0,0,23.8867,125.7029,0.5385986522110131,0.5220848056537103,0.0010195210883608974,0.002795409836188867
iemocap,48,1,1,1.0,0.1597,0,0,23.8867,125.7029,0.5167498623370743,0.46466431095406363,-0.0029423453774626296,0.0021328938462583658
iemocap,48,1,1,0.004174032755205098,0.1597,0,1,23.8867,125.7029,0.40263483508581377,0.4911660777385159,0.0851239638893233,-0.0001077528501781666
iemocap,48,1,2,0.0,0.2754,0,0,23.8867,125.7029,0.37611364793359126,0.4796819787985866,0.18599019190673804,-0.0006574631992178892
iemocap,48,1,2,0.1,0.2754,0,0,23.8867,125.7029,0.41663582707983643,0.5026501766784452,0.1407386389694817,-0.0008346953545865787
iemocap,48,1,2,0.2,0.2754,0,0,23.8867,125.7029,0.4572174653687879,0.5256183745583038,0.10029670140773117,-0.0011686359963877235
iemocap,48,1,2,0.2754,0.2754,1,0,23.8867,125.7029,0.47576686453960215,0.5353356890459364,0.07555430416989595,-0.0016553584830736323
iemocap,48,1,2,0.3,0.2754,0,0,23.8867,125.7029,0.48086419589625684,0.5362190812720848,0.06819548761039129,-0.0018316887115430447
iemocap,48,1,2,0.5,0.2754,0,0,23.8867,125.7029,0.5211718360056238,0.5441696113074205,0.02268182861500745,-0.003035435458407676
iemocap,48,1,2,0.7,0.2754,0,0,23.8867,125.7029,0.5448247493005816,0.5335689045936396,0.0026490318800185264,-0.0031156061449559846
iemocap,48,1,2,1.0,0.2754,0,0,23.8867,125.7029,0.5205721799379606,0.4734982332155477,-0.00027374060135465506,-0.004860957248655651
iemocap,48,1,2,0.006676868153200643,0.2754,0,1,23.8867,125.7029,0.40894639910342795,0.495583038869258,0.052291050661982585,-0.0006643380425910284
iemocap,48,1,5,0.0,0.4872,0,0,23.8867,125.7029,0.37611364793359126,0.4796819787985866,0.18599019190673804,-0.0006574631992178892
iemocap,48,1,5,0.1,0.4872,0,0,23.8867,125.7029,0.4156229709225936,0.5008833922261484,0.13891435540542174,-0.0006067000714636839
iemocap,48,1,5,0.2,0.4872,0,0,23.8867,125.7029,0.4572666900939208,0.5300353356890459,0.09843023992998767,-0.0004763436026368195
iemocap,48,1,5,0.3,0.4872,0,0,23.8867,125.7029,0.4959228680198952,0.5521201413427562,0.06609074822158201,-0.00022226898378907567
iemocap,48,1,5,0.4872,0.4872,1,0,23.8867,125.7029,0.5159526427530923,0.5415194346289752,0.024546392734125178,-0.00029494029989318715
iemocap,48,1,5,0.5,0.4872,0,0,23.8867,125.7029,0.5169533948123923,0.5397526501766784,0.02250671746908639,-0.00032717733212916933
iemocap,48,1,5,0.7,0.4872,0,0,23.8867,125.7029,0.5446386325458898,0.5309187279151943,0.0016329148034530672,0.0008061717284895131
iemocap,48,1,5,1.0,0.4872,0,0,23.8867,125.7029,0.5386551987330072,0.48851590106007065,-0.002073222563616306,0.0007108046554780145
iemocap,48,1,5,0.010940310292495814,0.4872,0,1,23.8867,125.7029,0.4232564076967239,0.5044169611307421,0.020578578668730807,0.0002523296081744508
iemocap,48,1,10,0.0,0.6552,0,0,23.8867,125.7029,0.37611364793359126,0.4796819787985866,0.18599019190673804,-0.0006574631992178892
iemocap,48,1,10,0.1,0.6552,0,0,23.8867,125.7029,0.4172906715280162,0.5053003533568905,0.13848469475284286,-0.00017898877053557083
