dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
iemocap,fixed_position_4,4,48,1,34,218.9,0.5700794040097829,0.5301682852309422,0.515017667844523,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.001804111767397809,0.0017350947953335139,0.9836697149306288,0.00541160851481548,-0.0005999981745201666,0.9836697149306288,-0.2503292922824736,-0.149528476393616,0.9836697149306288,0.678554290373353,-0.06900197539789876,0.9836697149306288,0.7549568075595225,-0.1479225300114988,0.9836697149306288,0.6388930364643721,-0.05570747299683254,0.9836697149306288
iemocap,fixed_position_4,4,48,2,35,218.0,0.521018188398515,0.5048083644932216,0.495583038869258,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.0010601396883305192,-0.005004803012748527,0.9910444329385492,0.014265643057944533,-0.014591276976441692,0.9910444329385492,-0.2712924201003285,-0.10638664824617161,0.9910444329385492,0.5013896295959572,-0.07258638618189439,0.9910444329385492,0.3409216622716781,-0.10448102280285088,0.9910444329385492,0.24036835841391968,-0.06125952715397498,0.9910444329385492
iemocap,fixed_position_4,4,48,3,33,218.2,0.5205017989937382,0.5030764820072814,0.5,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.004235020679424717,-0.009006361700490961,0.9973008701007469,-0.004487921605425216,-0.012194120479813497,0.9973008701007469,-0.28104717597710893,-0.0848188450122156,0.9973008701007469,0.638462178588957,-0.08297432787453807,0.9973008701007469,0.4201505216838657,-0.08192976369753535,0.9973008701007469,0.2762612479756782,-0.1312095190584348,0.9973008701007469
iemocap,fixed_position_4,4,48,4,39,220.5,0.5905489901932279,0.55874272754846,0.5576036866359447,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.009207784514778328,-0.0015245789860492964,0.9994846138022001,0.061788839632968884,-0.00039431699669634224,0.9994846138022001,-0.2969907491811351,-0.1322008045030506,0.9994846138022001,0.5599654666649417,-0.02796021220352951,0.9994846138022001,0.4027514799725367,-0.13442233413520233,0.9994846138022001,0.31415974808199687,-0.03598321802186988,0.9994846138022001
iemocap,fixed_position_4,4,48,5,28,212.3,0.5618300291902656,0.5317275780148734,0.5214953271028038,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.020727985968721163,-0.003519243817597162,0.9998765061155545,0.06095422621147473,-0.011037186550737155,0.9998765061155545,-0.283745836508119,-0.16560035654700156,0.9998765061155545,0.7334995688506865,-0.07203947509158415,0.9998765061155545,0.7239535885355248,-0.15991802719128267,0.9998765061155545,0.6258210654234047,-0.08441565512699645,0.9998765061155545
iemocap,fixed_position_4,4,49,1,36,215.3,0.5583771622434902,0.5148140337452997,0.49469964664310956,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.002396774581613581,-0.005486837572913017,0.9836697149306288,0.054459880308731945,-0.013864396927496858,0.9836697149306288,-0.2800231680163079,-0.141383757886115,0.9836697149306288,0.724188478492261,-0.0576062573591305,0.9836697149306288,0.730142787771217,-0.1418376059088411,0.9836697149306288,0.5905919502611694,-0.056460152082320914,0.9836697149306288
iemocap,fixed_position_4,4,49,2,7,111.3,0.5301420923879667,0.49374265890231794,0.5132508833922261,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.042475887870578655,-0.002514910212417343,0.9910444329385492,0.007942854343712225,-0.0034770773161878488,0.9910444329385492,-0.14855130470402844,-0.07604000547007927,0.9910444329385492,0.6505600690351565,-0.04175734912214246,0.9910444329385492,0.3275679272523223,-0.07408622815873522,0.9910444329385492,0.18459137234525658,-0.04058771790399607,0.9910444329385492
iemocap,fixed_position_4,4,49,3,37,219.4,0.5040642267955755,0.48606591514081077,0.48381294964028776,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.00857399294321537,-0.0019319530564108067,0.9973008701007469,-0.0008704251570683663,-0.0004987894197464593,0.9973008701007469,-0.30336666085975783,-0.13344464345539997,0.9973008701007469,0.624935547141199,-0.10583357941485705,0.9973008701007469,0.45345102277181537,-0.13211396256859387,0.9973008701007469,0.3043833288867607,-0.10665934669981181,0.9973008701007469
iemocap,fixed_position_4,4,49,4,39,180.7,0.5529775676937404,0.5068224596853163,0.5142857142857142,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.005356170871110177,-0.007451165608427623,0.9994846138022001,0.01542754399273294,-0.009692157978230198,0.9994846138022001,-0.24870906377278568,-0.11217471050717764,0.9994846138022001,0.5237923708032866,-0.01730919060214331,0.9994846138022001,0.4695003844994148,-0.10880408324518254,0.9994846138022001,0.32952125160734613,-0.020427970400985873,0.9994846138022001
iemocap,fixed_position_4,4,49,5,35,159.7,0.5600578851930644,0.5367025354724628,0.5233644859813084,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.023316474548213062,0.00036608037979013464,0.9998765061155545,0.07951520944748891,-0.004495940190977099,0.9998765061155545,-0.27506614522746065,-0.15980654160028884,0.9998765061155545,0.8116414939385762,-0.05921827870178531,0.9998765061155545,0.7674084323526323,-0.15082885488732056,0.9998765061155545,0.6118091711289693,-0.057801223615435604,0.9998765061155545
