dataset,seed,fold,k,lam,lam_star,is_lam_star,centered,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,50,3,1,0.2384,0.2384,1,1,9.8478,31.4583,0.309375,0.3233333333333333,0.1146267886171799,-0.05382044098889249
ravdess,50,3,1,0.0,0.2384,0,1,9.8478,31.4583,0.32499999999999996,0.33666666666666667,0.22235448551228654,-0.05165535551325817
ravdess,50,3,1,0.1,0.2384,0,1,9.8478,31.4583,0.31875,0.33,0.17930968420961646,-0.052857673135256356
ravdess,50,3,1,0.2,0.2384,0,1,9.8478,31.4583,0.3125,0.3233333333333333,0.13248825785077978,-0.05352608498054057
ravdess,50,3,1,0.3,0.2384,0,1,9.8478,31.4583,0.29375,0.30666666666666664,0.08700507544719294,-0.054375672664888075
ravdess,50,3,1,0.5,0.2384,0,1,9.8478,31.4583,0.29375,0.30666666666666664,0.01780835345718712,-0.05295779630192943
ravdess,50,3,1,0.7,0.2384,0,1,9.8478,31.4583,0.296875,0.30333333333333334,-0.01590161374838317,-0.05672045628997813
ravdess,50,3,1,1.0,0.2384,0,1,9.8478,31.4583,0.265625,0.26666666666666666,-0.02673952388493772,-0.06836810784787328
ravdess,50,3,2,0.385,0.385,1,1,9.8478,31.4583,0.328125,0.33666666666666667,0.059196232461943055,-0.04437568044059459
ravdess,50,3,2,0.0,0.385,0,1,9.8478,31.4583,0.32499999999999996,0.33666666666666667,0.22235448551228654,-0.05165535551325817
ravdess,50,3,2,0.1,0.385,0,1,9.8478,31.4583,0.31875,0.33,0.1762813408565287,-0.048583691923690164
ravdess,50,3,2,0.2,0.385,0,1,9.8478,31.4583,0.30937499999999996,0.32,0.13089331149756944,-0.04654713630606233
ravdess,50,3,2,0.3,0.385,0,1,9.8478,31.4583,0.33125,0.34,0.08996651017763702,-0.04541922251826325
ravdess,50,3,2,0.5,0.385,0,1,9.8478,31.4583,0.315625,0.3233333333333333,0.022741779978210364,-0.04377312111454046
ravdess,50,3,2,0.7,0.385,0,1,9.8478,31.4583,0.3375,0.3433333333333333,-0.02143471721463852,-0.04368708901538332
ravdess,50,3,2,1.0,0.385,0,1,9.8478,31.4583,0.30625,0.31333333333333335,-0.045206290656155,-0.04132765510867298
ravdess,50,3,5,0.6102,0.6102,1,1,9.8478,31.4583,0.325,0.33,-0.024318233874925266,-0.04735312288416749
ravdess,50,3,5,0.0,0.6102,0,1,9.8478,31.4583,0.32499999999999996,0.33666666666666667,0.22235448551228654,-0.05165535551325817
ravdess,50,3,5,0.1,0.6102,0,1,9.8478,31.4583,0.334375,0.35,0.17695685902967373,-0.05217261985498567
ravdess,50,3,5,0.2,0.6102,0,1,9.8478,31.4583,0.3375,0.35333333333333333,0.13127559244267495,-0.05250887437353535
ravdess,50,3,5,0.3,0.6102,0,1,9.8478,31.4583,0.328125,0.3433333333333333,0.08671883346951015,-0.05253952556773234
ravdess,50,3,5,0.5,0.6102,0,1,9.8478,31.4583,0.34375,0.35,0.009247903757798603,-0.05013662977419475
ravdess,50,3,5,0.7,0.6102,0,1,9.8478,31.4583,0.34375,0.3466666666666667,-0.04623680339851477,-0.04483676633299982
ravdess,50,3,5,1.0,0.6102,0,1,9.8478,31.4583,0.334375,0.33666666666666667,-0.08390770129765235,-0.035412770346410216
ravdess,50,3,10,0.7579,0.7579,1,1,9.8478,31.4583,0.35,0.3566666666666667,-0.037540649020300076,-0.03653184540649068
ravdess,50,3,10,0.0,0.7579,0,1,9.8478,31.4583,0.32499999999999996,0.33666666666666667,0.22235448551228654,-0.05165535551325817
ravdess,50,3,10,0.1,0.7579,0,1,9.8478,31.4583,0.31562500000000004,0.33,0.17856296884861145,-0.04979600356715963
ravdess,50,3,10,0.2,0.7579,0,1,9.8478,31.4583,0.31875,0.3333333333333333,0.1360696376415671,-0.0479710021886115
ravdess,50,3,10,0.3,0.7579,0,1,9.8478,31.4583,0.32187499999999997,0.33666666666666667,0.09597782487725626,-0.046556643145683196
ravdess,50,3,10,0.5,0.7579,0,1,9.8478,31.4583,0.334375,0.3466666666666667,0.027571246655584858,-0.04346173276295051
ravdess,50,3,10,0.7,0.7579,0,1,9.8478,31.4583,0.34062499999999996,0.35,-0.025729797482730632,-0.03850590000746301
ravdess,50,3,10,1.0,0.7579,0,1,9.8478,31.4583,0.346875,0.3566666666666667,-0.06458707842737921,-0.02816024052284183
ravdess,50,3,20,0.8623,0.8623,1,1,9.8478,31.4583,0.35,0.36,-0.053424552654513846,-0.03565015105858649
ravdess,50,3,20,0.0,0.8623,0,1,9.8478,31.4583,0.32499999999999996,0.33666666666666667,0.22235448551228654,-0.05165535551325817
ravdess,50,3,20,0.1,0.8623,0,1,9.8478,31.4583,0.3375,0.35,0.17841420306627587,-0.051085279614985435
ravdess,50,3,20,0.2,0.8623,0,1,9.8478,31.4583,0.34375,0.3566666666666667,0.13649362930894737,-0.050611328888749973
ravdess,50,3,20,0.3,0.8623,0,1,9.8478,31.4583,0.340625,0.36,0.09712028678177331,-0.04954274668738101
ravdess,50,3,20,0.5,0.8623,0,1,9.8478,31.4583,0.35,0.36333333333333334,0.027641501879833275,-0.04607051871913992
ravdess,50,3,20,0.7,0.8623,0,1,9.8478,31.4583,0.365625,0.38,-0.02554684910403182,-0.04123841404072248
ravdess,50,3,20,1.0,0.8623,0,1,9.8478,31.4583,0.359375,0.37,-0.06467237926915459,-0.029468919282993333
