dataset,seed,fold,k,lam,lam_star,is_lam_star,is_matrix,tau2,within,test_uar,test_acc,leak_bits,control_bits
ravdess,50,1,1,0.0,0.1202,0,0,5.598,40.9635,0.2375,0.23333333333333334,0.41027708328348167,-0.06926780009035438
ravdess,50,1,1,0.1,0.1202,0,0,5.598,40.9635,0.24062499999999998,0.23666666666666666,0.35432925634531665,-0.07258462451974967
ravdess,50,1,1,0.1202,0.1202,1,0,5.598,40.9635,0.246875,0.24333333333333335,0.342294132097994,-0.07272581345940754
ravdess,50,1,1,0.2,0.1202,0,0,5.598,40.9635,0.265625,0.25333333333333335,0.2942683680585141,-0.07197135338869076
ravdess,50,1,1,0.3,0.1202,0,0,5.598,40.9635,0.284375,0.27,0.23452021384193245,-0.0685555704139138
ravdess,50,1,1,0.5,0.1202,0,0,5.598,40.9635,0.321875,0.30333333333333334,0.13435385277993017,-0.0650550626716977
ravdess,50,1,1,0.7,0.1202,0,0,5.598,40.9635,0.36875,0.35,0.0784711622845804,-0.06505374019725796
ravdess,50,1,1,1.0,0.1202,0,0,5.598,40.9635,0.325,0.31666666666666665,0.03780185225261601,-0.06657684878168801
ravdess,50,1,1,0.016558453602378228,0.1202,0,1,5.598,40.9635,0.29374999999999996,0.25666666666666665,0.31155885815638396,-0.06305592909750146
ravdess,50,1,2,0.0,0.2146,0,0,5.598,40.9635,0.2375,0.23333333333333334,0.41027708328348167,-0.06926780009035438
ravdess,50,1,2,0.1,0.2146,0,0,5.598,40.9635,0.25,0.24666666666666667,0.352794610361727,-0.06880733603088274
ravdess,50,1,2,0.2,0.2146,0,0,5.598,40.9635,0.271875,0.26,0.29175448865234266,-0.07016859662853969
ravdess,50,1,2,0.2146,0.2146,1,0,5.598,40.9635,0.271875,0.26,0.2829552179850223,-0.0703333583370358
ravdess,50,1,2,0.3,0.2146,0,0,5.598,40.9635,0.28125,0.27,0.23219328336342748,-0.07005681006104458
ravdess,50,1,2,0.5,0.2146,0,0,5.598,40.9635,0.346875,0.33,0.12664475044687906,-0.06812421997550189
ravdess,50,1,2,0.7,0.2146,0,0,5.598,40.9635,0.4,0.37666666666666665,0.060807038340672026,-0.06349022271726001
ravdess,50,1,2,1.0,0.2146,0,0,5.598,40.9635,0.359375,0.34,0.042441501524348446,-0.03476126576104255
ravdess,50,1,2,0.025386806619080948,0.2146,0,1,5.598,40.9635,0.284375,0.23666666666666666,0.2508589105113268,-0.062084099262465386
ravdess,50,1,5,0.0,0.4059,0,0,5.598,40.9635,0.2375,0.23333333333333334,0.41027708328348167,-0.06926780009035438
ravdess,50,1,5,0.1,0.4059,0,0,5.598,40.9635,0.246875,0.24333333333333335,0.3574366169475047,-0.0691060999324411
ravdess,50,1,5,0.2,0.4059,0,0,5.598,40.9635,0.265625,0.25666666666666665,0.30345451413836066,-0.0703331731727137
ravdess,50,1,5,0.3,0.4059,0,0,5.598,40.9635,0.290625,0.27666666666666667,0.24984762918004177,-0.07037708476732707
ravdess,50,1,5,0.4059,0.4059,1,0,5.598,40.9635,0.31562500000000004,0.3,0.1949848731789099,-0.06794803286455497
ravdess,50,1,5,0.5,0.4059,0,0,5.598,40.9635,0.3375,0.32,0.14815848698921785,-0.06481733852389349
ravdess,50,1,5,0.7,0.4059,0,0,5.598,40.9635,0.38125,0.3566666666666667,0.06963710648775301,-0.059241993165378926
ravdess,50,1,5,1.0,0.4059,0,0,5.598,40.9635,0.396875,0.38333333333333336,0.06167599387345035,-0.06917432631635911
ravdess,50,1,5,0.03923681091414658,0.4059,0,1,5.598,40.9635,0.20625,0.15666666666666668,0.2366508428409544,-0.052107796464819334
ravdess,50,1,10,0.0,0.5774,0,0,5.598,40.9635,0.2375,0.23333333333333334,0.41027708328348167,-0.06926780009035438
ravdess,50,1,10,0.1,0.5774,0,0,5.598,40.9635,0.25,0.24666666666666667,0.3513347147373005,-0.07074488797986112
ravdess,50,1,10,0.2,0.5774,0,0,5.598,40.9635,0.278125,0.26666666666666666,0.29151955003935637,-0.07204206836242477
ravdess,50,1,10,0.3,0.5774,0,0,5.598,40.9635,0.30625,0.29333333333333333,0.23185377652572203,-0.07146840108536123
ravdess,50,1,10,0.5,0.5774,0,0,5.598,40.9635,0.35,0.33666666666666667,0.12609358657744263,-0.06487914124897776
ravdess,50,1,10,0.5774,0.5774,1,0,5.598,40.9635,0.35625,0.3433333333333333,0.09340771708846063,-0.06032059631005904
ravdess,50,1,10,0.7,0.5774,0,0,5.598,40.9635,0.37187499999999996,0.3566666666666667,0.06169286613206193,-0.05616586875561014
ravdess,50,1,10,1.0,0.5774,0,0,5.598,40.9635,0.434375,0.41,0.06958976997830257,-0.05831853888763616
ravdess,50,1,10,0.04963781740997769,0.5774,0,1,5.598,40.9635,0.18125,0.13,0.228820363219846,-0.06103433856998741
ravdess,50,1,20,0.0,0.7321,0,0,5.598,40.9635,0.2375,0.23333333333333334,0.41027708328348167,-0.06926780009035438
ravdess,50,1,20,0.1,0.7321,0,0,5.598,40.9635,0.25,0.24666666666666667,0.35397043332535083,-0.0685980138160005
ravdess,50,1,20,0.2,0.7321,0,0,5.598,40.9635,0.26875000000000004,0.2633333333333333,0.2960965403133451,-0.06816274104521236
ravdess,50,1,20,0.3,0.7321,0,0,5.598,40.9635,0.296875,0.2833333333333333,0.23985094947642116,-0.06621826540187037
ravdess,50,1,20,0.5,0.7321,0,0,5.598,40.9635,0.328125,0.31333333333333335,0.1471855888819804,-0.05825564293971475
ravdess,50,1,20,0.7,0.7321,0,0,5.598,40.9635,0.38750000000000007,0.37,0.09368007642605214,-0.051468977916136804
ravdess,50,1,20,0.7321,0.7321,1,0,5.598,40.9635,0.403125,0.38333333333333336,0.09123219914386649,-0.0516001208352832
ravdess,50,1,20,1.0,0.7321,0,0,5.598,40.9635,0.428125,0.4066666666666667,0.1302082083072711,-0.054177092697169194
ravdess,50,1,20,0.05858312996733556,0.7321,0,1,5.598,40.9635,0.19374999999999998,0.14666666666666667,0.2690496454065685,-0.0747164092843211
