dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
ravdess,fixed_position_4,4,48,1,16,53.5,0.3125,0.24776586932354058,0.33,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.046111142368854274,-0.05319513046069879,2.3219280948873626,-0.02826441531286461,-0.03265072849499262,2.3219280948873626,-1.6836899989595926,-0.6306395776327589,2.3219280948873626,0.5093550380491465,-0.23444228080886287,2.3219280948873626,1.2229510433931288,-0.6125072820438535,2.3219280948873626,0.6627634586860631,-0.1953335098636937,2.3219280948873626
ravdess,fixed_position_4,4,48,2,37,69.9,0.31875,0.27913236099891753,0.32,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.11326544175879327,-0.031901202828932274,2.3219280948873626,0.07825933289131504,-0.013848987764761844,2.3219280948873626,-1.897699937945874,-0.5907687876381766,2.3219280948873626,0.8548240589272451,-0.26917431678596104,2.3219280948873626,1.8739103600132907,-0.5636346133587873,2.3219280948873626,1.5498567861848103,-0.3212654126155283,2.3219280948873626
ravdess,fixed_position_4,4,48,3,26,66.2,0.428125,0.4056229271195239,0.42,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.03845037235309601,-0.011399545557222446,2.3219280948873626,-0.01892149995676151,-0.018110543440119198,2.3219280948873626,-1.8741490229436577,-0.6350968508618724,2.3219280948873626,0.6466147702954184,-0.2866887097391855,2.3219280948873626,1.7412719373510448,-0.5920848142651769,2.3219280948873626,1.1390655027533445,-0.30199813137651343,2.3219280948873626
ravdess,fixed_position_4,4,48,4,32,69.0,0.4625,0.40993700780562725,0.44,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.018920088736505303,-0.05026807197642036,2.3219280948873626,0.01582532045006735,-0.03783380376766887,2.3219280948873626,-2.1413131642526757,-0.734064214522764,2.3219280948873626,0.8153877762890513,-0.3084844474011268,2.3219280948873626,1.9640594822932118,-0.8233850597261978,2.3219280948873626,1.1400093827333577,-0.31501890183232684,2.3219280948873626
ravdess,fixed_position_4,4,48,5,37,71.1,0.421875,0.3859600028939989,0.4083333333333333,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.048788389217915284,-0.058442998514321776,2.0,0.03355540149865832,-0.04484045047121166,2.0,-2.49991745378641,-1.0209883383706768,2.0,0.6849801594798408,-0.22250376811912975,2.0,1.293305008315989,-0.8980299762080386,2.0,1.010821233512135,-0.10948790815546205,2.0
ravdess,fixed_position_4,4,49,1,24,63.3,0.47187500000000004,0.4051203563542429,0.45666666666666667,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.026096388827252515,-0.04477615400821655,2.3219280948873626,-0.022155842246034396,-0.03274527557406337,2.3219280948873626,-2.7790846740002033,-0.9924401920450947,2.3219280948873626,0.6250183831656466,-0.29632275573289757,2.3219280948873626,1.1651440943406617,-0.8823203647775371,2.3219280948873626,0.7730310830082308,-0.28301943042270494,2.3219280948873626
ravdess,fixed_position_4,4,49,2,36,69.6,0.509375,0.46495338862478197,0.49666666666666665,0.0,0.0,0.0,0.0,1.0,4,-0.0,0.10856216940079255,-0.0709951424186821,2.3219280948873626,0.023680306376165028,-0.05303660337121707,2.3219280948873626,-2.691487461827042,-1.0935681699182558,2.3219280948873626,0.933518018492669,-0.3991388613490918,2.3219280948873626,1.7503241066153994,-0.9788758653742269,2.3219280948873626,1.387267094790089,-0.3418533400129311,2.3219280948873626
ravdess,fixed_position_4,4,49,3,30,69.4,0.434375,0.4004197718074433,0.44,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.020808267522936408,-0.048426890902736996,2.3219280948873626,-0.05589897731241589,-0.028108957913495658,2.3219280948873626,-2.5374869678682446,-1.0410082414917192,2.3219280948873626,0.45559497997045817,-0.4724348626225292,2.3219280948873626,1.735853499228088,-0.9985928456646542,2.3219280948873626,1.013963609753778,-0.4184737125270295,2.3219280948873626
ravdess,fixed_position_4,4,49,4,27,52.2,0.5,0.44662756130116954,0.4866666666666667,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.019794221373729215,-0.06805458435954304,2.3219280948873626,-0.031102413582546617,-0.04244871425303964,2.3219280948873626,-2.4361473988009292,-0.9960587228302606,2.3219280948873626,0.5692956469696202,-0.2955518930766905,2.3219280948873626,1.9249641030756872,-0.9431116610480084,2.3219280948873626,1.5189023775727386,-0.2915764664821294,2.3219280948873626
ravdess,fixed_position_4,4,49,5,39,61.4,0.46875,0.4168782316016436,0.45416666666666666,0.0,0.0,0.0,0.0,1.0,4,-0.0,-0.07667083665412822,-0.050457332842015035,2.0,-0.008261144181691993,-0.0424759797137515,2.0,-3.084405864321263,-0.8130735981399679,2.0,0.17045048765000925,-0.3601019933586538,2.0,1.3477736740256736,-0.7017155631501613,2.0,0.8515405181805682,-0.21906779517479036,2.0
