dataset,model,fixed_position,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,gate0,gate1,gate2,gate3,gate4,gate_argmax,gate_entropy_bits,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,h_raw_linear_mi_lb_bits,h_raw_linear_control_bits,h_raw_linear_entropy_bits,h_raw_mlp_mi_lb_bits,h_raw_mlp_control_bits,h_raw_mlp_entropy_bits
cremad,fixed_position_0,0,51,1,36,321.9,0.6108906525573192,0.6102374593520434,0.6111111111111112,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.1611731962287557,-0.05002272686239628,4.169925001442313,0.1470170554905268,-0.031393582944761356,4.169925001442313,2.1181096544537406,-1.4458064790593639,4.169925001442313,1.8194318937553309,-0.23071006292748208,4.169925001442313,2.1181096544537406,-1.4458064790593639,4.169925001442313,1.8194318937553309,-0.23071006292748208,4.169925001442313
cremad,fixed_position_0,0,51,2,34,322.6,0.5981020056601453,0.5941896522436879,0.5952542372881356,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.15778819063106564,-0.05792247885982427,4.1699193444441836,0.11845606123959129,-0.060966758562924106,4.1699193444441836,2.11342821761845,-1.5130807598359413,4.1699193444441836,1.831154149598019,-0.3119097137871183,4.1699193444441836,2.11342821761845,-1.5130807598359413,4.1699193444441836,1.831154149598019,-0.3119097137871183,4.1699193444441836
cremad,fixed_position_0,0,51,3,40,320.8,0.6162513842746401,0.6110149872249752,0.6115254237288136,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.10369200074716556,-0.06803973845325029,4.1699193444441836,0.05389310238042633,-0.03433065280489345,4.1699193444441836,2.659439657360837,-1.5289044989535538,4.1699193444441836,2.2554118495071647,-0.26707197039022823,4.1699193444441836,2.659439657360837,-1.5289044989535538,4.1699193444441836,2.2554118495071647,-0.26707197039022823,4.1699193444441836
cremad,fixed_position_0,0,51,4,40,316.8,0.5994848931795834,0.597983577623913,0.5957309184993532,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.16742566956394267,-0.04909443944563474,4.247550686408009,0.15123122237968634,-0.020648364136220287,4.247550686408009,2.272404202559919,-1.4603407070864023,4.247550686408009,2.017166258981973,-0.2263350672615898,4.247550686408009,2.272404202559919,-1.4603407070864023,4.247550686408009,2.017166258981973,-0.2263350672615898,4.247550686408009
cremad,fixed_position_0,0,51,5,32,319.1,0.5731245560394082,0.5647701976228164,0.5687074829931973,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.16370439804235204,-0.04400829867462974,4.169716095873848,0.19080181827577958,-0.03927587608984595,4.169716095873848,2.500409002090961,-1.2845155791360217,4.169716095873848,2.2423531759105026,-0.2449022164714698,4.169716095873848,2.500409002090961,-1.2845155791360217,4.169716095873848,2.2423531759105026,-0.2449022164714698,4.169716095873848
cremad,fixed_position_0,0,52,1,35,321.8,0.6103395061728395,0.6043203400304514,0.6084010840108401,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.14910245749658646,-0.06528616721586378,4.169925001442313,0.21241611781205183,-0.05416584325939411,4.169925001442313,1.9704333411514838,-1.4982406712592047,4.169925001442313,1.7499995153082049,-0.2898501691557982,4.169925001442313,1.9704333411514838,-1.4982406712592047,4.169925001442313,1.7499995153082049,-0.2898501691557982,4.169925001442313
cremad,fixed_position_0,0,52,2,37,319.6,0.6093884582256676,0.602903792344544,0.6054237288135593,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.1372571035323249,-0.0543179200769659,4.1699193444441836,0.08900045955527425,-0.04421036472775253,4.1699193444441836,1.9818896484255277,-1.4282096638780324,4.1699193444441836,1.742681728325456,-0.24156799722415734,4.1699193444441836,1.9818896484255277,-1.4282096638780324,4.1699193444441836,1.742681728325456,-0.24156799722415734,4.1699193444441836
cremad,fixed_position_0,0,52,3,35,319.5,0.6391072966654362,0.6386971403862202,0.6372881355932203,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.09254404474921696,-0.06509979112848985,4.1699193444441836,0.10937852973550655,-0.04490827053411728,4.1699193444441836,2.42033881920392,-1.5489446924149295,4.1699193444441836,2.125803748811665,-0.373029383682268,4.1699193444441836,2.42033881920392,-1.5489446924149295,4.1699193444441836,2.125803748811665,-0.373029383682268,4.1699193444441836
cremad,fixed_position_0,0,52,4,36,273.2,0.618541610798248,0.612922099698829,0.6138421733505821,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.12165503937535949,-0.04840736173834781,4.247550686408009,0.09456728248572421,-0.05410098791643403,4.247550686408009,2.3419901716087637,-1.6104315285482285,4.247550686408009,2.0054899332003684,-0.24226570717335427,4.247550686408009,2.3419901716087637,-1.6104315285482285,4.247550686408009,2.0054899332003684,-0.24226570717335427,4.247550686408009
cremad,fixed_position_0,0,52,5,36,278.8,0.5849532104141573,0.5835001393139896,0.5836734693877551,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.24450257626999017,-0.04901849307945749,4.169716095873848,0.22155623669141278,-0.03871729190755335,4.169716095873848,2.5503140614957083,-1.405057074811932,4.169716095873848,2.217909197324378,-0.2749565566470791,4.169716095873848,2.5503140614957083,-1.405057074811932,4.169716095873848,2.217909197324378,-0.2749565566470791,4.169716095873848
