dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
cremad,inlp_trans,42,1,32,145.0,0.2043650793650794,0.11417515190829865,0.016963667783501002,-0.010049375871700406,4.169925001442313
cremad,inlp_trans,42,2,30,141.6,0.16666666666666666,0.048639258830341627,-0.000360947145033208,-0.0003673115689171169,4.1699193444441836
cremad,inlp_trans,42,3,29,144.4,0.6316106804478897,0.6330175125245091,-0.818988707686132,-0.6813694550038445,4.1699193444441836
cremad,inlp_trans,42,4,35,151.1,0.16666666666666666,0.04861878453038674,-0.24526994286031467,-0.41813086714453007,4.247550686408009
cremad,inlp_trans,42,5,29,138.7,0.16666666666666666,0.04861514623281038,0.0220224965481588,-0.07006057238941299,4.169716095873848
cremad,inlp_trans,43,1,23,130.7,0.16666666666666666,0.04861111111111111,0.028016396788381748,-0.016522052579378332,4.169925001442313
cremad,inlp_trans,43,2,31,90.5,0.16666666666666666,0.048639258830341627,-0.00517821359175219,-0.008799653541537111,4.1699193444441836
cremad,inlp_trans,43,3,36,83.6,0.16666666666666666,0.048639258830341627,-0.017183344153586688,-0.006016541395264419,4.1699193444441836
cremad,inlp_trans,43,4,30,81.3,0.16666666666666666,0.04861878453038674,0.038052020340649584,-0.0075873047481263,4.247550686408009
cremad,inlp_trans,43,5,40,77.9,0.16666666666666666,0.04861514623281038,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848
cremad,inlp_trans,44,1,33,78.2,0.16666666666666666,0.04861111111111111,0.032980747057028914,-0.010479901405640035,4.169925001442313
cremad,inlp_trans,44,2,32,72.9,0.16666666666666666,0.048639258830341627,-0.009612622969034312,-0.007808444502276579,4.1699193444441836
cremad,inlp_trans,44,3,29,94.7,0.6550295311923219,0.6551863737814088,-0.7039972250746223,-0.5962902974540789,4.1699193444441836
cremad,inlp_trans,44,4,38,103.2,0.16666666666666666,0.04861878453038674,0.04889089641081945,-0.033092003351570476,4.247550686408009
cremad,inlp_trans,44,5,34,101.5,0.16666666666666666,0.04861514623281038,0.004860955110308041,-0.037426637355591375,4.169716095873848
cremad,leace_trainfit,42,1,32,144.2,0.4348544973544974,0.43273259293274585,-0.2290512109813152,-1.273667962602799,4.169925001442313
cremad,leace_trainfit,42,2,30,140.8,0.4060661990894549,0.4053517708666295,0.31355106837132585,-1.2670179823488796,4.1699193444441836
cremad,leace_trainfit,42,3,29,136.6,0.466116032976498,0.4685232302383227,-0.17683719046381174,-1.2146165215859215,4.1699193444441836
cremad,leace_trainfit,42,4,35,147.6,0.43285174756413697,0.4251536472985429,-0.4285795390438816,-1.587746367955691,4.247550686408009
cremad,leace_trainfit,42,5,29,136.7,0.4458136446462213,0.4522964266962182,-0.40216666331510886,-1.3919890033266116,4.169716095873848
cremad,leace_trainfit,43,1,23,130.3,0.42702821869488544,0.4274704844281158,-0.17166463004950572,-1.0288631706106823,4.169925001442313
cremad,leace_trainfit,43,2,31,90.4,0.4196290143964562,0.4144010129304247,0.18316428914759353,-1.4689698970579288,4.1699193444441836
cremad,leace_trainfit,43,3,36,83.6,0.4594099913867356,0.45758267461507834,-0.07913017226752483,-1.2188324103517054,4.1699193444441836
cremad,leace_trainfit,43,4,30,81.2,0.4489641995172969,0.44609178535107413,-0.19624172472058987,-1.457704965900544,4.247550686408009
cremad,leace_trainfit,43,5,40,77.9,0.4690663701782019,0.47165531948447376,-0.45905812801455426,-1.430496649613513,4.169716095873848
cremad,leace_trainfit,44,1,33,78.1,0.468694885361552,0.4683469846563502,-0.18970995050738093,-1.4489962262333016,4.169925001442313
cremad,leace_trainfit,44,2,32,72.8,0.4161437184692998,0.41476658036545766,0.1645657866680974,-1.336812161213273,4.1699193444441836
cremad,leace_trainfit,44,3,29,86.5,0.4691460563553586,0.46747084720621074,-0.4124513765240465,-1.4523676460710506,4.1699193444441836
cremad,leace_trainfit,44,4,38,102.1,0.4448690444265666,0.4401715144567524,0.04069407040086048,-1.4732963166212256,4.247550686408009
cremad,leace_trainfit,44,5,34,100.0,0.46939065443651745,0.469799359093196,-0.293033595285185,-1.2716666552433127,4.169716095873848
cremad,leace_trans,42,1,32,137.5,0.5222663139329806,0.5180217521273763,0.9073416578101199,-1.5411917671654738,4.169925001442313
cremad,leace_trans,42,2,30,133.2,0.508004183585579,0.5083893021764522,1.0482807657277222,-1.7129018730155643,4.1699193444441836
cremad,leace_trans,42,3,29,128.0,0.6038113695090439,0.6075476203464975,-0.6915428796610668,-1.5171227675182086,4.1699193444441836
cremad,leace_trans,42,4,35,140.6,0.5331746670242246,0.527932345013272,-0.9384059518143131,-1.6829373118706048,4.247550686408009
cremad,leace_trans,42,5,29,128.6,0.529287501158158,0.5331624715897177,-0.05751747876995417,-1.6251465559818925,4.169716095873848
cremad,leace_trans,43,1,23,121.0,0.5061728395061729,0.49965383428746407,-1.0430317841964092,-1.1692266960033093,4.169925001442313
cremad,leace_trans,43,2,31,89.5,0.5070659529961855,0.5010798786187931,-0.2566112728251033,-1.4278190126180643,4.1699193444441836
cremad,leace_trans,43,3,36,82.7,0.6080287929125139,0.6088286235636811,-0.8525661475580337,-1.144433544337196,4.1699193444441836
cremad,leace_trans,43,4,30,80.3,0.5614831947796549,0.557671790012363,-1.7291862771066837,-1.2311764069266982,4.247550686408009
cremad,leace_trans,43,5,40,76.9,0.5575156737391519,0.5558325732456755,0.10322511548541513,-1.513052843815708,4.169716095873848
cremad,leace_trans,44,1,33,77.3,0.5114638447971781,0.5142598374694175,-0.8173406989544931,-1.3769807097442541,4.169925001442313
cremad,leace_trans,44,2,32,71.8,0.48615725359911405,0.4840272328054622,0.8484230651570641,-1.67761553427514,4.1699193444441836
cremad,leace_trans,44,3,29,80.0,0.6101698043558509,0.6100277825637686,0.1837533565977969,-1.65273759610412,4.1699193444441836
cremad,leace_trans,44,4,38,93.4,0.5322304907481898,0.5229264527804945,-0.05129480255110508,-1.4178148560158368,4.247550686408009
cremad,leace_trans,44,5,34,91.4,0.5482071713147411,0.5519970498143575,-0.9972190726740333,-1.5559229077802241,4.169716095873848
cremad,plain,42,1,32,119.0,0.5778218694885361,0.5726349135921253,1.1494325278747266,-1.230140132771627,4.169925001442313
cremad,plain,42,2,30,116.5,0.5424818506213854,0.5390797745237902,1.2490243533473016,-1.3690497467014833,4.1699193444441836
cremad,plain,42,3,29,109.9,0.6396117878676019,0.6397490859428355,0.9202409506243332,-1.3028528560082586,4.1699193444441836
