dataset,mode,arm,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,floor,adv,42,1,1.0,34,108.0,0.5346119929453262,0.5298881648013626,0.5345528455284553,0.22568386127180107,-0.03756619228927427,4.169925001442313,0.25049690060339547,-0.04467705158378532,4.169925001442313,1.6064035575887972,-0.06371116246176278,4.169925001442313,1.5947096335003974,-0.040441931864510394,4.169925001442313,1.5882745228884958,-1.913296013797222,4.169925001442313,1.8430410199380312,-0.32256052081352937,4.169925001442313
cremad,floor,adv,42,1,4.0,13,65.9,0.4803791887125221,0.4719525268893355,0.47899728997289975,0.35607464086912266,-0.036134006815522035,4.169925001442313,0.2029863212100298,-0.03695217148364627,4.169925001442313,1.2564157755140615,-0.06337769686795536,4.169925001442313,1.0057820662768164,-0.04134578132690958,4.169925001442313,1.3753891520022399,-1.5809806739151613,4.169925001442313,1.5605383029137192,-0.31511620279731556,4.169925001442313
cremad,floor,adv,42,1,16.0,32,107.6,0.4643959435626102,0.445872988222275,0.4627371273712737,0.34195529106693856,-0.0466132002756412,4.169925001442313,0.37243835143632076,-0.048956495173274384,4.169925001442313,1.768805153682166,-0.06337685619261091,4.169925001442313,1.5861616658589557,-0.040318835968523814,4.169925001442313,1.5783909219868577,-2.053110865642757,4.169925001442313,1.9879073457768985,-0.33428952980997995,4.169925001442313
cremad,floor,adv,42,2,1.0,36,107.5,0.5364587178540666,0.5321242563781702,0.5328813559322034,0.3406312195296626,-0.046252930909813195,4.1699193444441836,0.31268610280402287,-0.05530306613536062,4.1699193444441836,1.9299660852806793,-0.042416271395425476,4.1699193444441836,1.7850576986808036,-0.035331028742072945,4.1699193444441836,2.0530336061326984,-2.249928185911794,4.1699193444441836,2.205523064475064,-0.3939727368912527,4.1699193444441836
cremad,floor,adv,42,2,4.0,36,107.7,0.5146117878676019,0.5104543590082797,0.5111864406779661,0.4027354472604414,-0.04489726408969563,4.1699193444441836,0.3627233908351424,-0.04447540581925846,4.1699193444441836,1.8944269946463654,-0.04812187771028231,4.1699193444441836,1.603508224576284,-0.0366937058228185,4.1699193444441836,1.9958361225859664,-2.1045741667882254,4.1699193444441836,2.204839760869271,-0.28169141920198637,4.1699193444441836
cremad,floor,adv,42,2,16.0,32,108.3,0.4549741602067184,0.4375174842296204,0.45016949152542374,0.32827024571934915,-0.06925915957311002,4.1699193444441836,0.27539121977765024,-0.07635468196120421,4.1699193444441836,1.9226519869628245,-0.04099865516157575,4.1699193444441836,1.7765899917196695,-0.03844169153118493,4.1699193444441836,1.724336575827007,-2.268689907517582,4.1699193444441836,2.0652643335702696,-0.437571814950239,4.1699193444441836
cremad,floor,adv,42,3,1.0,23,78.9,0.6045804109757598,0.5983145294913311,0.6027118644067797,0.24174575199566828,-0.04818943430313016,4.1699193444441836,0.16196532862250557,-0.05302966236728146,4.1699193444441836,1.6234168359296244,-0.05765952551026032,4.1699193444441836,1.1526213749289118,-0.057553552020844556,4.1699193444441836,1.5071499569221585,-1.9122112916854297,4.1699193444441836,1.7868520343709386,-0.40576716215151976,4.1699193444441836
cremad,floor,adv,42,3,4.0,31,90.7,0.5870924080226406,0.5853181282999852,0.5871186440677966,0.24474507908146403,-0.05137030779390539,4.1699193444441836,0.1670458146560181,-0.036949740630896954,4.1699193444441836,1.727583088599264,-0.06285890839155339,4.1699193444441836,1.6145355149943867,-0.06877602200605448,4.1699193444441836,1.6346574473442805,-1.9786460365307708,4.1699193444441836,1.9176212341658645,-0.3810983580482077,4.1699193444441836
cremad,floor,adv,42,3,16.0,36,90.0,0.5134736064968622,0.49209663911955,0.5111864406779661,0.18835593582253063,-0.05127325207212863,4.1699193444441836,0.11256714684996005,-0.04509335732089159,4.1699193444441836,1.7187020315194208,-0.07000574533311266,4.1699193444441836,1.5773635934472763,-0.04476410287858723,4.1699193444441836,1.6067049380339298,-2.0536856228351814,4.1699193444441836,1.832275667765391,-0.35170647551197387,4.1699193444441836
cremad,floor,adv,42,4,1.0,37,88.5,0.5793778492893537,0.5684434586274639,0.5763260025873221,0.18719333074126343,-0.025588303913703925,4.247550686408009,0.15084734371526043,-0.024588131301989335,4.247550686408009,1.5322977109332419,-0.04391699170139951,4.247550686408009,1.450924784196792,-0.03879323184372119,4.247550686408009,1.6172939233824604,-1.9177793254176532,4.247550686408009,1.8210198965544646,-0.2697303231200925,4.247550686408009
cremad,floor,adv,42,4,4.0,37,89.2,0.5620139447573075,0.5506243720379332,0.5588615782664942,0.13939885838991906,-0.027453196194882956,4.247550686408009,0.146237441992616,-0.02722009952894222,4.247550686408009,1.4233994929556224,-0.038635739408209524,4.247550686408009,1.3852602113895163,-0.033939705522775476,4.247550686408009,1.4110236904780291,-2.2175198969081,4.247550686408009,1.721737776043156,-0.370687929794534,4.247550686408009
cremad,floor,adv,42,4,16.0,25,76.4,0.49361982658442843,0.4676283872451792,0.4890038809831824,0.2880494290362132,-0.05163502705304435,4.247550686408009,0.30278342642862865,-0.030208296857654915,4.247550686408009,1.4219665822145875,-0.053065520429724344,4.247550686408009,1.3251368181460115,-0.03655320064718204,4.247550686408009,1.1026564773022183,-2.5086175653487093,4.247550686408009,1.6688612612742744,-0.393852383339091,4.247550686408009
cremad,floor,adv,42,5,1.0,33,120.5,0.58053676765805,0.5756008675490035,0.5768707482993197,0.26367591793982914,-0.035922597123420275,4.169716095873848,0.2291862915293379,-0.03906258121759354,4.169716095873848,1.7242239539744344,-0.061491186351482874,4.169716095873848,1.5334867872891986,-0.03391401071573075,4.169716095873848,1.8077172257927607,-2.1131988690263306,4.169716095873848,1.9934914040593426,-0.23385843689942387,4.169716095873848
cremad,floor,adv,42,5,4.0,32,120.7,0.5736773834892986,0.5650358710193598,0.5693877551020409,0.24427342025336296,-0.035989044683967464,4.169716095873848,0.26506762727850175,-0.040468495205391086,4.169716095873848,1.7019671488503452,-0.0625293829656055,4.169716095873848,1.611335891957637,-0.044378465594605565,4.169716095873848,1.7187181937723683,-1.9825759233898985,4.169716095873848,2.0502763971390636,-0.3447674263960767,4.169716095873848
cremad,floor,adv,42,5,16.0,31,116.4,0.5489978072207294,0.5340607853046261,0.54421768707483,0.22853573689294793,-0.053642444991012006,4.169716095873848,0.17002538983478566,-0.05539838309653966,4.169716095873848,1.8056782948856651,-0.06204491539330537,4.169716095873848,1.6515209049042543,-0.0420094908165618,4.169716095873848,1.6024142947084399,-2.3027258345563846,4.169716095873848,1.99156794755448,-0.33600734886568606,4.169716095873848
cremad,floor,adv,43,1,1.0,19,84.7,0.5300925925925926,0.5289644969809225,0.5304878048780488,0.2778771897813357,-0.049114204553144525,4.169925001442313,0.32838970083404506,-0.048306658923769064,4.169925001442313,1.5578361143988593,-0.0463865115567863,4.169925001442313,1.4746407506090984,-0.04237804066263173,4.169925001442313,1.7099852513200506,-1.7339507257406606,4.169925001442313,1.8036133860573393,-0.28045033443740497,4.169925001442313
cremad,floor,adv,43,1,4.0,32,115.5,0.537147266313933,0.5268368421569621,0.5345528455284553,0.3258123513048141,-0.051019433296464634,4.169925001442313,0.3138742810871462,-0.033996025552725406,4.169925001442313,1.643393347091974,-0.05785435431897934,4.169925001442313,1.520666444132178,-0.054623792790197356,4.169925001442313,1.6672068344845945,-1.9424479940391564,4.169925001442313,1.865854609899289,-0.3758376973429076,4.169925001442313
cremad,floor,adv,43,1,16.0,31,115.7,0.515652557319224,0.507724514308706,0.5115176151761518,0.27553399790704614,-0.07797909069510034,4.169925001442313,0.32316995896672474,-0.03521463796355562,4.169925001442313,1.598054999637886,-0.06059295300416334,4.169925001442313,1.4334403129747466,-0.04708586101607981,4.169925001442313,1.2292999746922342,-2.1693262602444623,4.169925001442313,1.7509353895022168,-0.25855897122974625,4.169925001442313
cremad,floor,adv,43,2,1.0,32,116.8,0.522228374553956,0.5164077021943286,0.5186440677966102,0.43179264596689704,-0.07025462552511463,4.1699193444441836,0.3483504989072088,-0.04739658049344353,4.1699193444441836,1.936173078346909,-0.053583615040181165,4.1699193444441836,1.7229405171574448,-0.0512545409080607,4.1699193444441836,2.0638755174497243,-1.7622892004109083,4.1699193444441836,2.219151939507806,-0.36206569549982426,4.1699193444441836
cremad,floor,adv,43,2,4.0,40,119.8,0.520265780730897,0.5124310621005327,0.5159322033898305,0.4331936240372687,-0.06297197967295887,4.1699193444441836,0.3044309276735597,-0.04495074574654634,4.1699193444441836,1.9150081233058476,-0.04211921985343636,4.1699193444441836,1.8093856293841655,-0.0337803828598533,4.1699193444441836,1.9816772667720297,-2.05163878647439,4.1699193444441836,2.2449822888059536,-0.41713983253884024,4.1699193444441836
cremad,floor,adv,43,2,16.0,28,116.4,0.47752553217669497,0.463694886121132,0.4711864406779661,0.6996192641381485,-0.056846013434530995,4.1699193444441836,0.691672833041149,-0.03364939002275236,4.1699193444441836,1.857210927200597,-0.04815936751731709,4.1699193444441836,1.4853739920988613,-0.042137944272749195,4.1699193444441836,1.7842564656132565,-1.9624598112976726,4.1699193444441836,2.0602452134601874,-0.2623287452180527,4.1699193444441836
cremad,floor,adv,43,3,1.0,31,123.7,0.6160514334932939,0.6128453843468343,0.6142372881355932,0.20636421352419365,-0.0314060254597468,4.1699193444441836,0.18276103276510813,-0.03394715930530268,4.1699193444441836,1.953626019916705,-0.06968640929732839,4.1699193444441836,1.8041635996997574,-0.050681240765583446,4.1699193444441836,1.9099283276575716,-1.7784981500497103,4.1699193444441836,2.1910601312591744,-0.2893396638102841,4.1699193444441836
cremad,floor,adv,43,3,4.0,30,121.9,0.5955980066445182,0.5904003758192928,0.5952542372881356,0.1536616445315957,-0.03558323606265823,4.1699193444441836,0.09998576364388878,-0.028331009411320274,4.1699193444441836,1.979370704095421,-0.07141267549534991,4.1699193444441836,1.6719212270587098,-0.06378612758010682,4.1699193444441836,2.017523737298416,-2.070911801176022,4.1699193444441836,2.1901910637337005,-0.311613321445968,4.1699193444441836
cremad,floor,adv,43,3,16.0,39,121.1,0.5535898855666298,0.5412612522037256,0.5525423728813559,0.26541078051311784,-0.042775802365701665,4.1699193444441836,0.2970673187163886,-0.042585342473667964,4.1699193444441836,1.975578213902407,-0.07503763941644781,4.1699193444441836,1.7448388074998857,-0.04836526530657537,4.1699193444441836,1.9150064066210053,-1.96725523708717,4.1699193444441836,2.180078299096027,-0.2863160186233875,4.1699193444441836
cremad,floor,adv,43,4,1.0,33,47.5,0.5879089568248861,0.5783701718507038,0.5840879689521346,0.13824471236433133,-0.027453700910514023,4.247550686408009,0.1461672631932993,-0.04063000810257744,4.247550686408009,1.6756571488109033,-0.03605352407248841,4.247550686408009,1.610130863350812,-0.037126931453467016,4.247550686408009,1.7969529864025362,-1.9763374581417956,4.247550686408009,1.9939236019815274,-0.35872355034621517,4.247550686408009
cremad,floor,adv,43,4,4.0,33,23.1,0.5626452578886209,0.5534361371614511,0.5595084087968952,0.14512335451308456,-0.03320042521776845,4.247550686408009,0.2095832553690533,-0.030817678359628786,4.247550686408009,1.671311960095403,-0.033369992276631066,4.247550686408009,1.6687075777913294,-0.028681407094963696,4.247550686408009,1.7654332255614213,-2.0521668256827432,4.247550686408009,2.094038455439622,-0.4217646164183009,4.247550686408009
cremad,floor,adv,43,4,16.0,36,22.0,0.5309790381693036,0.516043718824037,0.5265200517464425,0.15821993922231758,-0.04463384411291571,4.247550686408009,0.27438690534706955,-0.0368630661652638,4.247550686408009,1.4479153233561943,-0.02863635926630348,4.247550686408009,1.4393812840681655,-0.03226133666911668,4.247550686408009,1.6449363579430543,-2.0718832652393564,4.247550686408009,1.9180063149611928,-0.3477123082376856,4.247550686408009
cremad,floor,adv,43,5,1.0,27,20.0,0.5873992402483091,0.5787843345446492,0.5836734693877551,0.2122948158615996,-0.047843376408160054,4.169716095873848,0.14880871299103138,-0.03798847508759717,4.169716095873848,1.8187279969727097,-0.04627843012695276,4.169716095873848,1.737104977817212,-0.03090141793057999,4.169716095873848,1.9798469425122214,-1.9842572041825006,4.169716095873848,2.145293732275645,-0.3731974607929134,4.169716095873848
cremad,floor,adv,43,5,4.0,27,19.9,0.5664782729546928,0.5594951654846407,0.563265306122449,0.27349241473739916,-0.06415467372113692,4.169716095873848,0.23195230930924504,-0.050626944720576716,4.169716095873848,1.7353371482787914,-0.04024155841744914,4.169716095873848,1.6669926987216854,-0.0367566731613751,4.169716095873848,1.803412481019747,-2.023829485308082,4.169716095873848,2.0573622627625205,-0.3827383966553821,4.169716095873848
cremad,floor,adv,43,5,16.0,6,8.9,0.46288643874115937,0.4320453158509614,0.45850340136054424,0.42456599244167714,-0.048041641693615134,4.169716095873848,0.24348486614706655,-0.04347307857095295,4.169716095873848,0.9246359825950585,-0.03884390121354553,4.169716095873848,0.7286889123737108,-0.035567550578806006,4.169716095873848,1.1867384341198548,-1.1140353148214661,4.169716095873848,1.1372995768083705,-0.2899578895478001,4.169716095873848
cremad,floor,adv,44,1,1.0,35,22.4,0.5576499118165784,0.5508968988876987,0.5555555555555556,0.32844945612133003,-0.047996324050758155,4.169925001442313,0.3267641717793657,-0.037879871482529026,4.169925001442313,1.6047049314292736,-0.044674819443345726,4.169925001442313,1.496538498185866,-0.04892871595393267,4.169925001442313,1.7223739063527175,-2.1118500832612472,4.169925001442313,1.9289533023436722,-0.29001410183532883,4.169925001442313
cremad,floor,adv,44,1,4.0,37,22.3,0.5404541446208113,0.5296540331649047,0.5386178861788617,0.24991485203019614,-0.04077990447717994,4.169925001442313,0.31992371103011985,-0.030990592317586163,4.169925001442313,1.286422001329075,-0.04833497368917605,4.169925001442313,1.1370620970303493,-0.03655723806335409,4.169925001442313,1.6842969949538378,-1.5733297499391465,4.169925001442313,1.772569235632631,-0.2739222223402704,4.169925001442313
