dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
cremad,cmn,both,True,42,1,0.0,22,11.2,0.6927910052910052,0.6920740839737641,0.6917344173441734,-0.008540239155255591,-0.05156197929829531,4.169925001442313,-0.0024352540010053048,-0.04820514127283371,4.169925001442313,-0.0003594441629237721,-0.0003594441629237721,4.169925001442313,-0.02106496939813507,-0.01533940088526542,4.169925001442313,-0.8077915589918963,-2.1193553272883037,4.169925001442313,-0.05187266197482199,-0.37365347484565525,4.169925001442313
cremad,cmn,both,True,42,2,0.0,32,14.0,0.7163252122554448,0.7151077468677381,0.7145762711864406,-0.01988494400262475,-0.049330605548624895,4.1699193444441836,-0.03160994360342073,-0.04390976664604107,4.1699193444441836,-0.000354491053574435,-0.00035449105357621136,4.1699193444441836,-0.01231048407115054,-0.019948628100634025,4.1699193444441836,-1.034060357559623,-2.4938221590404757,4.1699193444441836,-0.035079985437871386,-0.33273708223145704,4.1699193444441836
cremad,cmn,both,True,42,3,0.0,14,8.4,0.688639719453673,0.6859395143364767,0.6867796610169492,-0.017228459426799958,-0.045560338887507434,4.1699193444441836,-0.02593162369790747,-0.03705260848604208,4.1699193444441836,-0.00035449105357621136,-0.000354491053574435,4.1699193444441836,-0.019928925066794,-0.020612142340902473,4.1699193444441836,-0.6403154413416647,-2.107455452666848,4.1699193444441836,-0.03395464132074277,-0.28882321601018823,4.1699193444441836
cremad,cmn,both,True,42,4,0.0,29,13.4,0.6698791007419326,0.6699244636905436,0.6675291073738681,-0.02263522072746138,-0.03828809890575968,4.247550686408009,-0.015356902355226687,-0.05641868196319688,4.247550686408009,-0.0003706923243633753,-0.00037076437701877296,4.247550686408009,-0.009427094637209699,-0.008271913772987638,4.247550686408009,-1.1351592884469364,-2.620632989973508,4.247550686408009,0.1495723793003565,-0.26086679098736276,4.247550686408009
cremad,cmn,both,True,42,5,0.0,36,14.0,0.6581117390901511,0.6589642815113922,0.6571428571428571,-0.03051979381620029,-0.05196550884341633,4.169716095873848,-0.042165049679004696,-0.056754750263523945,4.169716095873848,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848,-0.019823540988897825,-0.015350589451744057,4.169716095873848,-1.2304462838182042,-2.7178375291283947,4.169716095873848,-0.0008551973090158427,-0.656441931587465,4.169716095873848
cremad,cmn,both,True,43,1,0.0,22,11.4,0.6830908289241623,0.6843761385969289,0.6836043360433605,0.0020454373738978404,-0.05425971358986281,4.169925001442313,-0.009364159214737988,-0.03183443323408408,4.169925001442313,-0.0003594441629237721,-0.0003594441629237721,4.169925001442313,-0.01827005180624308,-0.019004755958044406,4.169925001442313,-0.7396022762236685,-2.099557606923711,4.169925001442313,0.10500172112623041,-0.3765070138335611,4.169925001442313
cremad,cmn,both,True,43,2,0.0,19,10.2,0.7005660145195028,0.6973974739662857,0.6983050847457627,-0.04102015886947363,-0.037645408267877656,4.1699193444441836,-0.044277454592710264,-0.03357662830796304,4.1699193444441836,-0.000354491053574435,-0.00035449105357621136,4.1699193444441836,-0.018107654711140952,-0.017502153776769447,4.1699193444441836,-0.9497562609754748,-2.1370842200816007,4.1699193444441836,-0.15228401863302743,-0.3553549129677327,4.1699193444441836
cremad,cmn,both,True,43,3,0.0,11,7.3,0.7036667897133014,0.7019247147812767,0.7010169491525424,-0.009600459378863668,-0.035230582513746,4.1699193444441836,0.001294514641760891,-0.02892014761764372,4.1699193444441836,-0.00035449105357621136,-0.00035449105357621136,4.1699193444441836,-0.019155197985475603,-0.019907112687139517,4.1699193444441836,-0.5674438034656308,-2.0363808565907835,4.1699193444441836,0.20665238230290228,-0.28109937759568737,4.1699193444441836
cremad,cmn,both,True,43,4,0.0,30,13.9,0.6833489764905694,0.6824379554143943,0.6811125485122898,-0.002617662959885081,-0.03970931134257327,4.247550686408009,-0.03727952746156138,-0.03235378866951688,4.247550686408009,-0.0003706923243633753,-0.0003702478358373895,4.247550686408009,-0.012360573250116857,-0.007476780925352422,4.247550686408009,-0.8109981513998568,-2.3060097222790814,4.247550686408009,0.03535529191423237,-0.2714303575319441,4.247550686408009
cremad,cmn,both,True,43,5,0.0,18,9.9,0.6541307637666388,0.6526804831523062,0.6523809523809524,-0.025841808826945645,-0.04348192218477909,4.169716095873848,-0.02650600930157765,-0.04309512539517879,4.169716095873848,-0.0003742060952980353,-0.0003742060952980353,4.169716095873848,-0.017232594322853956,-0.01909146538686901,4.169716095873848,-0.772086704297144,-2.3693372326372923,4.169716095873848,-0.04303921990417692,-0.25963114578720603,4.169716095873848
