dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
cremad,operator,both,False,42,1,0.0,24,10.7,0.6534391534391535,0.6478020416928407,0.6517615176151762,0.0077922812837627475,-0.05844369107732472,4.169925001442313,0.02460298676790007,-0.039613531356606835,4.169925001442313,-2.9352101812460285,-2.0379748939230833,4.169925001442313,2.3022753301549557,-0.44349163014224935,4.169925001442313,0.061403258446226516,-1.915247986214995,4.169925001442313,0.2866601938195332,-0.38371476103193825,4.169925001442313,0.8394308943089431,0.8692411924119241,0.4406966490299824,-0.0012820770807264736,0.5015432098765432,-0.01750081962379557,0.5958994708994709,-0.010776583443785626,0.6159611992945325,0.004920450809104082
cremad,operator,both,False,42,2,0.0,24,10.7,0.659240802264058,0.6542622095225192,0.655593220338983,-0.014781495366349873,-0.05703310852046606,4.1699193444441836,-0.0005159707236730426,-0.04787985779772708,4.1699193444441836,-2.712698294314282,-1.863615048488854,4.1699193444441836,2.7586192428007825,-0.4035950646680817,4.1699193444441836,0.3684000894550983,-1.8020169131195178,4.1699193444441836,0.6722360842709354,-0.2539520957320933,4.1699193444441836,0.8454237288135593,0.8813559322033898,0.440913006029285,-0.02839373292354619,0.5023501907222837,-0.012989812396497769,0.5836440260858866,-0.014653147672734512,0.6253537590746893,-0.02393359327599942
cremad,operator,both,False,42,3,0.0,31,12.6,0.65921926910299,0.655331053592969,0.656271186440678,0.028908031132976575,-0.05463189034818239,4.1699193444441836,0.036680108792172206,-0.06058295139659098,4.1699193444441836,-3.4725477263691866,-2.069834139987001,4.1699193444441836,2.6266907569608238,-0.2847198856659823,4.1699193444441836,0.3554925416159169,-2.0357579059060678,4.1699193444441836,0.7937221591991688,-0.2564078559575558,4.1699193444441836,0.831864406779661,0.8698305084745763,0.4499876953365325,0.0040837467993606325,0.5204995693367787,0.023746740803257005,0.5946382428940568,0.0077401924512701115,0.6077950043066322,0.021778617577602688
cremad,operator,both,False,42,4,0.0,34,12.3,0.6408386967015285,0.6386182270761399,0.6377749029754204,0.028498085024661002,-0.026622965200564508,4.247550686408009,0.08236646523541857,-0.02059678271955434,4.247550686408009,-3.4655938617924855,-2.4861529461898204,4.247550686408009,2.628739995660192,-0.5720418135111975,4.247550686408009,0.5582813098714765,-2.306181686676319,4.247550686408009,0.8208443335432309,-0.41461067513053695,4.247550686408009,0.8492884864165589,0.8673997412677878,0.4536850808974702,-0.015332887283165064,0.4910610530079556,-0.004865222793648982,0.578003486189327,0.0007148100116820544,0.6168432108697596,0.01892388992452343
cremad,operator,both,False,42,5,0.0,31,12.5,0.642842583155749,0.6399678549520477,0.6408163265306123,-0.039749262908660654,-0.04800845564128409,4.169716095873848,0.06806512982888613,-0.04475997130441112,4.169716095873848,-3.18240614276044,-2.1643788992893294,4.169716095873848,2.6566819414403797,-0.38090740913565835,4.169716095873848,0.5643164186681622,-2.133897788304462,4.169716095873848,0.7906410273826672,-0.3416078057893257,4.169716095873848,0.8380952380952381,0.8591836734693877,0.45678062942030323,-0.03535590369174901,0.5218598474319774,-0.037205753314035306,0.5788659316223478,-0.0416239583371123,0.613289477747923,-0.04769695311489475
cremad,operator,both,False,43,1,0.0,38,12.5,0.6571869488536155,0.6518556470962811,0.6551490514905149,-0.04639693708669146,-0.07373901107194669,4.169925001442313,0.06233263351004226,-0.04560652273151433,4.169925001442313,-2.933292990906093,-2.0569222032419496,4.169925001442313,2.7280041844238525,-0.3487495557280953,4.169925001442313,0.37933217538394537,-2.053467775703888,4.169925001442313,0.6662919176741755,-0.2948500404312897,4.169925001442313,0.8116531165311653,0.8631436314363143,0.4142416225749559,-0.04171707114981693,0.49581128747795417,-0.05841347867667235,0.5687830687830687,-0.05181626922293603,0.6199294532627866,-0.045556570965308296
cremad,operator,both,False,43,2,0.0,37,12.5,0.6635289774824659,0.6578086146427754,0.6603389830508475,0.011708508295139808,-0.049118603488354395,4.1699193444441836,-0.00791142569092873,-0.04098305942791214,4.1699193444441836,-2.9440033409459287,-2.267653635350313,4.1699193444441836,2.3896821232006604,-0.49859974998185663,4.1699193444441836,-0.059201543338435414,-2.1988559189873644,4.1699193444441836,0.5496416218920097,-0.4014306966913255,4.1699193444441836,0.84,0.8996610169491526,0.43892887904515815,-0.041288847337584755,0.5145041220622616,-0.02299912007144478,0.5893687707641196,-0.002823720975385413,0.6263135228251507,-0.00728982577902304
cremad,operator,both,False,43,3,0.0,35,12.5,0.6525624461670972,0.6503678552262149,0.6508474576271186,0.02798512596036229,-0.0328585728038675,4.1699193444441836,0.07733484754759257,-0.02066657693919982,4.1699193444441836,-3.5127444882278986,-2.1270139116633873,4.1699193444441836,2.6360229399063595,-0.4912970756376591,4.1699193444441836,0.35460482586750697,-2.1415463761315214,4.1699193444441836,0.7798599984003842,-0.4104145926963456,4.1699193444441836,0.8311864406779661,0.9050847457627119,0.4417804848037406,-0.008805284180270156,0.5134090070136582,0.005439078343285608,0.5790636151101267,0.0038110287488057892,0.6013442844838194,0.014723257674442713
cremad,operator,both,False,43,4,0.0,34,12.3,0.6450455886296594,0.6432215013176945,0.6423027166882277,-0.026915157989797045,-0.04049990336883713,4.247550686408009,0.00842740553518695,-0.03588693217172878,4.247550686408009,-3.264340407110476,-2.3844178667872793,4.247550686408009,2.6690688478951734,-0.3917623063802189,4.247550686408009,0.5026249519005113,-2.1877939431571445,4.247550686408009,0.7715942147294732,-0.4945285656714953,4.247550686408009,0.8344113842173351,0.8602846054333765,0.45884732278537593,-0.007823411773903999,0.5256827120765173,-0.024191860970381285,0.5746290336998302,-0.015412823379069351,0.5985239563779388,-0.015713362323646507
cremad,operator,both,False,43,5,0.0,30,12.6,0.6248000247073722,0.6218177092204032,0.6231292517006802,-0.018637409035222596,-0.03728626170210081,4.169716095873848,-0.01820582441465568,-0.02934255448403178,4.169716095873848,-3.475008646763417,-2.097863728748724,4.169716095873848,2.5558295408089573,-0.2996780074698364,4.169716095873848,0.7826357906885768,-1.9977720004834865,4.169716095873848,1.044986140393457,-0.27828132155431184,4.169716095873848,0.8353741496598639,0.8564625850340136,0.4256740479940702,-0.007861470680388116,0.4958491614935607,-0.02422092498307027,0.5623706723493622,-0.02476010934331274,0.601553476018407,-0.025087994261741464
