dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency
iemocap,affine,42,1,0.0,20,17.2,0.5682893454644676,0.5334932542883958,0.519434628975265,-0.001348891307847544,-0.005092390040087658,0.9836697149306288,0.0716687252699112,-0.00015258080764724014,0.9836697149306288,0.3464334913827768,-0.22746212530744403,0.9836697149306288,0.48840116943075185,-0.17331091179908875,0.9836697149306288,0.33995858767703746,-0.12884075052435207,0.9836697149306288,0.26946957007660644,-0.0825790674087028,0.9836697149306288,0.7314487632508834,0.9540636042402827
iemocap,affine,42,2,0.0,33,22.5,0.5432694114203074,0.5362933099018701,0.5291519434628975,0.011143591591441404,-0.0036808330281002943,0.9910444329385492,0.009971908204401858,-0.012334025270450577,0.9910444329385492,0.582184408664046,-0.17495354297938792,0.9910444329385492,0.5643809340563275,-0.16643225912097737,0.9910444329385492,0.1438103664261149,-0.13166794777167723,0.9910444329385492,0.10892245693331915,-0.06454513460359201,0.9910444329385492,0.7393992932862191,0.9522968197879859
iemocap,affine,42,3,0.0,20,17.8,0.5432750970740381,0.5207613832020008,0.5197841726618705,0.002104195310625334,-0.005295128810668626,0.9973008701007469,-0.0036474571960629643,-0.011990207214297888,0.9973008701007469,0.33797355977788024,-0.09405898965382198,0.9973008701007469,0.3898547540546715,-0.0790080302131646,0.9973008701007469,0.2101834552620051,-0.09989561794492507,0.9973008701007469,0.1532912694721893,-0.07957328504410222,0.9973008701007469,0.7338129496402878,0.9802158273381295
iemocap,affine,42,4,0.0,33,23.0,0.6064549856423329,0.5840773136205475,0.5705069124423963,0.025356807742231147,-0.0051366715135657826,0.9994846138022001,0.06562374849718933,-0.002622217868156196,0.9994846138022001,0.01682385368883632,-0.14934307519536294,0.9994846138022001,0.652759927837857,-0.06870371201666237,0.9994846138022001,0.18239460514252448,-0.11540174158761529,0.9994846138022001,0.14859914160896048,-0.042289984974200334,0.9994846138022001,0.695852534562212,0.9548387096774194
iemocap,affine,42,5,0.0,20,18.1,0.5836068800878029,0.5632755168588554,0.5551401869158878,0.18937934941304302,-0.00682306407841804,0.9998765061155545,0.26891835478853243,-0.0053366681421106454,0.9998765061155545,0.3312818878440199,-0.38617579685501646,0.9998765061155545,0.5441869367336841,-0.2641132460678962,0.9998765061155545,0.3924840933297533,-0.2703299716733393,0.9998765061155545,0.30803900660037664,-0.10211023251113549,0.9998765061155545,0.7327102803738318,0.9401869158878504
iemocap,affine,43,1,0.0,20,18.2,0.5822234045859443,0.5415977839369583,0.5318021201413428,0.0008128352233593983,-0.006029490804218329,0.9836697149306288,0.06348568949069744,-0.0076812166791438985,0.9836697149306288,0.47166092155801786,-0.19221472864774714,0.9836697149306288,0.5952336221048236,-0.15550632295736344,0.9836697149306288,0.41194230107230234,-0.0892125942099029,0.9836697149306288,0.35660245012607905,-0.07797321740932128,0.9836697149306288,0.7482332155477032,0.9664310954063604
iemocap,affine,43,2,0.0,26,18.1,0.5554384661168227,0.546291409625553,0.5424028268551236,0.008422726813461345,-0.006242471615007794,0.9910444329385492,0.027530169269261884,-0.005829376634539973,0.9910444329385492,-0.22419550800831012,-0.14087510069743947,0.9910444329385492,0.6868058435157178,-0.09528158143261078,0.9910444329385492,0.15590131224761083,-0.1408119993274003,0.9910444329385492,0.09988358084699422,-0.11453773911908327,0.9910444329385492,0.7614840989399293,0.9681978798586572
iemocap,affine,43,3,0.0,30,20.9,0.5725418082432165,0.5552034104348295,0.5530575539568345,0.012301027417981558,-0.006525034095897775,0.9973008701007469,0.005876275239754425,-0.008211683273035897,0.9973008701007469,0.0021116641600225083,-0.1672376496480672,0.9973008701007469,0.3724266878344066,-0.10358827865638887,0.9973008701007469,0.12125587612338373,-0.15937107843856513,0.9973008701007469,0.10973796693949311,-0.09312590261007436,0.9973008701007469,0.7428057553956835,0.9433453237410072
iemocap,affine,43,4,0.0,26,21.0,0.562876531105845,0.536333730058516,0.5327188940092166,0.02059058116688639,-0.00926795103961664,0.9994846138022001,0.016337223735656936,-0.013960727048290766,0.9994846138022001,-0.2524715338792446,-0.19050274042893622,0.9994846138022001,0.5172983826452131,-0.07155892116968443,0.9994846138022001,0.10355096745834891,-0.17852155717287455,0.9994846138022001,0.04410397916832043,-0.09691362739576503,0.9994846138022001,0.7161290322580646,0.9658986175115207
iemocap,affine,43,5,0.0,24,20.3,0.6089562026517008,0.588162923764193,0.585981308411215,0.12743687879592525,-3.2080913988652426e-06,0.9998765061155545,0.15763214346547927,-0.002091220296827845,0.9998765061155545,-0.0927804750532567,-0.17337280557283752,0.9998765061155545,0.7870318695372015,-0.13297182459858037,0.9998765061155545,0.43944328555208434,-0.18797500172699932,0.9998765061155545,0.3916080404914537,-0.046312517054916236,0.9998765061155545,0.72803738317757,0.9588785046728971
