dataset,mode,arm,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,floor,adv,42,1,1.0,13,54.2,0.5363132102098759,0.5202668094868601,0.5070671378091873,0.14482376394578056,0.0006975639822485169,0.9836697149306288,0.3150838532169953,-0.009120876404507094,0.9836697149306288,0.6692663569197156,-0.004175144796618402,0.9836697149306288,0.4482078315323824,-0.005768133311661927,0.9836697149306288,0.678479971107219,-0.20583018401121,0.9836697149306288,0.6381695892843549,-0.07649945748046538,0.9836697149306288
iemocap,floor,adv,42,1,4.0,13,58.2,0.5227741364833117,0.5024466160660305,0.4902826855123675,0.2840863355243033,-0.00026082612723721255,0.9836697149306288,0.16817131649477324,-0.004679854475008183,0.9836697149306288,0.6582988647715033,-0.003889026549843022,0.9836697149306288,0.507744618060288,-0.003457272755161944,0.9836697149306288,0.701130686869315,-0.1595433165709157,0.9836697149306288,0.6696400593634511,-0.06308086819690106,0.9836697149306288
iemocap,floor,adv,42,1,16.0,9,51.3,0.4419842080059371,0.38319217121989846,0.37985865724381623,0.5686654413910244,-0.006929425808706369,0.9836697149306288,0.46547522766871696,-0.00989864773785809,0.9836697149306288,0.598873347816193,-0.006640442908291022,0.9836697149306288,0.3913250981786791,-0.008513865424487954,0.9836697149306288,0.6651748721312134,-0.1313457878012012,0.9836697149306288,0.5913401399896184,-0.052983946032461704,0.9836697149306288
iemocap,floor,adv,42,2,1.0,37,109.9,0.5559023575422954,0.5282874745471704,0.5273851590106007,0.03740237768670307,-0.005834720539629745,0.9910444329385492,0.0259137831475994,-0.013473291282179223,0.9910444329385492,0.09686597241222228,-0.0016633517764260697,0.9910444329385492,0.09615402766364411,-0.0025252849764141327,0.9910444329385492,0.08833054751855163,-0.17155466178079404,0.9910444329385492,0.17361349087637612,-0.07610785696316624,0.9910444329385492
iemocap,floor,adv,42,2,4.0,9,52.3,0.5355505503537381,0.5004356441583533,0.4991166077738516,0.045761929524406386,-0.004328569342929578,0.9910444329385492,0.03667107343989784,-0.011570657385991612,0.9910444329385492,0.12656763294734963,-0.004784948762568297,0.9910444329385492,0.08917035278146934,-0.005372857668904052,0.9910444329385492,0.21407560704775896,-0.23956607053206957,0.9910444329385492,0.13058683684105288,-0.12453463007130805,0.9910444329385492
iemocap,floor,adv,42,2,16.0,29,117.1,0.5263927787220182,0.49508452994106966,0.4929328621908127,0.0889911630847201,-0.006292586949894985,0.9910444329385492,0.06603928279863291,-0.014258679002324803,0.9910444329385492,0.10527042782149809,-0.0022517350604900344,0.9910444329385492,0.05845363573928253,-0.0011729306335309664,0.9910444329385492,0.18254734264402905,-0.22394297517993145,0.9910444329385492,0.19003825446038525,-0.11063563274654842,0.9910444329385492
iemocap,floor,adv,42,3,1.0,4,39.0,0.512467525809244,0.4614272288807425,0.47931654676258995,0.044007405708913816,-0.0040235685563922985,0.9973008701007469,0.011365917731770314,0.0018481793241952316,0.9973008701007469,0.04668851909046734,-0.0025475604226908866,0.9973008701007469,0.03416300670791517,-0.010260597009599914,0.9973008701007469,0.20812423274384484,-0.11089381624546979,0.9973008701007469,0.0963434645418576,-0.07004365611622632,0.9973008701007469
iemocap,floor,adv,42,3,4.0,28,120.1,0.5065987287276364,0.48762501118237667,0.4766187050359712,0.04558224292208657,-0.004168946327544054,0.9973008701007469,0.028499925320275565,-0.00506566595240332,0.9973008701007469,0.10174463796725297,-0.008303324121340605,0.9973008701007469,0.07608175012629159,-0.010536406244747942,0.9973008701007469,0.14870923467082087,-0.25263899239267307,0.9973008701007469,0.12977599746022472,-0.08747841241596643,0.9973008701007469
iemocap,floor,adv,42,3,16.0,28,112.6,0.49916561939281484,0.4897844118930246,0.4766187050359712,0.061410336703307755,-0.003472901749826507,0.9973008701007469,0.04968194303653051,-0.004028235549063508,0.9973008701007469,0.0940771435455543,-0.005404180134625847,0.9973008701007469,0.08401564854634713,-0.009923122513832094,0.9973008701007469,0.05260373811765884,-0.36448589779112917,0.9973008701007469,0.10893718576895839,-0.11647447751717288,0.9973008701007469
iemocap,floor,adv,42,4,1.0,22,92.6,0.5436745970379191,0.49457514451685625,0.4838709677419355,0.051852994959943666,-0.003355509497283804,0.9994846138022001,0.05171134479325257,-0.0013367791129209605,0.9994846138022001,0.5930991337047902,-0.005255693994745125,0.9994846138022001,0.30361977787369876,-0.0018878846796971382,0.9994846138022001,0.5978587427331887,-0.18500914008221125,0.9994846138022001,0.6092159261777592,-0.09995716974068436,0.9994846138022001
iemocap,floor,adv,42,4,4.0,26,108.7,0.5319964371039071,0.4940923762916924,0.4838709677419355,0.03664356576783878,-0.005048995884943452,0.9994846138022001,0.025883981662561895,-0.002358277631085204,0.9994846138022001,0.5654873023802169,-0.0008098661197061263,0.9994846138022001,0.4083983284289622,0.0014541748395973109,0.9994846138022001,0.5991614931985625,-0.1627444719568042,0.9994846138022001,0.5823270016670505,-0.0817657714509229,0.9994846138022001
iemocap,floor,adv,42,4,16.0,6,45.1,0.4599159499185642,0.39802833798232573,0.40368663594470044,0.02957151861946361,-0.006902689703562115,0.9994846138022001,0.02882909313933346,-0.0034894278970613035,0.9994846138022001,0.06563043082570874,-0.007382584027837091,0.9994846138022001,0.07286261437035446,-0.010043285950308456,0.9994846138022001,0.16655946414427913,-0.1170950310599067,0.9994846138022001,0.12280883506603035,-0.03136245556889905,0.9994846138022001
iemocap,floor,adv,42,5,1.0,23,98.7,0.5774829352441935,0.5556967597079537,0.5504672897196262,0.2943856497956341,-0.003685934930287238,0.9998765061155545,0.24681752394607037,-0.003751159268500115,0.9998765061155545,0.6571049953164523,-0.006383540774260399,0.9998765061155545,0.5745758238892423,-0.00693522957761894,0.9998765061155545,0.6580335747761119,-0.184415402792388,0.9998765061155545,0.6966059908873412,-0.1133919978828889,0.9998765061155545
iemocap,floor,adv,42,5,4.0,12,64.5,0.5634555457287752,0.5132708390713607,0.5196261682242991,0.45693798436099553,-0.005976352630091664,0.9998765061155545,0.34353276554586054,-0.00979321708008063,0.9998765061155545,0.6310521233500365,-0.0044946142145537715,0.9998765061155545,0.48346731617983496,-0.004534586384775108,0.9998765061155545,0.6445988655374024,-0.2384261522760679,0.9998765061155545,0.6349153916964785,-0.09689837619736197,0.9998765061155545
iemocap,floor,adv,42,5,16.0,13,62.9,0.5808972362910533,0.5413608280071986,0.5439252336448598,0.431311017559036,-0.005810803042497592,0.9998765061155545,0.34412023023492044,-0.012349920994672359,0.9998765061155545,0.5823040890417716,-0.00567060819479448,0.9998765061155545,0.447669008671005,-0.006457167726578228,0.9998765061155545,0.6979341504434311,-0.2259423735390499,0.9998765061155545,0.6609446849580372,-0.05060271008098394,0.9998765061155545
iemocap,floor,adv,43,1,1.0,25,102.4,0.5468192397519679,0.5267538592479434,0.519434628975265,0.20430288771893745,-0.0029279075992258985,0.9836697149306288,0.1342041748139422,-0.006122707191687615,0.9836697149306288,0.727170894305209,-0.0008987459945315468,0.9836697149306288,0.4765924343402691,-0.007716191992662491,0.9836697149306288,0.6674161796040596,-0.1645720313580019,0.9836697149306288,0.7278841437847274,-0.06438589448585952,0.9836697149306288
