dataset,mode,arm,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,floor,orth,42,1,1.0,13,60.2,0.5260393606729483,0.5038625586553008,0.4902826855123675,0.26312729371130306,0.0006429238330979414,0.9836697149306288,0.45283871280042165,-0.0026640678544299634,0.9836697149306288,0.6133556846682822,-0.006326305511368591,0.9836697149306288,0.4352947059845613,-0.004387230916001905,0.9836697149306288,0.6301301064936767,-0.1774984380249396,0.9836697149306288,0.5942248065421802,-0.09860929261139684,0.9836697149306288
iemocap,floor,orth,42,1,4.0,20,90.2,0.5292444370818341,0.5338723602539079,0.5273851590106007,0.043430879293114955,-0.0009743512475333116,0.9836697149306288,0.04021158119106971,0.00044292618518115834,0.9836697149306288,0.10704567500631079,-0.003683250747864353,0.9836697149306288,0.10794937089183887,-0.019763378385705854,0.9836697149306288,0.3743588906998895,-0.19276369266625215,0.9836697149306288,0.2587721967091289,-0.054465991466811525,0.9836697149306288
iemocap,floor,orth,42,1,16.0,13,65.8,0.5206094320116152,0.5090626371062411,0.49469964664310956,0.016431161096908453,0.0015946520838944211,0.9836697149306288,-0.003361619674086991,-0.006864666535631336,0.9836697149306288,0.08630287408327109,-0.009882165614110261,0.9836697149306288,0.061315031051025426,-0.011495798504752353,0.9836697149306288,0.3392878733857816,-0.15289692414685518,0.9836697149306288,0.33876631619450615,-0.05797889660126243,0.9836697149306288
iemocap,floor,orth,42,2,1.0,33,133.7,0.5474144564404227,0.5141112266112265,0.5123674911660777,0.03405065462808987,-0.004523678942588316,0.9910444329385492,0.030880768108785372,-0.012049352218124976,0.9910444329385492,0.09226899975966396,4.07433022930892e-06,0.9910444329385492,0.0667347017413139,-0.0051253846906537115,0.9910444329385492,0.11431944130408656,-0.24050366698058967,0.9910444329385492,0.14396320717678013,-0.1097762800054195,0.9910444329385492
iemocap,floor,orth,42,2,4.0,18,88.1,0.5491875467568865,0.5022809493159945,0.508833922261484,0.037187874960156186,-0.003202462473462231,0.9910444329385492,0.02851064728644337,-0.010548464548369885,0.9910444329385492,0.04995063947785927,-0.0011584582151632494,0.9910444329385492,0.03677869470756712,-0.0029111139475128667,0.9910444329385492,0.13713373381142835,-0.11743835843347894,0.9910444329385492,0.11094064796206604,-0.10695135036371883,0.9910444329385492
iemocap,floor,orth,42,2,16.0,30,123.9,0.5417198742436975,0.521319160115428,0.5203180212014135,0.04044382213267228,-0.003326090527634773,0.9910444329385492,0.023934995551360916,-0.009353521396489373,0.9910444329385492,0.02304908918307169,-0.0012944960858291,0.9910444329385492,0.018926435029292477,-0.009660896580633183,0.9910444329385492,0.13518718849041989,-0.17837028637080088,0.9910444329385492,0.11627807586918293,-0.08188339710918757,0.9910444329385492
iemocap,floor,orth,42,3,1.0,20,102.0,0.5115789329045861,0.4796045042440811,0.47302158273381295,0.005277477998188895,-0.005272966259099121,0.9973008701007469,0.004819388775210487,-0.007944594774054181,0.9973008701007469,0.09888372881317076,-0.005467452225927261,0.9973008701007469,0.06330154878197836,-0.013835037593326716,0.9973008701007469,0.11296272444517041,-0.18359124412625905,0.9973008701007469,0.10539688037559791,-0.09925776575127476,0.9973008701007469
iemocap,floor,orth,42,3,4.0,12,67.8,0.5166882035666488,0.491702037944051,0.48741007194244607,0.02979741052076934,-0.001994268041770497,0.9973008701007469,0.011768452169043875,-0.004595657857664914,0.9973008701007469,0.08003720091645816,-0.003249862965457373,0.9973008701007469,0.03747891518221469,-0.006089162511641932,0.9973008701007469,0.16595020952316186,-0.21232077450018472,0.9973008701007469,0.06615430400749289,-0.12383490938231101,0.9973008701007469
iemocap,floor,orth,42,3,16.0,12,75.8,0.5083383644621186,0.46685738192914894,0.4712230215827338,0.02893922701348839,-0.002513423065641618,0.9973008701007469,0.0015698582108230053,-0.0008308825516026852,0.9973008701007469,0.06381082592191378,-0.0014894038831581025,0.9973008701007469,0.04987377351545064,-0.010342445046328974,0.9973008701007469,0.11696803511369358,-0.2493204790469845,0.9973008701007469,0.04981558974522593,-0.06070197261226373,0.9973008701007469
iemocap,floor,orth,42,4,1.0,20,103.2,0.5551444599565025,0.5025514943910236,0.4949308755760369,0.09097888932188025,-0.003726885643949074,0.9994846138022001,0.044224213563358594,-0.006576585581585248,0.9994846138022001,0.5822843835442872,-0.002033984196956884,0.9994846138022001,0.495723141733902,0.004365207521208614,0.9994846138022001,0.5617392013992062,-0.1855210552433525,0.9994846138022001,0.5478622785036573,-0.08072551696598607,0.9994846138022001
iemocap,floor,orth,42,4,4.0,27,125.1,0.5579560981358298,0.5195341794108067,0.5069124423963134,0.09839640244673031,-0.0028820329255360155,0.9994846138022001,0.056840766946959165,-0.005902036917345366,0.9994846138022001,0.5333101109770088,-0.003653123790828272,0.9994846138022001,0.48047734651525364,0.0007316695400513273,0.9994846138022001,0.5711814635067928,-0.2212192221634991,0.9994846138022001,0.5718280196435425,-0.11245941260449166,0.9994846138022001
iemocap,floor,orth,42,4,16.0,32,127.9,0.5227739575013783,0.4746755003293929,0.4728110599078341,0.03267655505071543,-0.003767958531578075,0.9994846138022001,0.026649569461617006,-0.0028222433335255426,0.9994846138022001,0.044444080783705875,-0.003649092180533775,0.9994846138022001,0.0468674587877701,-0.004262458186759965,0.9994846138022001,0.0806344494808634,-0.2802707085708077,0.9994846138022001,0.0761943861758424,-0.09973861459802202,0.9994846138022001
iemocap,floor,orth,42,5,1.0,23,102.4,0.5622674035160267,0.53825723516422,0.5345794392523364,0.24245003650326202,-0.004383290115372085,0.9998765061155545,0.24337933688578983,-0.007637643438705655,0.9998765061155545,0.548668375446761,-0.0052763157947478545,0.9998765061155545,0.37508952346452307,-0.003270633265861078,0.9998765061155545,0.6233022888345322,-0.28268186675048745,0.9998765061155545,0.6642055787105903,-0.07204406133478203,0.9998765061155545
