dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
iemocap,cmn,both,True,42,1,0.0,14,5.3,0.5451828056224083,0.5148213794196119,0.5053003533568905,0.013139379445720745,-0.004384616377218764,0.9836697149306288,0.019803845680123833,-0.00021896362854301188,0.9836697149306288,-3.286710479777355e-06,-3.2867104799993996e-06,0.9836697149306288,-0.005662312655975499,-0.0054778431007368455,0.9836697149306288,0.33065767447131134,-0.20196171347190672,0.9836697149306288,0.36092360917828914,-0.06581440369436331,0.9836697149306288
iemocap,cmn,both,True,42,2,0.0,5,3.4,0.5418916155344764,0.50930309506562,0.5026501766784452,0.020551726147816307,-0.0033714018707537985,0.9910444329385492,0.014694582081652086,-0.008676116842822101,0.9910444329385492,-4.651510981390494e-06,-4.6515109815015165e-06,0.9910444329385492,-0.005381441469433645,-0.005385895770226523,0.9910444329385492,0.25399450377751365,-0.14361198407044606,0.9910444329385492,0.18749311655134238,-0.10819482717112072,0.9910444329385492
iemocap,cmn,both,True,42,3,0.0,15,5.7,0.5499571973249104,0.526221805847666,0.5278776978417267,0.03997193519869391,-0.0005218632521191147,0.9973008701007469,0.03339411238657164,0.0008877872998512837,0.9973008701007469,-2.2257841273409795e-06,-2.2257841276740464e-06,0.9973008701007469,-0.0012108489774714792,-0.0012108489774714792,0.9973008701007469,0.16801953790791102,-0.243153377176635,0.9973008701007469,0.15384811508288265,-0.06541943447035403,0.9973008701007469
iemocap,cmn,both,True,42,4,0.0,8,4.0,0.5920388196347662,0.5256820896494875,0.5207373271889401,0.037945004633808566,-0.010306831524613425,0.9994846138022001,0.03271523687789668,-0.007535404152955727,0.9994846138022001,-8.27763412303284e-06,-8.27763412303284e-06,0.9994846138022001,-0.0014617824626809162,-0.0012596791771791738,0.9994846138022001,0.41661089644181326,-0.18965934912384907,0.9994846138022001,0.2701277618314104,-0.05414491571915392,0.9994846138022001
iemocap,cmn,both,True,42,5,0.0,13,5.2,0.5903876189741074,0.5666051685427073,0.5579439252336449,0.02325310368110356,-0.007193697257137699,0.9998765061155545,0.025494588226062542,-0.009894513602703214,0.9998765061155545,-8.50702878341103e-06,-8.50702878341103e-06,0.9998765061155545,-5.7995282412681703e-05,-5.7995282412681703e-05,0.9998765061155545,0.31186440415491534,-0.2230226126253253,0.9998765061155545,0.28254766158679356,-0.06905659623217975,0.9998765061155545
iemocap,cmn,both,True,43,1,0.0,18,6.3,0.5688588056586042,0.5342610594784857,0.5273851590106007,0.01895220240869422,-0.007312752518683019,0.9836697149306288,0.020360584825792616,-0.003391392564485285,0.9836697149306288,-3.286710479777355e-06,-3.2867104799993996e-06,0.9836697149306288,-0.005553124044746838,-0.0055736115730118385,0.9836697149306288,0.3974980764088043,-0.19756183068695088,0.9836697149306288,0.39623443057516516,-0.06495166950510978,0.9836697149306288
iemocap,cmn,both,True,43,2,0.0,10,4.6,0.5436271243586326,0.5232929623416231,0.5203180212014135,0.015981912328157155,-0.007627377094690302,0.9910444329385492,0.01730208732932148,-0.007649529651746589,0.9910444329385492,-4.651510981390494e-06,-4.6515109815015165e-06,0.9910444329385492,-0.005319838685970524,-0.005319838685970413,0.9910444329385492,0.1592446881032552,-0.19180438446925485,0.9910444329385492,0.13569747995936443,-0.06079016025301509,0.9910444329385492
iemocap,cmn,both,True,43,3,0.0,28,8.4,0.5667625373059376,0.5718155388997388,0.5719424460431655,0.05624535704698941,-0.008006236382560372,0.9973008701007469,0.03685486498251933,-0.010152375799389546,0.9973008701007469,-2.2257841273409795e-06,-2.2257841276740464e-06,0.9973008701007469,-0.000928156100387656,-0.000928156100387656,0.9973008701007469,0.27078350002716944,-0.2604283783921022,0.9973008701007469,0.2094074086969412,-0.13869633911090395,0.9973008701007469
iemocap,cmn,both,True,43,4,0.0,24,7.6,0.6192017790463078,0.5924103193622939,0.5797235023041475,0.04645666267308535,-0.007931916347580725,0.9994846138022001,0.04034711876536923,-0.0133522659353017,0.9994846138022001,-8.27763412303284e-06,-8.27763412303284e-06,0.9994846138022001,-0.0008156329000877927,-0.0011827706627135504,0.9994846138022001,0.2731100501978607,-0.23700492346141477,0.9994846138022001,0.22074240244118037,-0.09317432648541402,0.9994846138022001
iemocap,cmn,both,True,43,5,0.0,17,6.2,0.5867340484543346,0.5657642133396368,0.5560747663551402,0.02802027123129991,9.560983355261232e-05,0.9998765061155545,0.03606842244871178,-0.0020709851206553997,0.9998765061155545,-8.50702878341103e-06,-8.50702878341103e-06,0.9998765061155545,-3.696491242488609e-05,-3.696491242466404e-05,0.9998765061155545,0.27817845808036323,-0.19640634389722644,0.9998765061155545,0.2979578511119133,-0.09313599286443275,0.9998765061155545
