dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
iemocap,operator,both,False,42,1,0.0,28,7.6,0.5519076410684269,0.5152183429468257,0.5044169611307421,0.0613081336901401,-0.0016322023763503113,0.9836697149306288,0.12189733557188698,-0.004704384267232631,0.9836697149306288,-0.29689582363554057,-0.211574406342377,0.9836697149306288,0.6419062085769498,-0.06214248480792839,0.9836697149306288,0.4083322843391495,-0.18458308589585215,0.9836697149306288,0.37035154503955436,-0.07256011901965631,0.9836697149306288,0.7340989399293286,0.9540636042402827,0.4927718204756399,0.02096912909827775,0.5182349170400222,0.03247375539714592,0.5266884336438035,0.04507107412296674,0.5403170267804376,0.05112726016210978
iemocap,operator,both,False,42,2,0.0,37,8.3,0.550299432193594,0.539942431588503,0.5335689045936396,0.07924056027116066,-0.004573601080946621,0.9910444329385492,0.07079628636515767,-0.01472492826349614,0.9910444329385492,0.38032847427941674,-0.10719014153876183,0.9910444329385492,0.6000587046112973,-0.03898726427206689,0.9910444329385492,0.15453182144492228,-0.10745183804414282,0.9910444329385492,0.09645658096369003,-0.05579442790620426,0.9910444329385492,0.7385159010600707,0.9452296819787986,0.5040762599054206,0.005778019208938945,0.4967634161012149,0.002367439014050121,0.5312650465542026,0.005188950026221328,0.5425139160145582,0.025301488636541802
iemocap,operator,both,False,42,3,0.0,21,6.5,0.5436573171669072,0.5149197065953731,0.512589928057554,0.013146637613185685,-0.0056465532523282125,0.9973008701007469,0.006325810564971501,-0.004624871378364315,0.9973008701007469,0.15648249955285376,-0.06163245478290191,0.9973008701007469,0.5604485226545873,-0.0668776278164811,0.9973008701007469,0.16936241272244035,-0.06802785374109277,0.9973008701007469,0.11240367601024381,-0.037454998668976724,0.9973008701007469,0.7284172661870504,0.9622302158273381,0.4799834673756274,0.01033985174969021,0.5061976880737263,0.002709392007351208,0.5214091405244279,0.007423997181419284,0.5368781438384247,0.007477851794542079
iemocap,operator,both,False,42,4,0.0,27,7.5,0.6076471995123705,0.578061712591599,0.5658986175115207,0.044604725927572586,-0.0019430911335095447,0.9994846138022001,0.08318496618113536,-0.0062735293695818095,0.9994846138022001,0.18554542916630623,-0.16892223173903897,0.9994846138022001,0.6998222364737627,-0.09877038229974089,0.9994846138022001,0.11415660855822618,-0.1279760581904562,0.9994846138022001,0.04776831303141493,-0.04673150202481746,0.9994846138022001,0.7087557603686636,0.9705069124423963,0.5295432889468149,0.02885584522591922,0.5586436050957775,0.023324829283567383,0.5876221733975535,0.027653128086634116,0.5869730747725235,0.04919652828692034
iemocap,operator,both,False,42,5,0.0,24,7.1,0.6167661253416498,0.5887305059969518,0.585981308411215,0.21532770373989318,-0.002418886759322336,0.9998765061155545,0.5390084282112011,-0.01293201909818753,0.9998765061155545,-0.032767454934670925,-0.09605262236093981,0.9998765061155545,0.7785954236903592,-0.04216808071263445,0.9998765061155545,0.4007306562968186,-0.08106419021620093,0.9998765061155545,0.3019394589166131,-0.043448398491157,0.9998765061155545,0.7411214953271028,0.9495327102803738,0.5174193913175464,0.15138248284118394,0.5583891618633714,0.15991711532916397,0.6015720351035816,0.17318335264062112,0.5919098709300814,0.19299562195678066
iemocap,operator,both,False,43,1,0.0,34,8.3,0.5806616738532401,0.5395745653842379,0.5326855123674912,0.0034359110411649185,-0.001790341241389326,0.9836697149306288,0.01782373460095188,-0.007499868781417174,0.9836697149306288,0.29213232157832136,-0.11832890588888256,0.9836697149306288,0.6771210687963538,-0.07100607492744393,0.9836697149306288,0.3943325245489602,-0.08559031579804643,0.9836697149306288,0.29488705887755684,-0.0538792176528653,0.9836697149306288,0.7455830388692579,0.9743816254416962,0.5115292468837123,0.007211588691373061,0.5285318336636138,0.00752554787432913,0.5554803156269547,0.007605194204462373,0.5803773430872035,0.008837532561774775
iemocap,operator,both,False,43,2,0.0,29,8.0,0.5533248060423612,0.5403700980839211,0.5353356890459364,0.01358697958287225,-0.005994650765092091,0.9910444329385492,0.03949252903637812,-0.009236802408909228,0.9910444329385492,-0.05026624478273256,-0.20105218456701357,0.9910444329385492,0.7196540233830591,-0.15409384935155168,0.9910444329385492,0.1722563060195046,-0.13783525937740204,0.9910444329385492,0.1219994608295466,-0.04221027368151764,0.9910444329385492,0.7632508833922261,0.9717314487632509,0.49986639849271086,0.0041342359326256295,0.5070348269321607,0.010039384720520239,0.5395253165632372,0.013210648534131897,0.5272319328477657,0.012634491545622129
iemocap,operator,both,False,43,3,0.0,30,8.1,0.5877598231067989,0.5791061848997056,0.5773381294964028,0.00740738182554701,-0.00579605584798526,0.9973008701007469,0.005682997820376512,-0.006389530888188055,0.9973008701007469,0.16719118143956302,-0.19276697308688528,0.9973008701007469,0.5318873120474521,-0.1254622336931921,0.9973008701007469,0.1321196111781604,-0.12225429390823761,0.9973008701007469,0.09561021109578693,-0.08247935159516828,0.9973008701007469,0.7401079136690647,0.9379496402877698,0.5036209099655354,-0.0019625129896259086,0.5185109741783551,0.012219022827352322,0.5590677618298343,0.0021373730658589274,0.5708271817855655,0.007946199788378183
iemocap,operator,both,False,43,4,0.0,33,8.2,0.5976325792616256,0.5758069677082926,0.5668202764976958,0.018422549792887377,-0.008547612028471208,0.9994846138022001,0.034552570175861885,-0.01407722731298977,0.9994846138022001,0.18254260799875965,-0.15897320689801264,0.9994846138022001,0.6902621755597893,-0.149258651343949,0.9994846138022001,0.16220947216033055,-0.10572506100930334,0.9994846138022001,0.06876422800464954,-0.04308123488856219,0.9994846138022001,0.7400921658986175,0.9622119815668203,0.5140408251860449,0.01508782634027439,0.5305172407284184,0.024023884669316486,0.5712042350796128,0.013198138632782075,0.5691288932878142,0.01426011656272963
iemocap,operator,both,False,43,5,0.0,36,8.6,0.596080562248956,0.5863798048630988,0.585981308411215,0.28076046496854923,-0.004330381952524109,0.9998765061155545,0.32323683036022666,-0.0027698965851407076,0.9998765061155545,-0.0702783330437301,-0.11985422827954573,0.9998765061155545,0.8072444343298291,-0.05093716284562089,0.9998765061155545,0.4632989911711972,-0.11483879325444157,0.9998765061155545,0.3491851911611187,-0.05848933690123925,0.9998765061155545,0.705607476635514,0.9467289719626168,0.4924762955747629,0.17499935135022415,0.5280284042340413,0.20235476687582732,0.5610378917771419,0.2462839986967562,0.566507419844843,0.24158109488827606
