dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency,enrollk1_test_uar,enrollk1_concepts_mi_lb_bits,enrollk2_test_uar,enrollk2_concepts_mi_lb_bits,enrollk5_test_uar,enrollk5_concepts_mi_lb_bits,enrollk10_test_uar,enrollk10_concepts_mi_lb_bits
iemocap,operator,42,1,0.0,20,14.2,0.5632427106381779,0.5308948364854135,0.523851590106007,0.017218399923227046,-0.0018845605968428325,0.9836697149306288,0.08282277360569834,-0.009667990805301452,0.9836697149306288,-0.07782246284039473,-0.18736750410763747,0.9836697149306288,0.6937723414445869,-0.0705946613352717,0.9836697149306288,0.28557126809053945,-0.15185099137411262,0.9836697149306288,0.21800392876894825,-0.06595043263279665,0.9836697149306288,0.7340989399293286,0.9584805653710248,0.5142599516165365,0.017409053285878606,0.5169434344149408,0.011780750414022045,0.537969963321453,0.018819010108652723,0.5517873512265099,0.00795203583409787
iemocap,operator,42,2,0.0,29,21.7,0.5421742201036286,0.5349906668622132,0.5256183745583038,0.007309297824542149,-0.0010373724229032488,0.9910444329385492,0.026988754512090707,-0.014082166449118971,0.9910444329385492,0.48463615811704575,-0.1990874280756515,0.9910444329385492,0.5296573258139166,-0.12872776741959913,0.9910444329385492,0.17953504965256828,-0.11794931694987543,0.9910444329385492,0.08493538708007475,-0.03878522414846908,0.9910444329385492,0.7455830388692579,0.9487632508833922,0.4960665230644652,0.000986798055908844,0.504177080010894,0.004613260976633837,0.5368555317189494,-0.0010527278527088235,0.551597756543294,0.0019208076787758932
iemocap,operator,42,3,0.0,28,20.7,0.5215659831430899,0.4973177855385661,0.49280575539568344,-0.0013169728128630265,-0.004517709102754841,0.9973008701007469,0.012327055262727149,-0.012454571528912828,0.9973008701007469,0.16303781254473348,-0.11078745327839346,0.9973008701007469,0.643680693320958,-0.09908805965020062,0.9973008701007469,0.19975073915774366,-0.05188839683509405,0.9973008701007469,0.14845600395326608,-0.051440811651397134,0.9973008701007469,0.7230215827338129,0.9658273381294964,0.47343309299625846,-0.0008785153810421109,0.4879444294696692,-0.0009382995470503808,0.4969862074905777,-0.0022287855824359992,0.5064165747819377,-0.002479890707571153
iemocap,operator,42,4,0.0,31,21.3,0.5964270105912524,0.5748006077815984,0.5612903225806452,0.04587178215326204,-0.0012257097344915424,0.9994846138022001,0.12016594979645956,-0.0005810423209672289,0.9994846138022001,-0.042250167298473085,-0.21340395430392023,0.9994846138022001,0.6733464617631768,-0.15669560369190239,0.9994846138022001,0.047199708608313684,-0.17992797994134724,0.9994846138022001,0.07960542828347905,-0.125654757865025,0.9994846138022001,0.6976958525345622,0.9751152073732718,0.508949445458152,0.03214623637480918,0.5348123318411854,0.02675493011577834,0.5885091066445902,0.023380715446071565,0.5786387950313678,0.047091728157544255
iemocap,operator,42,5,0.0,21,16.2,0.5799802801960455,0.5693801265176024,0.5644859813084112,0.32336590201721405,-0.0033861769972133304,0.9998765061155545,0.5002321016145397,-0.014314083376242182,0.9998765061155545,0.023904620630541662,-0.13282040653854332,0.9998765061155545,0.8273402156339097,-0.04330440710743699,0.9998765061155545,0.4294279558677059,-0.19228729509284592,0.9998765061155545,0.3237756354563015,-0.05547988313319119,0.9998765061155545,0.7074766355140187,0.9457943925233645,0.5075838135321965,0.1478858796678758,0.550191902435156,0.23002648932195857,0.5637090259425817,0.22846839630554638,0.5574190066880629,0.281037235663238
iemocap,operator,43,1,0.0,20,17.3,0.5602388482967925,0.510607780680449,0.5,0.0009472274998446606,-0.003483543259550026,0.9836697149306288,0.05921153553060865,-0.010413653864817629,0.9836697149306288,0.19333507610164558,-0.1317007568338382,0.9836697149306288,0.6311970195733976,-0.03534117657246205,0.9836697149306288,0.49030848461975113,-0.1413322490896769,0.9836697149306288,0.41838212152752663,-0.038481262521465665,0.9836697149306288,0.7508833922261484,0.9699646643109541,0.5388731598496405,0.003411618110527148,0.5380251227920668,0.007533066591586479,0.5447095633044206,0.0037013446549848394,0.5726115249563005,0.0031301464853503713
iemocap,operator,43,2,0.0,32,22.6,0.5603712964055272,0.5504537592285605,0.5450530035335689,0.02387572714059316,-0.0024421602014628174,0.9910444329385492,0.0810368195652833,-0.007545976232656404,0.9910444329385492,0.17183254741498288,-0.23312462380842958,0.9910444329385492,0.5493789036078821,-0.14445253742608044,0.9910444329385492,0.12024781484624747,-0.1988994988644378,0.9910444329385492,0.12475253262946229,-0.07482553998447183,0.9910444329385492,0.7641342756183745,0.9770318021201413,0.48916524302415165,0.008032323228490235,0.5142632595369484,0.0049475703399705084,0.5365859923771408,0.002788617326661802,0.5328480812017533,0.016683772588190537
iemocap,operator,43,3,0.0,25,18.8,0.596037103893377,0.5875418669064898,0.5809352517985612,0.01495491142292349,-0.008678886762566673,0.9973008701007469,0.0076353699810851605,-0.007960714728770357,0.9973008701007469,0.2505608429741024,-0.23790759213289236,0.9973008701007469,0.5998840699837669,-0.16131698966799046,0.9973008701007469,0.09368050290884078,-0.11015020971883915,0.9973008701007469,0.09734069282596025,-0.04783441171882563,0.9973008701007469,0.7392086330935251,0.9487410071942446,0.4883176355968586,0.002577588724258395,0.5166916730622556,0.014942205982725665,0.5640760872170862,0.008875756911153942,0.5656695659952098,0.01438562569127233
iemocap,operator,43,4,0.0,26,20.3,0.6014340321596547,0.5781112508324954,0.567741935483871,0.017498129208458946,-0.009865143568237422,0.9994846138022001,0.06289251094608861,-0.015374046920837992,0.9994846138022001,0.17932809320379983,-0.18370611752927923,0.9994846138022001,0.6329800090947277,-0.09427660779064928,0.9994846138022001,0.046521224483832224,-0.21076756395432394,0.9994846138022001,0.07229759649227607,-0.09601465086778116,0.9994846138022001,0.7290322580645161,0.9714285714285714,0.5115866881124822,0.02432750728293498,0.5338945553648019,0.02563162440049327,0.5667638278574907,0.017384994211788296,0.5784561583952125,0.013598147099286528
iemocap,operator,43,5,0.0,26,20.8,0.593963408337033,0.5867208870301768,0.5841121495327103,0.20021910233980833,-0.006297671422650919,0.9998765061155545,0.17881476213545533,-0.004725285110215638,0.9998765061155545,-0.20821167601718138,-0.07709546315381888,0.9998765061155545,0.8965915924221344,-0.05503610226795119,0.9998765061155545,0.44182614520928987,-0.07467588567560235,0.9998765061155545,0.4068237013664735,-0.03741368312646787,0.9998765061155545,0.7186915887850467,0.9616822429906542,0.5011961271350827,0.13122914300923938,0.5275210399335919,0.16445647799638197,0.5632476242714936,0.16734655777064522,0.5709586337523609,0.18830894160640987
