dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,concepts_linear_mi_lb_bits,concepts_linear_control_bits,concepts_linear_entropy_bits,concepts_mlp_mi_lb_bits,concepts_mlp_control_bits,concepts_mlp_entropy_bits,delta_linear_mi_lb_bits,delta_linear_control_bits,delta_linear_entropy_bits,delta_mlp_mi_lb_bits,delta_mlp_control_bits,delta_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,concept_swap_sensitivity,enroll_resample_consistency
ravdess,affine,42,1,0.0,32,7.2,0.39687500000000003,0.3614568852249581,0.41333333333333333,-0.0006312628431111023,-0.04063581508413305,2.3219280948873626,-0.01958775353203812,-0.025590876226287307,2.3219280948873626,-1.9525500069947732,-1.186067656896555,2.3219280948873626,0.09027553768790009,-0.35525090353035793,2.3219280948873626,0.7355857119554774,-0.992187422679629,2.3219280948873626,0.3058692330960793,-0.15920253956457353,2.3219280948873626,0.86,0.7133333333333334
ravdess,affine,42,2,0.0,24,5.8,0.43125,0.3915103418448941,0.42,0.013803285629116147,-0.07251455424452846,2.3219280948873626,-0.006361095087606294,-0.029474512959812404,2.3219280948873626,-3.052361858061179,-1.3577205358778657,2.3219280948873626,0.96510058566764,-0.43211833844381786,2.3219280948873626,1.5157261618674513,-1.0279967306225375,2.3219280948873626,1.0419451432839086,-0.1447176297794739,2.3219280948873626,0.8066666666666666,0.76
ravdess,affine,42,3,0.0,28,6.7,0.465625,0.41900272341698486,0.46,-0.055861119009665394,-0.04048732091334406,2.3219280948873626,-0.02902331827574045,-0.02691365974109239,2.3219280948873626,-2.3802445819195057,-1.7259381865895893,2.3219280948873626,0.2816146862599158,-0.17233005087218478,2.3219280948873626,0.8921406120330815,-1.3967792127852001,2.3219280948873626,0.40914898141805334,-0.21311938440900846,2.3219280948873626,0.84,0.8166666666666667
ravdess,affine,42,4,0.0,33,7.0,0.48124999999999996,0.44853745997183864,0.49,-0.009253422220112384,-0.04616276126559882,2.3219280948873626,-0.00134249274088738,-0.03786996209044924,2.3219280948873626,-2.5169726237756507,-1.1642106953218834,2.3219280948873626,0.9014279599472275,-0.17902344579173146,2.3219280948873626,0.8493193761804425,-0.9622409981001243,2.3219280948873626,0.6554513821361312,-0.13576233199967946,2.3219280948873626,0.8266666666666667,0.8133333333333334
ravdess,affine,42,5,0.0,34,7.1,0.3671875,0.36625239913516566,0.375,-0.023158888310070402,-0.0787649620960682,2.0,-0.01253619150635954,-0.03900095489093003,2.0,-2.2698346592838483,-1.525203707284958,2.0,0.4944550585972951,-0.37143457839518224,2.0,0.9210277725272686,-1.3667158028833692,2.0,0.44017895433281073,-0.27736755578606376,2.0,0.8583333333333333,0.6708333333333333
ravdess,affine,43,1,0.0,36,7.4,0.403125,0.355487096135896,0.42333333333333334,0.022566423411936043,-0.08818063992735814,2.3219280948873626,-0.008795399139533533,-0.05844622634436236,2.3219280948873626,-1.8621903993012054,-1.2767864624598064,2.3219280948873626,0.4352676005745608,-0.3019561229635235,2.3219280948873626,0.6047206949932245,-1.1919937424878722,2.3219280948873626,0.17971888489862842,-0.4344157298296789,2.3219280948873626,0.8133333333333334,0.7766666666666666
ravdess,affine,43,2,0.0,38,6.9,0.38749999999999996,0.3555584556464265,0.4033333333333333,-0.021086953228303784,-0.045764019283458524,2.3219280948873626,-0.024966025555240634,-0.03732069221181478,2.3219280948873626,-1.8763138397027657,-1.0646690152222051,2.3219280948873626,0.46911935342206035,-0.27893942861672194,2.3219280948873626,1.0792295836641685,-0.8905946127102604,2.3219280948873626,0.5676930326431497,-0.19224547121266644,2.3219280948873626,0.8433333333333334,0.7666666666666667
ravdess,affine,43,3,0.0,37,7.1,0.4125,0.3569519559576082,0.4266666666666667,-0.038628199972190025,-0.024722688916093194,2.3219280948873626,-0.027585256297450123,-0.056290796917545904,2.3219280948873626,-2.2116083933440613,-1.5164919429096115,2.3219280948873626,0.3667955515131065,-0.25724475146704107,2.3219280948873626,0.9603759474238158,-1.1746501020417046,2.3219280948873626,0.21175993173849772,-0.34999851867928555,2.3219280948873626,0.82,0.78
ravdess,affine,43,4,0.0,32,5.4,0.41875,0.3786687833244085,0.4266666666666667,0.0020475995941673375,-0.05072025812684089,2.3219280948873626,-0.03129933298691867,-0.07053096657183566,2.3219280948873626,-1.65683371593834,-0.8805694955378605,2.3219280948873626,0.5587286473648194,-0.32549783095559803,2.3219280948873626,1.0775793715014736,-0.8185074208915397,2.3219280948873626,0.452385986176715,-0.3415915471805713,2.3219280948873626,0.8433333333333334,0.76
ravdess,affine,43,5,0.0,21,4.2,0.3984375,0.3811046850596896,0.42083333333333334,0.0016033517734448388,-0.02515545677501585,2.0,-0.003934784033981842,-0.01654144235658439,2.0,-2.054436061598641,-0.8788575546668742,2.0,0.22446260712216382,-0.21449794369967634,2.0,0.9338310840164563,-0.8143306841164617,2.0,0.6093214237680535,-0.2920607044200789,2.0,0.7875,0.5791666666666667
