dataset,mode,arm,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,floor,adv,42,1,1.0,18,8.5,0.27812499999999996,0.22369084892071053,0.2966666666666667,0.3822615074656752,-0.034125556084425135,2.3219280948873626,0.02013505927602699,-0.04201022552755074,2.3219280948873626,0.9245153678061722,-0.03634627779249966,2.3219280948873626,0.5790931339984682,-0.011246425601984189,2.3219280948873626,1.2629651843409135,-0.5989276687162022,2.3219280948873626,0.9410346667460823,-0.22779608244214877,2.3219280948873626
ravdess,floor,adv,42,1,4.0,35,23.8,0.28437500000000004,0.24189270165938642,0.30333333333333334,0.33560846691536916,-0.029081935058326902,2.3219280948873626,0.07806866955179625,-0.016447953072262322,2.3219280948873626,0.984892062957399,-0.041012159687702,2.3219280948873626,0.6805322771663147,-0.010131600104399396,2.3219280948873626,1.308950012759799,-0.926679467979818,2.3219280948873626,1.0544447854885879,-0.2118014676767146,2.3219280948873626
ravdess,floor,adv,42,1,16.0,23,14.4,0.290625,0.24273110867701816,0.31,0.8672858382851645,-0.03784435594697655,2.3219280948873626,0.33328284116888196,-0.04776693297406709,2.3219280948873626,1.0159840514527376,-0.03149039691632183,2.3219280948873626,0.6226238046232395,-0.01452483030726004,2.3219280948873626,1.2745082172075715,-0.8671514207913442,2.3219280948873626,1.0236422943617387,-0.21723502221752922,2.3219280948873626
ravdess,floor,adv,42,2,1.0,15,7.4,0.30937499999999996,0.24163919226313285,0.33,0.35980288122419357,-0.0322170993675166,2.3219280948873626,0.04248506918589756,-0.01786533171224125,2.3219280948873626,1.1267961723996973,-0.026765062237925186,2.3219280948873626,0.8424542524499212,-0.0033859574161407835,2.3219280948873626,1.7503807363967976,-0.6053188656154349,2.3219280948873626,1.3866377621635047,-0.06895931066216976,2.3219280948873626
ravdess,floor,adv,42,2,4.0,28,17.3,0.309375,0.27231590335092876,0.32666666666666666,0.2928391790924474,-0.03900711390012823,2.3219280948873626,0.05117688384906671,-0.014877557865981217,2.3219280948873626,1.1411937724188765,-0.05226952598890522,2.3219280948873626,0.7673750314625396,-0.021268826956144515,2.3219280948873626,1.8236847653172463,-0.7259602422555993,2.3219280948873626,1.57822234232638,-0.21701543066840534,2.3219280948873626
ravdess,floor,adv,42,2,16.0,26,14.8,0.296875,0.2488954348722734,0.31666666666666665,0.2517765050036065,-0.018829187361490973,2.3219280948873626,0.057746328502446875,-0.01394444606598011,2.3219280948873626,1.103828541058009,-0.0343869718185279,2.3219280948873626,0.8628038914743512,-0.03858102593217261,2.3219280948873626,1.78330043061161,-1.133562228463144,2.3219280948873626,1.5399196160079387,-0.2716389802850556,2.3219280948873626
ravdess,floor,adv,42,3,1.0,13,6.4,0.246875,0.2243749299730412,0.25,0.4212819341720919,-0.040735622893186996,2.3219280948873626,0.02873568120356751,-0.054284311773477256,2.3219280948873626,0.8528012233606912,-0.053688307062695895,2.3219280948873626,0.25605138414876594,-0.03584493175484971,2.3219280948873626,1.3803948384122915,-0.7072826188402077,2.3219280948873626,0.8968794322257869,-0.22348500137613847,2.3219280948873626
ravdess,floor,adv,42,3,4.0,17,10.3,0.30625,0.25662399993028795,0.3233333333333333,0.18967942080075373,-0.042099998358176016,2.3219280948873626,-0.050945114771696165,-0.046987286564105446,2.3219280948873626,0.9081212438567297,-0.038532128237226626,2.3219280948873626,0.43293962396780694,-0.027985986121641826,2.3219280948873626,1.6220858319916684,-0.8428943467475993,2.3219280948873626,1.2051456020620732,-0.13338047390345809,2.3219280948873626
ravdess,floor,adv,42,3,16.0,31,22.6,0.271875,0.2403194402311437,0.29,0.4849290811339253,-0.0054234562126604935,2.3219280948873626,0.1389269996964071,-0.03925278345553007,2.3219280948873626,0.9510718636071687,-0.03161154373035169,2.3219280948873626,0.5091812093552353,-0.039438839725383534,2.3219280948873626,1.4982943998821248,-0.8879750773979067,2.3219280948873626,1.3518965316318248,-0.23418968157375808,2.3219280948873626
ravdess,floor,adv,42,4,1.0,17,8.4,0.3125,0.24497041136834918,0.3333333333333333,0.2383858294330432,-0.026917664749061654,2.3219280948873626,0.015824367607673473,-0.02972284588604923,2.3219280948873626,0.753708523956998,-0.06587909735807695,2.3219280948873626,0.39592212427192797,-0.03930082182998573,2.3219280948873626,1.4855618991702038,-0.6840707684119915,2.3219280948873626,0.8588810226250922,-0.249278203475499,2.3219280948873626
