dataset,mode,arm,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,floor,orth,42,1,1.0,16,12.9,0.325,0.23823863750726998,0.3466666666666667,0.09990135440988679,-0.040724401358446904,2.3219280948873626,0.0253397331304539,-0.04560254548416376,2.3219280948873626,0.41333645031866983,-0.044948082478212026,2.3219280948873626,0.25664924709747483,-0.034516695725262725,2.3219280948873626,1.1675894510367646,-0.6559035558930155,2.3219280948873626,0.7636365649074113,-0.1615275088313224,2.3219280948873626
ravdess,floor,orth,42,1,4.0,23,21.4,0.290625,0.19820373834692717,0.31,0.17939117528087722,-0.04823655997069842,2.3219280948873626,0.07973414997795425,-0.020759972250467218,2.3219280948873626,0.8286133971814813,-0.04155963495176218,2.3219280948873626,0.7577408144571818,-0.031132781712740698,2.3219280948873626,1.1856552446642752,-0.6564415771550691,2.3219280948873626,0.774767954386167,-0.20678353752276513,2.3219280948873626
ravdess,floor,orth,42,1,16.0,1,7.4,0.125,0.029411764705882353,0.13333333333333333,0.6452399304350005,-0.08430263166300422,2.3219280948873626,0.10846904320151607,-0.030678037099033606,2.3219280948873626,0.8666774013055145,-0.04970840411424815,2.3219280948873626,0.381864339001013,-0.03483135735406018,2.3219280948873626,1.386962892103913,-0.9626815069532526,2.3219280948873626,1.1350376006881113,-0.24371267209591974,2.3219280948873626
ravdess,floor,orth,42,2,1.0,37,34.3,0.33125,0.3079151154926743,0.35333333333333333,0.16012308537948083,-0.031434357738231444,2.3219280948873626,0.03158012080961159,-0.007337914557941971,2.3219280948873626,1.1223951633965334,-0.018002061207341935,2.3219280948873626,0.6869789536864106,-0.013601042099140148,2.3219280948873626,1.7167552332288203,-0.7661009974558985,2.3219280948873626,0.9381847340053862,-0.23679020966510755,2.3219280948873626
ravdess,floor,orth,42,2,4.0,28,34.4,0.29374999999999996,0.2528323255284843,0.31,0.13995365322697895,-0.044173705954524856,2.3219280948873626,0.0725790790998464,-0.03010858076157019,2.3219280948873626,1.0133968136051104,0.0010182817225108387,2.3219280948873626,0.6098605797318484,-0.009137841391561263,2.3219280948873626,1.7246974755962516,-0.8371420688766724,2.3219280948873626,1.327433379583586,-0.21392387601617724,2.3219280948873626
ravdess,floor,orth,42,2,16.0,1,9.8,0.125,0.029411764705882353,0.13333333333333333,0.9134850185542365,-0.050265592496347544,2.3219280948873626,0.5362394936788668,-0.0379466649377358,2.3219280948873626,0.9210898160891119,-0.05982465956623617,2.3219280948873626,0.2694268953945653,-0.024174594023864238,2.3219280948873626,2.1064333539110915,-0.7887944119380506,2.3219280948873626,1.6598164007920297,-0.16582338394310225,2.3219280948873626
ravdess,floor,orth,42,3,1.0,13,20.1,0.26875,0.20644664242528124,0.27666666666666667,0.1298036629558128,-0.04722234023758354,2.3219280948873626,0.023895038088353804,-0.031520656260791036,2.3219280948873626,0.7245538568394412,-0.012109155285288331,2.3219280948873626,0.39523570165695654,-0.031379366208137416,2.3219280948873626,1.3231663533364737,-0.5139051230162668,2.3219280948873626,0.8615839331112802,-0.21652553203678426,2.3219280948873626
ravdess,floor,orth,42,3,4.0,31,33.4,0.28437500000000004,0.2293191148625931,0.3,0.15202945030619341,-0.035710910137951135,2.3219280948873626,-0.030028498746718313,-0.04290732787471274,2.3219280948873626,0.7607165930873843,-0.017582863660544845,2.3219280948873626,0.4231525156500262,-0.04449758715622121,2.3219280948873626,1.5399078418041372,-0.6914662458309766,2.3219280948873626,1.0202387663926034,-0.21007493585832382,2.3219280948873626
ravdess,floor,orth,42,3,16.0,34,35.3,0.259375,0.17437294731495814,0.27666666666666667,0.38037470014319763,-0.02878011477084863,2.3219280948873626,0.035339768697187246,-0.021582258431498413,2.3219280948873626,0.5990847626202715,-0.04198914274905885,2.3219280948873626,0.28545099154664166,-0.03797529166639313,2.3219280948873626,1.0888733498684486,-0.6768163704382872,2.3219280948873626,0.5683786371225563,-0.2724433373540749,2.3219280948873626
ravdess,floor,orth,42,4,1.0,27,35.6,0.31562500000000004,0.2737858627975009,0.3333333333333333,0.1472925161459453,-0.030925151121642624,2.3219280948873626,0.04524008089060727,-0.03864451773207822,2.3219280948873626,0.8664600007799568,-0.05300189891970497,2.3219280948873626,0.5948954016361567,-0.024016715473075045,2.3219280948873626,1.5075743106232338,-0.7832809734908706,2.3219280948873626,1.0788695832487547,-0.2359542007315314,2.3219280948873626
ravdess,floor,orth,42,4,4.0,6,14.6,0.234375,0.0958808909021524,0.19333333333333333,0.26495226074227807,-0.022115878725057048,2.3219280948873626,0.09375726454334288,-0.04885233945680989,2.3219280948873626,0.2715494170556445,-0.013731901826688375,2.3219280948873626,0.14684751423885123,-0.009566837569736197,2.3219280948873626,1.5416534242105202,-0.39415675633613123,2.3219280948873626,0.6818559087462057,-0.10582101920912157,2.3219280948873626
ravdess,floor,orth,42,4,16.0,2,10.1,0.1625,0.07340647857889238,0.17333333333333334,0.3723050813939106,-0.019007063050278994,2.3219280948873626,0.13129926476956655,-0.01829662857675407,2.3219280948873626,0.4564287078411471,-0.03206123210761236,2.3219280948873626,0.08989551963481723,-0.010626929402064,2.3219280948873626,1.9404190757088993,-0.5437657147241781,2.3219280948873626,1.0764784193941321,-0.07694907838601761,2.3219280948873626
ravdess,floor,orth,42,5,1.0,27,37.9,0.3359375,0.3115810652178679,0.35,0.2028286411139062,-0.05111124446639215,2.0,0.0004032656379910904,-0.046406216056603,2.0,1.061968151206559,-0.045523815259320255,2.0,0.6656101255350602,-0.00312134820259935,2.0,1.3931649506287318,-1.1404610528217578,2.0,1.1241411700748933,-0.2576115433533199,2.0
ravdess,floor,orth,42,5,4.0,24,38.3,0.26953125,0.23329071730249779,0.2708333333333333,0.06455962424651829,-0.020920574361762867,2.0,0.0024277949080475647,-0.040357752416698034,2.0,0.941320001704887,-0.026761065394539152,2.0,0.443352609051441,-0.014603710223176858,2.0,1.414249344865956,-1.0960159843463408,2.0,1.1109785543673922,-0.3033267979222556,2.0
ravdess,floor,orth,42,5,16.0,36,42.6,0.21875,0.08737888929641176,0.17916666666666667,0.18862350517751714,-0.0113571400484207,2.0,0.03222818770690994,-0.024943129719887214,2.0,0.5471652591953968,-0.07830854577240887,2.0,0.19975166382950205,-0.056302649831068585,2.0,1.1656953995139134,-0.48595711220255966,2.0,0.5557672100207225,-0.13197913637751535,2.0
ravdess,floor,orth,43,1,1.0,24,33.3,0.31875,0.2788111365264947,0.32666666666666666,0.3700611013365058,-0.06554440222456215,2.3219280948873626,0.019989003046804843,-0.07183438164321343,2.3219280948873626,0.9084922848332782,-0.006898692210377089,2.3219280948873626,0.32104380146255007,-0.0954498506414514,2.3219280948873626,1.0916698830178537,-1.0237267706420483,2.3219280948873626,0.7701782609983947,-0.2868736781707688,2.3219280948873626
ravdess,floor,orth,43,1,4.0,37,38.3,0.27812499999999996,0.21610051040656758,0.2966666666666667,0.1006541679519608,-0.06465516322460285,2.3219280948873626,0.027734709062288143,-0.06969826726228279,2.3219280948873626,0.33615422517226956,-0.08331214445024582,2.3219280948873626,0.16353453110926264,-0.0651266176508436,2.3219280948873626,0.7069274512574606,-0.7680351998888062,2.3219280948873626,0.4150308453950584,-0.28368268894764137,2.3219280948873626
ravdess,floor,orth,43,1,16.0,2,11.4,0.171875,0.08327941335058772,0.18333333333333332,0.43061827686089105,-0.0893390705084709,2.3219280948873626,0.2538885461540241,-0.0643496073723866,2.3219280948873626,0.6961598016303652,-0.10163611545165674,2.3219280948873626,0.28697397784804446,-0.05103712100925106,2.3219280948873626,1.4841531666067995,-0.8341398649139342,2.3219280948873626,1.0017765032736092,-0.19741980694689065,2.3219280948873626
ravdess,floor,orth,43,2,1.0,19,28.4,0.325,0.30414015122016314,0.3433333333333333,0.31352688163343245,-0.023628615275318232,2.3219280948873626,0.05933642934386807,-0.051256765851135366,2.3219280948873626,0.3529990611480245,-0.015667717135011472,2.3219280948873626,0.1583612162157877,-0.002762668568876858,2.3219280948873626,1.3442570239124665,-0.7338938161034076,2.3219280948873626,0.7795333417145554,-0.1839864460528977,2.3219280948873626
ravdess,floor,orth,43,2,4.0,22,32.6,0.26249999999999996,0.2191955688502291,0.2733333333333333,0.15948536751420095,-0.018696562331306676,2.3219280948873626,-0.03704678448823007,-0.047513377962124625,2.3219280948873626,0.537916084472235,-0.051254531424816285,2.3219280948873626,0.1692919978800238,-0.042104748518013935,2.3219280948873626,1.550996384937549,-0.7915599155905491,2.3219280948873626,0.9311915449123118,-0.3162715783475494,2.3219280948873626
ravdess,floor,orth,43,2,16.0,28,37.9,0.275,0.1963520752696683,0.2833333333333333,0.10911095135296378,-0.017764103587076363,2.3219280948873626,-0.06226721101018784,-0.05300953935991837,2.3219280948873626,0.5679083902556479,-0.04935065998748378,2.3219280948873626,0.2644469063623429,-0.07235202836127241,2.3219280948873626,1.5423193584451034,-0.3606619043796795,2.3219280948873626,0.6731329260097358,-0.15765607189777198,2.3219280948873626
ravdess,floor,orth,43,3,1.0,33,37.3,0.353125,0.3309229616880479,0.36666666666666664,0.09780843666887407,-0.04224104672974516,2.3219280948873626,-0.00844177382185718,-0.04095264008263877,2.3219280948873626,0.2142747205007023,-0.010047095471281242,2.3219280948873626,0.039676443764569136,-0.020309694268023204,2.3219280948873626,1.203142733964885,-0.9764485510604555,2.3219280948873626,0.36101137013505635,-0.2423627009781657,2.3219280948873626
ravdess,floor,orth,43,3,4.0,23,34.7,0.26875,0.21939448002066625,0.27666666666666667,0.08308112112553934,-0.0339480192473709,2.3219280948873626,-0.029956197674446017,-0.038184294002197916,2.3219280948873626,0.45499382472180927,-0.06935247036293912,2.3219280948873626,0.19827032634658526,-0.051180000141239024,2.3219280948873626,0.9610211958244799,-1.1964233603872585,2.3219280948873626,0.5204587947889232,-0.23278780157003842,2.3219280948873626
ravdess,floor,orth,43,3,16.0,1,10.0,0.125,0.029411764705882353,0.13333333333333333,0.6901833484810005,-0.07526557854840954,2.3219280948873626,0.3602955974122395,-0.02893003017029816,2.3219280948873626,1.153969798103167,-0.057166038947320974,2.3219280948873626,0.7561440819930294,-0.033846887543054205,2.3219280948873626,1.8343017178979977,-1.023740683352707,2.3219280948873626,1.152787398520948,-0.22754904424303657,2.3219280948873626
ravdess,floor,orth,43,4,1.0,22,30.5,0.3125,0.2785495973612334,0.3233333333333333,0.07991134837236435,-0.06233489194927477,2.3219280948873626,0.03296940060182685,-0.06485458209407247,2.3219280948873626,0.12451248282090566,-0.02259947818531849,2.3219280948873626,0.017826660485656287,-0.009398527843427207,2.3219280948873626,0.9693212592789986,-0.8196609956385377,2.3219280948873626,0.35091075310641395,-0.2804839867523681,2.3219280948873626
ravdess,floor,orth,43,4,4.0,28,36.6,0.315625,0.2821511173386063,0.33,0.08664263024529983,-0.06225928882106713,2.3219280948873626,0.02498233537210437,-0.05234643409955675,2.3219280948873626,0.5196443902400036,-0.09846371516609409,2.3219280948873626,0.11630257804072741,-0.002838001802299761,2.3219280948873626,1.149616693278299,-0.5532593650908821,2.3219280948873626,0.4764282983571595,-0.3391919022048331,2.3219280948873626
ravdess,floor,orth,43,4,16.0,6,15.8,0.146875,0.05947944788775238,0.15666666666666668,0.6130359409517567,-0.06433433281931489,2.3219280948873626,0.2203521950804781,-0.06150875610935991,2.3219280948873626,0.816786906443044,-0.0716764771229026,2.3219280948873626,0.4849630282367854,-0.03599010571121619,2.3219280948873626,1.932749917188695,-0.6907845518898177,2.3219280948873626,1.5059764920479473,-0.18910882693469766,2.3219280948873626
ravdess,floor,orth,43,5,1.0,30,43.6,0.31640625,0.29948535926593367,0.3333333333333333,0.31783017128593505,-0.013370651617231388,2.0,0.0012900068263126396,-0.02129390713986279,2.0,0.4969685388951195,-0.03017449323303012,2.0,0.3506655966814314,-0.023023991641361707,2.0,0.9967495175732479,-1.0260250986068828,2.0,0.6327556820175202,-0.10655354526680227,2.0
ravdess,floor,orth,43,5,4.0,27,38.3,0.3203125,0.29790678343372445,0.3333333333333333,0.028464042802146095,-0.014007335309824231,2.0,-0.0324873087827493,-0.036364690768587504,2.0,0.027852850831098896,-0.04211422494424788,2.0,-0.06081490824728686,-0.048848500424555574,2.0,1.034639139976881,-1.4815197819820747,2.0,0.5792908931990532,-0.32104667952646615,2.0
ravdess,floor,orth,43,5,16.0,30,40.1,0.25,0.13716396685146684,0.26666666666666666,0.10104151680824813,-0.027001262942749182,2.0,0.03690921901120214,-0.033246161198705604,2.0,0.6106422753454936,-0.08488207071961407,2.0,0.2074449219353005,-0.03573687637799283,2.0,1.2666443687647395,-0.33657652166929575,2.0,0.6393491790662911,-0.09997137890594265,2.0
ravdess,floor,orth,44,1,1.0,20,32.8,0.296875,0.24015400086045474,0.31333333333333335,0.08626790510794446,-0.013877437076427857,2.3219280948873626,-0.013559710445583573,-0.045948001243036884,2.3219280948873626,0.45694285755205044,-0.0503087540380176,2.3219280948873626,0.12261529208914856,-0.05980395347758316,2.3219280948873626,1.0153134323448758,-0.7109012863477919,2.3219280948873626,0.46076437666397485,-0.2276403047204365,2.3219280948873626
ravdess,floor,orth,44,1,4.0,14,26.7,0.265625,0.18285249003132728,0.2833333333333333,0.09193310947552913,-0.0069554753986169615,2.3219280948873626,0.013647926370485397,-0.05361166414914731,2.3219280948873626,0.27760655201326134,-0.02556267743144458,2.3219280948873626,0.08398956160514759,-0.03802218743131247,2.3219280948873626,1.1698002309121371,-0.5274976889138956,2.3219280948873626,0.45146251258117287,-0.13244095686175061,2.3219280948873626
ravdess,floor,orth,44,1,16.0,6,18.4,0.14687499999999998,0.06233386496544391,0.15666666666666668,0.7668923765804572,-0.038519174434573866,2.3219280948873626,0.5655834438259477,-0.0564188292473653,2.3219280948873626,0.8895400332128782,-0.031244087186116154,2.3219280948873626,0.44185231222837773,-0.021273697709597972,2.3219280948873626,1.4854848083876508,-0.6959733473442573,2.3219280948873626,0.9881918723433072,-0.18410249116528865,2.3219280948873626
ravdess,floor,orth,44,2,1.0,15,24.4,0.253125,0.20213308862595156,0.26666666666666666,0.13299371991924902,-0.024402686590327516,2.3219280948873626,0.04972551688670501,-0.07868639376674391,2.3219280948873626,0.7806430953655108,-0.0580612834939358,2.3219280948873626,0.37954622991648224,-0.07332853226460445,2.3219280948873626,1.4853290174979275,-1.273427755877611,2.3219280948873626,0.9506386213027376,-0.2554012007667783,2.3219280948873626
ravdess,floor,orth,44,2,4.0,23,29.2,0.28125,0.23415865692284504,0.29333333333333333,0.1180933365401593,-0.028004446586258336,2.3219280948873626,0.036140620908696075,-0.07186193033198673,2.3219280948873626,0.6072353328445568,-0.0648410273251927,2.3219280948873626,0.28479048847347155,-0.07145405188947995,2.3219280948873626,1.5511481503331395,-0.8086474903797121,2.3219280948873626,0.877852483182636,-0.18535540230175807,2.3219280948873626
ravdess,floor,orth,44,2,16.0,27,32.8,0.27812499999999996,0.20638365257930474,0.2833333333333333,0.1778782651009818,-0.039624725295695384,2.3219280948873626,0.01028839311113039,-0.020475503025845665,2.3219280948873626,0.6424526794940935,-0.07108552229369325,2.3219280948873626,0.2722249416996019,-0.06494819207319313,2.3219280948873626,1.7035404152095919,-0.5262371272755555,2.3219280948873626,1.0194930588949633,-0.12895706867430956,2.3219280948873626
ravdess,floor,orth,44,3,1.0,26,32.1,0.325,0.29012488839372363,0.33666666666666667,0.09414044024488488,-0.03947533804700187,2.3219280948873626,-0.01245169567169535,-0.06887968733576422,2.3219280948873626,1.231798498888388,-0.041020191493326585,2.3219280948873626,0.780098807424175,-0.0665942114397069,2.3219280948873626,1.8003440850650696,-0.8522045098137774,2.3219280948873626,1.2265203681418528,-0.31182226782569655,2.3219280948873626
ravdess,floor,orth,44,3,4.0,32,37.0,0.315625,0.26994390558767645,0.3333333333333333,0.08902404762078531,-0.03915393953299606,2.3219280948873626,0.02668886332653342,-0.08063251871011001,2.3219280948873626,0.8704695765387025,-0.07270992951858934,2.3219280948873626,0.45025595206618463,-0.027059252933050004,2.3219280948873626,1.271482682563431,-0.7446836124259644,2.3219280948873626,0.7061672866695432,-0.3359912839444821,2.3219280948873626
ravdess,floor,orth,44,3,16.0,25,28.6,0.25625,0.1791902043771174,0.2733333333333333,0.019518736693784344,-0.017925368978184864,2.3219280948873626,-0.03888150446495198,-0.05659228973649899,2.3219280948873626,0.6221153451136945,-0.0380508764747618,2.3219280948873626,0.28990831158419494,-0.020934691205340084,2.3219280948873626,1.4561632173027619,-0.3483742622644619,2.3219280948873626,0.8220946071618909,-0.07052864742728282,2.3219280948873626
ravdess,floor,orth,44,4,1.0,26,34.0,0.359375,0.30746032733823625,0.37666666666666665,0.023704142955609964,-0.01353821834141078,2.3219280948873626,-0.008464519883270682,-0.043854848459497386,2.3219280948873626,0.1468277395124007,-0.01078122249937552,2.3219280948873626,0.04227742519573763,-0.007115133916092198,2.3219280948873626,1.0125870888623598,-0.8737440161021812,2.3219280948873626,0.49328595198651937,-0.1632345209596835,2.3219280948873626
ravdess,floor,orth,44,4,4.0,25,33.2,0.321875,0.2620796984767573,0.33666666666666667,0.03243025461148852,-0.0019393923058892426,2.3219280948873626,-0.013963743484239455,-0.05160270892404384,2.3219280948873626,0.3022631032898415,-0.004475963239748193,2.3219280948873626,0.1487278226459754,-0.037558418558808704,2.3219280948873626,1.1077099978443623,-1.0601644702782118,2.3219280948873626,0.6453766287017642,-0.3958010873465163,2.3219280948873626
ravdess,floor,orth,44,4,16.0,30,38.2,0.34687500000000004,0.2644919991545674,0.3566666666666667,0.03006777040275299,-0.016701839255939266,2.3219280948873626,-0.027608520752007593,-0.020499531546561478,2.3219280948873626,0.3520352215095788,-0.06079066552383772,2.3219280948873626,0.16929619650525662,-0.0731772537181743,2.3219280948873626,1.4622926043505462,-0.43766150712241947,2.3219280948873626,0.6419979201088062,-0.08995846687488118,2.3219280948873626
ravdess,floor,orth,44,5,1.0,11,23.3,0.32421875,0.25840623270746366,0.3458333333333333,0.0670288873854572,-0.006721325318669535,2.0,0.008126570805368827,-0.015336999068710888,2.0,0.5204089100748073,0.0019478043524430166,2.0,0.25243047408465413,0.006698766672528889,2.0,1.3952270848244854,-0.750074870855852,2.0,0.7587320123913932,-0.14079722259160476,2.0
ravdess,floor,orth,44,5,4.0,16,27.9,0.34375,0.2913468424090179,0.36666666666666664,0.07565836100647094,-0.00908755732755262,2.0,-0.02647346298771236,-0.014417588638563128,2.0,0.4095974177405459,-0.001515033922797393,2.0,0.22368166463310724,-0.03280300476028719,2.0,1.2678003138805123,-0.5000648191853472,2.0,0.5984232372675535,-0.07659965413315817,2.0
ravdess,floor,orth,44,5,16.0,17,27.6,0.23828125,0.14292212909234187,0.25416666666666665,0.25198260208733014,-0.015122525973132905,2.0,0.053089997079988516,-0.009803338230112146,2.0,0.5270212651545385,-0.01767030961772642,2.0,0.1597282287488171,-0.00538803048378611,2.0,1.4103936460331905,-0.45120125491841057,2.0,0.8590449214296187,-0.14572487160243863,2.0
