dataset,mode,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,floor,42,1,0.0,25,9.0,0.290625,0.2439651521545972,0.31,0.41788463845000723,-0.027121232852865162,2.3219280948873626,0.04597663603937763,-0.024595871969646854,2.3219280948873626,0.9480029430327399,-0.03537271961713895,2.3219280948873626,0.7077074134758539,-0.014324939035569084,2.3219280948873626,1.1838517547294949,-0.8880871018788268,2.3219280948873626,0.9833454506264405,-0.2918267818919347,2.3219280948873626
ravdess,floor,42,1,0.5,28,13.4,0.290625,0.24489209221617608,0.30666666666666664,0.2677080158686804,-0.022617123390618943,2.3219280948873626,0.047651709800941244,-0.013839636389119114,2.3219280948873626,0.8761010120097692,-0.03475191439503922,2.3219280948873626,0.7314084480607346,-0.01545327278842068,2.3219280948873626,1.0725133481086733,-1.0092861037453607,2.3219280948873626,0.7819954291745164,-0.27526156585249595,2.3219280948873626
ravdess,floor,42,1,1.0,13,8.6,0.28125,0.18754604067104066,0.3,0.08716664474642055,-0.04060304791358371,2.3219280948873626,0.0751030445448242,-0.01828839199853949,2.3219280948873626,0.3592603555561038,-0.04462854596514765,2.3219280948873626,0.24058501773562657,-0.029221963193694744,2.3219280948873626,1.0585803644973413,-0.321059455947164,2.3219280948873626,0.6203379813907508,-0.1181955793510645,2.3219280948873626
ravdess,floor,42,1,2.0,14,8.9,0.290625,0.19224126669956149,0.31,0.10541011711465575,-0.03891871766218058,2.3219280948873626,0.05557631072573299,-0.0413797080938485,2.3219280948873626,0.7043849979624079,-0.02170994165197948,2.3219280948873626,0.36680487854127475,-0.020229440925483733,2.3219280948873626,1.1086303809791733,-0.7205564415429997,2.3219280948873626,0.8225060167584435,-0.21279854769943674,2.3219280948873626
ravdess,floor,42,1,4.0,24,12.1,0.265625,0.1906045931937273,0.28,0.22966663360685002,-0.062391545984625374,2.3219280948873626,0.01142295633376067,-0.030011787616764263,2.3219280948873626,0.8741793515946243,-0.032048966401763135,2.3219280948873626,0.5552643582864938,-0.025061747495161768,2.3219280948873626,1.2186136222432757,-0.7620605588073546,2.3219280948873626,0.8645609905375848,-0.2944133602336807,2.3219280948873626
ravdess,floor,42,1,8.0,2,5.3,0.140625,0.06047077922077922,0.15,0.6321486237794638,-0.0760520380059071,2.3219280948873626,0.3612344562508809,-0.025430853558081612,2.3219280948873626,0.6523671419107282,-0.07137247364252142,2.3219280948873626,0.3638232363641336,-0.04343538743240094,2.3219280948873626,1.60961274091862,-0.6218881041115325,2.3219280948873626,1.161956038032587,-0.16183942867665113,2.3219280948873626
ravdess,floor,42,1,16.0,30,14.7,0.24687499999999998,0.11646825396825397,0.2633333333333333,0.7251175073344049,-0.02452381144253879,2.3219280948873626,0.34750082750349676,-0.038380079528512745,2.3219280948873626,0.45048444655856734,-0.032909776523516676,2.3219280948873626,0.16828566079024876,-0.06269947811695653,2.3219280948873626,1.327345012496996,-0.4895673515375951,2.3219280948873626,0.7698593818768154,-0.21956360392072405,2.3219280948873626
ravdess,floor,42,2,0.0,15,6.9,0.31562500000000004,0.26945632634895544,0.33666666666666667,0.27133207569922213,-0.020967961478877584,2.3219280948873626,0.06284799900399829,-0.008150390515241579,2.3219280948873626,1.145973721082477,-0.026335478118341804,2.3219280948873626,0.9089380409863432,-0.007873182246060484,2.3219280948873626,1.6910169318039188,-0.5155517887578349,2.3219280948873626,1.3537992928427873,-0.08244342786149783,2.3219280948873626
ravdess,floor,42,2,0.5,20,11.1,0.284375,0.23800441086067872,0.30333333333333334,0.2851489562471201,-0.03707668762935867,2.3219280948873626,-0.0026270412191129466,-0.02658406789251,2.3219280948873626,1.0913711019952819,-0.02773452767306006,2.3219280948873626,0.6976163703994496,-0.01824857605849406,2.3219280948873626,1.4839083563463729,-0.7977144682789916,2.3219280948873626,1.1499894578703473,-0.2419327928318662,2.3219280948873626
ravdess,floor,42,2,1.0,26,13.1,0.34375,0.3251419563219936,0.3566666666666667,0.21454691248622204,-0.0392656252032193,2.3219280948873626,0.03633782517570738,-0.01551971467915969,2.3219280948873626,1.1994217774797702,-0.005048635501570864,2.3219280948873626,0.743347097645864,-0.007162575679668937,2.3219280948873626,1.7497947542305214,-0.43951790539311375,2.3219280948873626,1.2844665642231294,-0.1976799376121594,2.3219280948873626
