dataset,mode,arm,no_style,seed,fold,kappa,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_linear_mi_lb_bits,c_aff_linear_control_bits,c_aff_linear_entropy_bits,c_aff_mlp_mi_lb_bits,c_aff_mlp_control_bits,c_aff_mlp_entropy_bits,c_style_linear_mi_lb_bits,c_style_linear_control_bits,c_style_linear_entropy_bits,c_style_mlp_mi_lb_bits,c_style_mlp_control_bits,c_style_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits
ravdess,cmn,both,True,42,1,0.0,36,2.7,0.5125000000000001,0.5200384478869386,0.5233333333333333,-0.008580108128859898,-0.04868220662137901,2.3219280948873626,-0.011210631191097331,-0.04339129781534634,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,0.23568509756602074,-0.8153001364613366,2.3219280948873626,-0.06837000449220021,-0.21359651002916413,2.3219280948873626
ravdess,cmn,both,True,42,2,0.0,28,2.6,0.515625,0.5121017826516515,0.5133333333333333,-0.07111665866692451,-0.06206176619875059,2.3219280948873626,-0.02018756054869586,-0.018234183655151615,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,0.5421542379193904,-0.8804974270466026,2.3219280948873626,0.28374881649269756,-0.28719429314929457,2.3219280948873626
ravdess,cmn,both,True,42,3,0.0,35,2.7,0.51875,0.5208296078870027,0.5266666666666666,-0.010580215450986863,-0.0693235030830106,2.3219280948873626,-0.01126582959550504,-0.02491342016543463,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,0.2096094052105255,-1.1239311336921483,2.3219280948873626,0.05347249339403515,-0.28863565054701823,2.3219280948873626
ravdess,cmn,both,True,42,4,0.0,29,2.6,0.56875,0.5571846786598451,0.5766666666666667,-0.048199190626694755,-0.0334190705398596,2.3219280948873626,-0.05130705813070424,-0.011716223063251707,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.013312295456559209,-0.011905578149823626,2.3219280948873626,0.4703245551895301,-0.9207193308834585,2.3219280948873626,0.035762138362451346,-0.1423715069217688,2.3219280948873626
ravdess,cmn,both,True,42,5,0.0,24,2.4,0.58203125,0.5822006077226711,0.5916666666666667,-0.0913589315294634,-0.10812302051340117,2.0,-0.020680446192244517,-0.05331512725321108,2.0,0.0,0.0,2.0,-0.005612100601656955,-0.005540639786377088,2.0,0.21567085666873287,-1.27695339420791,2.0,0.16432608302121943,-0.2476581121066439,2.0
ravdess,cmn,both,True,43,1,0.0,20,2.1,0.475,0.46718481858055816,0.5033333333333333,-0.0027559496366387215,-0.08045060320886321,2.3219280948873626,-0.011008232416742647,-0.05336465133569179,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,0.3045607556358503,-0.8375696398472727,2.3219280948873626,0.15976323214617016,-0.26874071780288533,2.3219280948873626
ravdess,cmn,both,True,43,2,0.0,21,2.1,0.55,0.5359828555169468,0.58,-0.02560607910327306,-0.08314686320109832,2.3219280948873626,-0.03111673355379807,-0.05059580094884186,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,0.36242228473399307,-0.9653832641654483,2.3219280948873626,0.04630280155815658,-0.29421007136094746,2.3219280948873626
ravdess,cmn,both,True,43,3,0.0,34,2.7,0.484375,0.49189269143057623,0.5066666666666667,-0.08314257894690336,-0.0604884714159879,2.3219280948873626,-0.03640478251541923,-0.033851737823572314,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,0.424882650957076,-1.0011327757529296,2.3219280948873626,0.004808612041446558,-0.21947048030363048,2.3219280948873626
ravdess,cmn,both,True,43,4,0.0,17,1.8,0.525,0.528203857124465,0.5433333333333333,-0.04725551067313072,-0.04615508648043054,2.3219280948873626,-0.032461175256415675,-0.041738585213324964,2.3219280948873626,4.440892098500626e-16,4.440892098500626e-16,2.3219280948873626,-0.016976837539390388,-0.021341677061498032,2.3219280948873626,0.4223975935603006,-1.006872238539005,2.3219280948873626,0.14958362942214753,-0.2943063859751014,2.3219280948873626
ravdess,cmn,both,True,43,5,0.0,16,1.9,0.46875,0.45063904191599,0.5,-0.023428416195996782,-0.034138040164527705,2.0,-0.03546143672205604,-0.026227739727563648,2.0,0.0,0.0,2.0,-0.004853394473420813,-0.005012751998500153,2.0,0.004644856034662137,-1.406104357732536,2.0,-0.03113046627330851,-0.30105729722026986,2.0
